,concept_label,precision,recall,f1,support,accuracy,num_records,concept_label_group,relevance
0,unmapped,0.105,0.000,0.000,11124,0.000,30846719,unmapped,irrelevant
1,tracheostomy_size,0.000,0.000,0.000,6,0.000,1143,respiratory,relevant
2,gcs_motor,0.000,0.000,0.000,29,0.000,51280,neurology,relevant
3,gcs_eye,0.000,0.000,0.000,24,0.000,49377,neurology,relevant
4,gcs_verbal,0.000,0.000,0.000,30,0.000,51580,neurology,relevant
5,crrt_mode,0.000,0.000,0.000,8,0.000,261783,renal replacement therapy,relevant
6,type_administered_o2,0.000,0.000,0.000,121,0.000,48628,respiratory,relevant
7,fio2_hiflow,1.000,0.333,0.500,3,0.333,6633,respiratory,relevant
8,o2_flow_high_flow_oxygen,0.125,0.036,0.056,28,0.036,151685,respiratory,relevant
9,restrictive_policy,0.000,0.000,0.000,27,0.000,11862,admission information,relevant
10,lactate_dehydrogenase_unspecified,0.000,0.000,0.000,28,0.000,6127,laboratory value,relevant
11,cam_icu_score,0.000,0.000,0.000,13,0.000,21863,clinical score,relevant
12,amylase_unspecified,0.000,0.000,0.000,6,0.000,395,laboratory value,relevant
13,picco_pulse_pressure_variation,0.000,0.000,0.000,4,0.000,29726,hemodynamics,relevant
14,ultrafiltration_cvvh_measured,0.000,0.000,0.000,4,0.000,30867,renal replacement therapy,relevant
15,access_pressure_cvvh,0.000,0.000,0.000,11,0.000,43979,renal replacement therapy,relevant
16,return_pressure_cvvh,0.000,0.000,0.000,6,0.000,38264,renal replacement therapy,relevant
17,crrt_duration,0.000,0.000,0.000,1,0.000,498,renal replacement therapy,relevant
18,blood_flow_cvvh,0.000,0.000,0.000,16,0.000,461491,renal replacement therapy,relevant
19,effluent_pressure_cvvh,0.000,0.000,0.000,5,0.000,9680,renal replacement therapy,relevant
20,fluid_out_cvvh_dialysis_cumulative,0.000,0.000,0.000,3,0.000,95884,fluid balance,relevant
21,ultrafiltration_cvvh_set,0.000,0.000,0.000,15,0.000,495791,renal replacement therapy,relevant
22,citrate_dosage_cvvh,0.000,0.000,0.000,7,0.000,424847,renal replacement therapy,relevant
23,pain_score_text,0.000,0.000,0.000,15,0.000,47210,clinical score,relevant
24,substitution_volume_cvvh,0.000,0.000,0.000,6,0.000,162746,renal replacement therapy,relevant
25,extravascular_lung_water_index,0.000,0.000,0.000,8,0.000,1230,hemodynamics,relevant
26,global_end_diastolic_volume_index,0.000,0.000,0.000,11,0.000,11962,hemodynamics,relevant
27,procalcitonin_unspecified,0.000,0.000,0.000,22,0.000,11332,laboratory value,relevant
28,ntpro_bnp_unspecified,0.000,0.000,0.000,18,0.000,429,laboratory value,relevant
29,troponin_i_hs,0.000,0.000,0.000,7,0.000,1599,laboratory value,relevant
30,glucose_measured_unspecified,0.000,0.000,0.000,573,0.000,72717,laboratory value,relevant
31,pain_score_bps,0.000,0.000,0.000,2,0.000,4371,clinical score,relevant
32,fluid_in_flush,0.000,0.000,0.000,116,0.000,6042,fluid balance,relevant
33,end_tidal_co2_measured,0.000,0.000,0.000,35,0.000,3702844,respiratory,relevant
34,respiratory_rate_measured,0.000,0.000,0.000,16,0.000,2457862,respiratory,relevant
35,nice_covid19Status,0.000,0.000,0.000,5,0.000,2056,nice data,relevant
36,ph_arterial,1.000,0.161,0.278,31,0.161,57990,laboratory value,relevant
37,po2_unspecified,0.000,0.000,0.000,6,0.000,13515,laboratory value,relevant
38,pco2_unspecified,0.000,0.000,0.000,10,0.000,15054,laboratory value,relevant
39,base_excess_unspecified,0.000,0.000,0.000,17,0.000,42394,laboratory value,relevant
40,bicarbonate_actual_unspecified,0.000,0.000,0.000,16,0.000,35955,laboratory value,relevant
41,sodium_unspecified,0.000,0.000,0.000,14,0.000,7460,laboratory value,relevant
42,potassium_unspecified,0.000,0.000,0.000,10,0.000,7683,laboratory value,relevant
43,fio2_set,0.000,0.000,0.000,63,0.000,3524573,respiratory,relevant
44,peak_inspiratory_pressure,0.000,0.000,0.000,18,0.000,4373984,respiratory,relevant
45,tidal_volume_expiratory_measured,0.000,0.000,0.000,4,0.000,1478863,respiratory,relevant
46,p01_measured,0.000,0.000,0.000,13,0.000,1067666,respiratory,relevant
47,arterial_bp_diastolic,0.000,0.000,0.000,10,0.000,4031569,hemodynamics,relevant
48,arterial_bp_mean,0.000,0.000,0.000,13,0.000,4078066,hemodynamics,relevant
49,arterial_bp_systolic,0.000,0.000,0.000,10,0.000,4032628,hemodynamics,relevant
50,cardiac_output_unspecified,0.000,0.000,0.000,11,0.000,6640,hemodynamics,relevant
51,central_venous_pressure,0.000,0.000,0.000,7,0.000,1389791,hemodynamics,relevant
52,heart_rate_unspecified,0.000,0.000,0.000,148,0.000,5204256,hemodynamics,relevant
53,nibp_diastolic,0.000,0.000,0.000,9,0.000,29407,hemodynamics,relevant
54,nibp_mean,0.000,0.000,0.000,11,0.000,36227,hemodynamics,relevant
55,nibp_systolic,0.000,0.000,0.000,9,0.000,29435,hemodynamics,relevant
56,pulmonary_artery_pressure_diastolic,0.000,0.000,0.000,2,0.000,5021,hemodynamics,relevant
57,pulmonary_artery_pressure_systolic,0.000,0.000,0.000,2,0.000,5021,hemodynamics,relevant
58,pulmonary_artery_pressure_mean,0.000,0.000,0.000,5,0.000,17302,hemodynamics,relevant
59,pulmonary_wedge_pressure,0.000,0.000,0.000,3,0.000,63,hemodynamics,relevant
60,heart_rhythm_text,0.000,0.000,0.000,156,0.000,119102,hemodynamics,relevant
61,systemic_vascular_resistance_index,0.000,0.000,0.000,8,0.000,70964,hemodynamics,relevant
62,systemic_vascular_resistance,0.000,0.000,0.000,9,0.000,13870,hemodynamics,relevant
63,fluid_out_cvvh_dialysis,0.000,0.000,0.000,34,0.000,15193,fluid balance,relevant
64,stroke_volume_variation,0.000,0.000,0.000,9,0.000,76877,hemodynamics,relevant
65,fluid_out_urine,0.000,0.000,0.000,62,0.000,247196,fluid balance,relevant
66,fluid_out_defecation,0.000,0.000,0.000,46,0.000,11184,fluid balance,relevant
67,fluid_in_tube,0.000,0.000,0.000,222,0.000,44548,fluid balance,relevant
68,temperature_bladder,0.000,0.000,0.000,8,0.000,787487,infectiology,relevant
69,temperature_unspecified,0.000,0.000,0.000,25,0.000,54142,infectiology,relevant
70,temperature_core,0.000,0.000,0.000,4,0.000,10653,infectiology,relevant
71,stroke_volume_calculated,0.000,0.000,0.000,5,0.000,80797,hemodynamics,relevant
72,stroke_volume_index,0.000,0.000,0.000,12,0.000,88969,hemodynamics,relevant
73,inspiratory_pressure_above_peep,0.000,0.000,0.000,38,0.000,2492734,respiratory,relevant
74,respiratory_rate_measured_spontaneous,0.000,0.000,0.000,10,0.000,4254004,respiratory,relevant
75,respiratory_rate_measured_ventilator,0.000,0.000,0.000,16,0.000,3645811,respiratory,relevant
76,peep_unspecified,0.000,0.000,0.000,4,0.000,803539,respiratory,relevant
77,vent_mode_manual,0.000,0.000,0.000,3,0.000,28,respiratory,relevant
78,fluid_out_other,0.000,0.000,0.000,60,0.000,2217,fluid balance,relevant
79,vent_mode,0.000,0.000,0.000,52,0.000,6150839,respiratory,relevant
80,pupil_reflex_left,0.000,0.000,0.000,9,0.000,30904,neurology,relevant
81,pupil_reflex_right,0.000,0.000,0.000,10,0.000,25219,neurology,relevant
82,tidal_volume_expiratory_unspecified,0.000,0.000,0.000,1,0.000,19097,respiratory,relevant
83,tidal_volume_inspiratory_unspecified,0.000,0.000,0.000,2,0.000,22013,respiratory,relevant
84,fluid_out_drain,0.000,0.000,0.000,44,0.000,1571,fluid balance,relevant
85,o2_flow_unspecified,0.000,0.000,0.000,105,0.000,35479,respiratory,relevant
86,rass_score,0.000,0.000,0.000,16,0.000,65357,neurology,relevant
