,concept_label,precision,recall,f1,support,accuracy,balanced_accuracy,num_records,concept_label_group,relevance
0,unmapped,0.751,0.920,0.827,25633,0.920,0.920,40840247,unmapped,irrelevant
1,temperature_source_text,0.841,0.578,0.685,64,0.578,0.578,36261,infectiology,relevant
2,tracheostomy_size,0.000,0.000,0.000,7,0.000,0.000,1527,respiratory,relevant
3,gcs_motor,0.136,0.140,0.138,43,0.140,0.140,62331,neurology,relevant
4,gcs_eye,0.359,0.368,0.364,38,0.368,0.368,62941,neurology,relevant
5,gcs_verbal,0.722,0.310,0.433,42,0.310,0.310,60838,neurology,relevant
6,crrt_mode,0.000,0.000,0.000,13,0.000,0.000,262732,renal replacement therapy,relevant
7,type_administered_o2,0.655,0.257,0.370,443,0.257,0.257,82337,respiratory,relevant
8,fio2_hiflow,0.000,0.000,0.000,4,0.000,0.000,6962,respiratory,relevant
9,o2_flow_high_flow_oxygen,0.889,0.085,0.155,94,0.085,0.085,154280,respiratory,relevant
10,restrictive_policy,0.087,0.071,0.078,28,0.071,0.071,11867,admission information,relevant
11,lactate_dehydrogenase_unspecified,0.533,0.235,0.327,34,0.235,0.235,6138,laboratory value,relevant
12,cam_icu_score,0.625,0.714,0.667,14,0.714,0.714,24917,clinical score,relevant
13,amylase_unspecified,0.455,0.556,0.500,9,0.556,0.556,399,laboratory value,relevant
14,picco_pulse_pressure_variation,0.667,0.500,0.571,4,0.500,0.500,29726,hemodynamics,relevant
15,ultrafiltration_cvvh_measured,0.200,0.250,0.222,4,0.250,0.250,30867,renal replacement therapy,relevant
16,access_pressure_cvvh,0.308,0.286,0.296,14,0.286,0.286,58831,renal replacement therapy,relevant
17,return_pressure_cvvh,0.182,0.200,0.190,10,0.200,0.200,54209,renal replacement therapy,relevant
18,crrt_duration,0.000,0.000,0.000,1,0.000,0.000,498,renal replacement therapy,relevant
19,blood_flow_cvvh,0.571,0.182,0.276,22,0.182,0.182,529625,renal replacement therapy,relevant
20,effluent_pressure_cvvh,1.000,0.556,0.714,9,0.556,0.556,26220,renal replacement therapy,relevant
21,fluid_out_cvvh_dialysis_cumulative,0.000,0.000,0.000,3,0.000,0.000,95884,fluid balance,relevant
22,ultrafiltration_cvvh_set,0.500,0.353,0.414,17,0.353,0.353,523760,renal replacement therapy,relevant
23,citrate_dosage_cvvh,1.000,0.222,0.364,9,0.222,0.222,425036,renal replacement therapy,relevant
24,pain_score_text,0.500,0.036,0.068,55,0.036,0.036,48436,clinical score,relevant
25,substitution_volume_cvvh,0.000,0.000,0.000,7,0.000,0.000,182922,renal replacement therapy,relevant
26,extravascular_lung_water_index,0.455,0.500,0.476,10,0.500,0.500,1315,hemodynamics,relevant
27,global_end_diastolic_volume_index,1.000,0.231,0.375,13,0.231,0.231,12047,hemodynamics,relevant
28,procalcitonin_unspecified,0.938,0.652,0.769,23,0.652,0.652,11333,laboratory value,relevant
29,ntpro_bnp_unspecified,0.615,0.889,0.727,18,0.889,0.889,429,laboratory value,relevant
30,troponin_i_hs,0.000,0.000,0.000,8,0.000,0.000,1600,laboratory value,relevant
31,glucose_measured_unspecified,0.643,0.038,0.072,706,0.038,0.038,90550,laboratory value,relevant
32,vancomycin_level,0.600,0.231,0.333,13,0.231,0.231,669,laboratory value,relevant
33,nice_adm_source,0.000,0.000,0.000,14,0.000,0.000,7036,nice data,relevant
