ehr_name,hospital_name,relevance,accuracy,precision,recall,f1,num_records,support,group_count
EPIC,etz,zoverall,0.016,0.104,0.016,0.020,1477580,3178,385
EPIC,etz,relevant,0.039,0.064,0.039,0.041,806589,975,384
EPIC,etz,irrelevant,0.005,0.122,0.005,0.010,670991,2203,1
EPIC,radboud,zoverall,0.018,0.456,0.018,0.022,8173231,5879,436
EPIC,radboud,relevant,0.061,0.036,0.061,0.036,1004254,960,435
EPIC,radboud,irrelevant,0.010,0.538,0.010,0.020,7168977,4919,1
EPIC,spaarnegasthuis,zoverall,0.025,0.156,0.025,0.028,794654,2066,352
EPIC,spaarnegasthuis,relevant,0.057,0.060,0.057,0.052,379819,733,351
EPIC,spaarnegasthuis,irrelevant,0.008,0.208,0.008,0.014,414835,1333,1
EPIC,stantonius,zoverall,0.015,0.063,0.015,0.015,5162974,5777,539
EPIC,stantonius,relevant,0.032,0.041,0.032,0.029,2787034,2405,538
EPIC,stantonius,irrelevant,0.003,0.079,0.003,0.006,2375940,3372,1
HIX,bovenij,zoverall,0.024,0.036,0.024,0.026,81751,371,152
HIX,bovenij,relevant,0.033,0.049,0.033,0.036,64437,273,151
HIX,bovenij,irrelevant,0.000,0.000,0.000,0.000,17314,98,1
HIX,catharina,zoverall,0.040,0.137,0.040,0.051,387953,3087,306
HIX,catharina,relevant,0.043,0.153,0.043,0.054,320363,2576,305
HIX,catharina,irrelevant,0.023,0.056,0.023,0.033,67590,511,1
HIX,cwz,zoverall,0.046,0.098,0.046,0.059,182757,1841,268
HIX,cwz,relevant,0.052,0.109,0.052,0.067,137466,1523,267
HIX,cwz,irrelevant,0.016,0.045,0.016,0.023,45291,318,1
HIX,franciscus,zoverall,0.019,0.037,0.019,0.022,174568,1093,259
HIX,franciscus,relevant,0.023,0.042,0.023,0.025,159627,869,258
HIX,franciscus,irrelevant,0.004,0.016,0.004,0.007,14941,224,1
HIX,ikazia,zoverall,0.040,0.091,0.040,0.050,109419,428,200
HIX,ikazia,relevant,0.036,0.064,0.036,0.040,103419,337,199
HIX,ikazia,irrelevant,0.055,0.192,0.055,0.085,6000,91,1
HIX,laurentius,zoverall,0.069,0.109,0.069,0.075,89914,418,182
HIX,laurentius,relevant,0.079,0.120,0.079,0.083,48373,356,181
HIX,laurentius,irrelevant,0.016,0.045,0.016,0.024,41541,62,1
HIX,martini,zoverall,0.032,0.135,0.032,0.044,534560,995,254
HIX,martini,relevant,0.037,0.090,0.037,0.045,492889,641,253
HIX,martini,irrelevant,0.023,0.216,0.023,0.041,41671,354,1
HIX,noordwest,zoverall,0.032,0.155,0.032,0.048,173574,856,217
HIX,noordwest,relevant,0.033,0.140,0.033,0.047,155023,572,216
HIX,noordwest,irrelevant,0.028,0.186,0.028,0.049,18551,284,1
HIX,rdgg,zoverall,0.035,0.080,0.035,0.040,706258,688,242
HIX,rdgg,relevant,0.044,0.056,0.044,0.044,581909,432,241
HIX,rdgg,irrelevant,0.020,0.119,0.020,0.034,124349,256,1
HIX,slingeland,zoverall,0.111,0.292,0.111,0.149,186805,1923,162
HIX,slingeland,relevant,0.115,0.306,0.115,0.155,130712,1750,161
HIX,slingeland,irrelevant,0.064,0.147,0.064,0.089,56093,173,1
HIX,viecuri,zoverall,0.034,0.109,0.034,0.041,443578,1557,315
HIX,viecuri,relevant,0.045,0.137,0.045,0.053,393726,1089,314
