,concept_label,precision,recall,f1,support,accuracy,balanced_accuracy,num_records,concept_label_group,relevance
0,unmapped,0.11538461538461539,0.002321843186283265,0.004552086372920923,16797,0.002321843186283265,0.002321843186283265,36969786,unmapped,irrelevant
1,temperature_source_text,0.0,0.0,0.0,56,0.0,0.0,27170,infectiology,relevant
2,tracheostomy_size,0.0,0.0,0.0,6,0.0,0.0,1143,respiratory,relevant
3,gcs_motor,0.08333333333333333,0.02702702702702703,0.04081632653061225,37,0.02702702702702703,0.02702702702702703,61611,neurology,relevant
4,gcs_eye,0.0,0.0,0.0,36,0.0,0.0,60107,neurology,relevant
5,gcs_verbal,0.0,0.0,0.0,39,0.0,0.0,58045,neurology,relevant
6,crrt_mode,0.0,0.0,0.0,11,0.0,0.0,262508,renal replacement therapy,relevant
7,type_administered_o2,0.016260162601626018,0.006920415224913495,0.00970873786407767,289,0.006920415224913495,0.006920415224913495,63820,respiratory,relevant
8,fio2_hiflow,0.010869565217391304,0.25,0.020833333333333332,4,0.25,0.25,6962,respiratory,relevant
9,o2_flow_high_flow_oxygen,0.14285714285714285,0.07142857142857142,0.09523809523809523,84,0.07142857142857142,0.07142857142857142,154268,respiratory,relevant
10,restrictive_policy,0.0,0.0,0.0,28,0.0,0.0,11867,admission information,relevant
11,lactate_dehydrogenase_unspecified,0.0,0.0,0.0,33,0.0,0.0,6134,laboratory value,relevant
12,cam_icu_score,0.0,0.0,0.0,14,0.0,0.0,24917,clinical score,relevant
13,amylase_unspecified,0.0,0.0,0.0,9,0.0,0.0,399,laboratory value,relevant
14,picco_pulse_pressure_variation,0.0,0.0,0.0,4,0.0,0.0,29726,hemodynamics,relevant
15,ultrafiltration_cvvh_measured,0.0,0.0,0.0,4,0.0,0.0,30867,renal replacement therapy,relevant
16,access_pressure_cvvh,0.0,0.0,0.0,12,0.0,0.0,44770,renal replacement therapy,relevant
17,return_pressure_cvvh,0.0,0.0,0.0,9,0.0,0.0,39903,renal replacement therapy,relevant
18,crrt_duration,0.0,0.0,0.0,1,0.0,0.0,498,renal replacement therapy,relevant
19,blood_flow_cvvh,0.0,0.0,0.0,19,0.0,0.0,529308,renal replacement therapy,relevant
20,effluent_pressure_cvvh,0.0,0.0,0.0,6,0.0,0.0,10470,renal replacement therapy,relevant
21,fluid_out_cvvh_dialysis_cumulative,0.0,0.0,0.0,3,0.0,0.0,95884,fluid balance,relevant
22,ultrafiltration_cvvh_set,0.018518518518518517,0.058823529411764705,0.02816901408450704,17,0.058823529411764705,0.058823529411764705,523760,renal replacement therapy,relevant
23,citrate_dosage_cvvh,0.0,0.0,0.0,7,0.0,0.0,424847,renal replacement therapy,relevant
24,pain_score_text,0.16666666666666666,0.03125,0.05263157894736842,32,0.03125,0.03125,48404,clinical score,relevant
25,substitution_volume_cvvh,0.0,0.0,0.0,6,0.0,0.0,162746,renal replacement therapy,relevant
26,extravascular_lung_water_index,0.0,0.0,0.0,8,0.0,0.0,1230,hemodynamics,relevant
27,global_end_diastolic_volume_index,0.0,0.0,0.0,12,0.0,0.0,12033,hemodynamics,relevant
28,procalcitonin_unspecified,0.0,0.0,0.0,23,0.0,0.0,11333,laboratory value,relevant
29,ntpro_bnp_unspecified,0.0,0.0,0.0,18,0.0,0.0,429,laboratory value,relevant
30,troponin_i_hs,0.0,0.0,0.0,8,0.0,0.0,1600,laboratory value,relevant
31,glucose_measured_unspecified,0.2777777777777778,0.007082152974504249,0.013812154696132596,706,0.007082152974504249,0.007082152974504249,90550,laboratory value,relevant
32,vancomycin_level,0.0,0.0,0.0,13,0.0,0.0,669,laboratory value,relevant
33,nice_adm_source,0.0,0.0,0.0,14,0.0,0.0,7036,nice data,relevant
34,pain_score_bps,0.0,0.0,0.0,2,0.0,0.0,4371,clinical score,relevant
35,fluid_in_flush,0.3333333333333333,0.014184397163120567,0.027210884353741496,141,0.014184397163120567,0.014184397163120567,6181,fluid balance,relevant
36,pupil_diameter_right,0.0,0.0,0.0,15,0.0,0.0,48162,neurology,relevant
37,end_tidal_co2_measured,0.0,0.0,0.0,41,0.0,0.0,3819258,respiratory,relevant
38,respiratory_rate_measured,0.0,0.0,0.0,18,0.0,0.0,2705578,respiratory,relevant
39,nice_covid19Status,0.0,0.0,0.0,5,0.0,0.0,2056,nice data,relevant
40,ph_arterial,0.5,0.06060606060606061,0.10810810810810813,33,0.06060606060606061,0.06060606060606061,58004,laboratory value,relevant
41,po2_unspecified,0.0,0.0,0.0,6,0.0,0.0,13515,laboratory value,relevant
42,pco2_unspecified,0.5,0.1,0.16666666666666669,10,0.1,0.1,15054,laboratory value,relevant
43,base_excess_unspecified,0.0,0.0,0.0,17,0.0,0.0,42394,laboratory value,relevant
44,bicarbonate_actual_unspecified,0.3333333333333333,0.0625,0.10526315789473684,16,0.0625,0.0625,35955,laboratory value,relevant
45,sodium_unspecified,0.0,0.0,0.0,17,0.0,0.0,7650,laboratory value,relevant
46,potassium_unspecified,0.0,0.0,0.0,13,0.0,0.0,8085,laboratory value,relevant
47,fio2_set,0.015873015873015872,0.0030211480362537764,0.005076142131979696,331,0.0030211480362537764,0.0030211480362537764,3857964,respiratory,relevant
48,peak_inspiratory_pressure,0.058823529411764705,0.047619047619047616,0.05263157894736842,21,0.047619047619047616,0.047619047619047616,4417150,respiratory,relevant
49,tidal_volume_expiratory_measured,0.0,0.0,0.0,4,0.0,0.0,1478863,respiratory,relevant
50,p01_measured,0.0,0.0,0.0,15,0.0,0.0,1945037,respiratory,relevant
51,arterial_bp_diastolic,0.0,0.0,0.0,10,0.0,0.0,4031569,hemodynamics,relevant
52,arterial_bp_mean,0.0,0.0,0.0,16,0.0,0.0,4254299,hemodynamics,relevant
53,arterial_bp_systolic,0.0,0.0,0.0,10,0.0,0.0,4032628,hemodynamics,relevant
54,cardiac_output_unspecified,0.3333333333333333,0.07692307692307693,0.125,13,0.07692307692307693,0.07692307692307693,6837,hemodynamics,relevant
55,central_venous_pressure,0.0,0.0,0.0,11,0.0,0.0,1497183,hemodynamics,relevant
56,heart_rate_unspecified,0.0,0.0,0.0,503,0.0,0.0,5244970,hemodynamics,relevant
57,nibp_diastolic,0.0,0.0,0.0,9,0.0,0.0,29407,hemodynamics,relevant
58,nibp_mean,0.0,0.0,0.0,18,0.0,0.0,79294,hemodynamics,relevant
59,nibp_systolic,0.0,0.0,0.0,11,0.0,0.0,38074,hemodynamics,relevant
60,pulmonary_artery_pressure_diastolic,0.0,0.0,0.0,2,0.0,0.0,5021,hemodynamics,relevant
61,pulmonary_artery_pressure_systolic,0.0,0.0,0.0,2,0.0,0.0,5021,hemodynamics,relevant
62,pulmonary_artery_pressure_mean,0.0,0.0,0.0,5,0.0,0.0,17302,hemodynamics,relevant
63,pulmonary_wedge_pressure,0.0,0.0,0.0,3,0.0,0.0,63,hemodynamics,relevant
64,heart_rhythm_text,0.020618556701030927,0.006097560975609756,0.009411764705882352,328,0.006097560975609756,0.006097560975609756,147235,hemodynamics,relevant
65,systemic_vascular_resistance_index,0.0,0.0,0.0,10,0.0,0.0,71062,hemodynamics,relevant
66,systemic_vascular_resistance,0.0,0.0,0.0,11,0.0,0.0,13965,hemodynamics,relevant
67,fluid_out_cvvh_dialysis,0.06666666666666667,0.024390243902439025,0.03571428571428571,41,0.024390243902439025,0.024390243902439025,16036,fluid balance,relevant
68,stroke_volume_variation,0.0,0.0,0.0,9,0.0,0.0,76877,hemodynamics,relevant
69,fluid_out_urine,0.0,0.0,0.0,84,0.0,0.0,322432,fluid balance,relevant
70,fluid_out_defecation,0.05263157894736842,0.01639344262295082,0.025,61,0.01639344262295082,0.01639344262295082,20044,fluid balance,relevant
71,fluid_in_tube,0.13043478260869565,0.02027027027027027,0.03508771929824562,296,0.02027027027027027,0.02027027027027027,67567,fluid balance,relevant
72,temperature_bladder,0.0,0.0,0.0,8,0.0,0.0,787487,infectiology,relevant
73,temperature_unspecified,0.0,0.0,0.0,33,0.0,0.0,77965,infectiology,relevant
74,temperature_core,0.0,0.0,0.0,5,0.0,0.0,10933,infectiology,relevant
75,fluid_out_emesis_retention,0.06451612903225806,0.0851063829787234,0.07339449541284403,47,0.0851063829787234,0.0851063829787234,46887,fluid balance,relevant
76,stroke_volume_calculated,0.0,0.0,0.0,9,0.0,0.0,80974,hemodynamics,relevant
77,stroke_volume_index,0.0,0.0,0.0,12,0.0,0.0,88969,hemodynamics,relevant
78,inspiratory_pressure_above_peep,0.1,0.022222222222222223,0.03636363636363636,45,0.022222222222222223,0.022222222222222223,2922071,respiratory,relevant
79,respiratory_rate_measured_spontaneous,0.0,0.0,0.0,11,0.0,0.0,4335494,respiratory,relevant
80,respiratory_rate_measured_ventilator,0.0,0.0,0.0,17,0.0,0.0,3652075,respiratory,relevant
81,peep_unspecified,0.0,0.0,0.0,4,0.0,0.0,803539,respiratory,relevant
82,vent_mode_manual,0.0,0.0,0.0,3,0.0,0.0,28,respiratory,relevant
83,fluid_out_other,0.0,0.0,0.0,80,0.0,0.0,2315,fluid balance,relevant
84,vent_mode,0.0,0.0,0.0,69,0.0,0.0,6192878,respiratory,relevant
85,pupil_diameter_left,0.0,0.0,0.0,15,0.0,0.0,48194,neurology,relevant
86,pupil_reflex_left,0.0,0.0,0.0,19,0.0,0.0,46772,neurology,relevant
87,pupil_reflex_right,0.0,0.0,0.0,18,0.0,0.0,46064,neurology,relevant
88,tidal_volume_expiratory_unspecified,0.0,0.0,0.0,1,0.0,0.0,19097,respiratory,relevant
89,tidal_volume_inspiratory_unspecified,0.0,0.0,0.0,2,0.0,0.0,22013,respiratory,relevant
90,fluid_out_drain,0.0,0.0,0.0,94,0.0,0.0,12973,fluid balance,relevant
91,o2_flow_unspecified,0.18181818181818182,0.0106951871657754,0.020202020202020204,374,0.0106951871657754,0.0106951871657754,61428,respiratory,relevant
92,rass_score,0.0,0.0,0.0,49,0.0,0.0,111706,neurology,relevant
93,pain_score_vas,0.0,0.0,0.0,14,0.0,0.0,26844,clinical score,relevant
94,plateau_pressure,0.0,0.0,0.0,15,0.0,0.0,947970,respiratory,relevant
95,saturation_o2_peripheral,0.0,0.0,0.0,945,0.0,0.0,1854224,respiratory,relevant
96,fluid_out_flush,0.0,0.0,0.0,12,0.0,0.0,358,fluid balance,relevant
97,alkaline_phosphatase_unspecified,0.11538461538461539,0.10344827586206896,0.10909090909090909,29,0.10344827586206896,0.10344827586206896,16069,laboratory value,relevant
98,asat_unspecified,0.0,0.0,0.0,24,0.0,0.0,14998,laboratory value,relevant
99,alat_unspecified,0.0,0.0,0.0,26,0.0,0.0,17560,laboratory value,relevant
100,po2_arterial,0.0,0.0,0.0,40,0.0,0.0,82717,laboratory value,relevant
101,calcium_ionised,0.0,0.0,0.0,22,0.0,0.0,45371,laboratory value,relevant
102,creatine_kinase_unspecified,0.0,0.0,0.0,18,0.0,0.0,2715,laboratory value,relevant
103,crp_unspecified,0.0,0.0,0.0,13,0.0,0.0,8625,laboratory value,relevant
104,creatinine_unspecified,0.0,0.0,0.0,12,0.0,0.0,6384,laboratory value,relevant
105,chloride_unspecified,0.0,0.0,0.0,7,0.0,0.0,8099,laboratory value,relevant
106,prothrombin_time_inr,0.0,0.0,0.0,37,0.0,0.0,9432,laboratory value,relevant
107,leukocytes_unspecified,0.0,0.0,0.0,19,0.0,0.0,19766,laboratory value,relevant
108,prothrombin_time_sec,0.0,0.0,0.0,24,0.0,0.0,6111,laboratory value,relevant
109,gamma_gt_unspecified,0.0,0.0,0.0,27,0.0,0.0,16954,laboratory value,relevant
110,d_dimer_unspecified,0.0,0.0,0.0,25,0.0,0.0,9090,laboratory value,relevant
