,concept_label,precision,recall,f1,support,accuracy,num_records,concept_label_group,relevance
0,unmapped,0.07894736842105263,0.00043741342859225776,0.0008700065250489378,13717,0.00043741342859225776,35040151,unmapped,irrelevant
1,temperature_source_text,0.0,0.0,0.0,41,0.0,14405,infectiology,relevant
2,tracheostomy_size,0.0,0.0,0.0,6,0.0,1143,respiratory,relevant
3,gcs_motor,0.16666666666666666,0.03125,0.05263157894736842,32,0.03125,52566,neurology,relevant
4,gcs_eye,0.02040816326530612,0.03333333333333333,0.025316455696202528,30,0.03333333333333333,53876,neurology,relevant
5,gcs_verbal,0.0,0.0,0.0,34,0.0,57714,neurology,relevant
6,crrt_mode,0.0,0.0,0.0,10,0.0,262500,renal replacement therapy,relevant
7,type_administered_o2,0.07142857142857142,0.009708737864077669,0.017094017094017092,206,0.009708737864077669,63117,respiratory,relevant
8,fio2_hiflow,0.0,0.0,0.0,3,0.0,6633,respiratory,relevant
9,o2_flow_high_flow_oxygen,0.047619047619047616,0.015151515151515152,0.022988505747126436,66,0.015151515151515152,154232,respiratory,relevant
10,restrictive_policy,0.0,0.0,0.0,28,0.0,11867,admission information,relevant
11,lactate_dehydrogenase_unspecified,0.0,0.0,0.0,31,0.0,6131,laboratory value,relevant
12,cam_icu_score,0.0,0.0,0.0,13,0.0,21863,clinical score,relevant
13,amylase_unspecified,0.0,0.0,0.0,8,0.0,398,laboratory value,relevant
14,picco_pulse_pressure_variation,0.0,0.0,0.0,4,0.0,29726,hemodynamics,relevant
15,ultrafiltration_cvvh_measured,0.0,0.0,0.0,4,0.0,30867,renal replacement therapy,relevant
16,access_pressure_cvvh,0.0,0.0,0.0,12,0.0,44770,renal replacement therapy,relevant
17,return_pressure_cvvh,0.0,0.0,0.0,8,0.0,39245,renal replacement therapy,relevant
18,crrt_duration,0.0,0.0,0.0,1,0.0,498,renal replacement therapy,relevant
19,blood_flow_cvvh,0.0,0.0,0.0,18,0.0,528217,renal replacement therapy,relevant
20,effluent_pressure_cvvh,0.0,0.0,0.0,6,0.0,10470,renal replacement therapy,relevant
21,fluid_out_cvvh_dialysis_cumulative,0.0,0.0,0.0,3,0.0,95884,fluid balance,relevant
22,ultrafiltration_cvvh_set,0.05555555555555555,0.0625,0.058823529411764705,16,0.0625,522959,renal replacement therapy,relevant
23,citrate_dosage_cvvh,0.0,0.0,0.0,7,0.0,424847,renal replacement therapy,relevant
24,pain_score_text,0.0,0.0,0.0,24,0.0,47285,clinical score,relevant
25,substitution_volume_cvvh,0.0,0.0,0.0,6,0.0,162746,renal replacement therapy,relevant
26,extravascular_lung_water_index,0.0,0.0,0.0,8,0.0,1230,hemodynamics,relevant
27,global_end_diastolic_volume_index,0.047619047619047616,0.09090909090909091,0.0625,11,0.09090909090909091,11962,hemodynamics,relevant
28,procalcitonin_unspecified,0.0,0.0,0.0,22,0.0,11332,laboratory value,relevant
29,ntpro_bnp_unspecified,0.0,0.0,0.0,18,0.0,429,laboratory value,relevant
30,troponin_i_hs,0.0,0.0,0.0,8,0.0,1600,laboratory value,relevant
31,glucose_measured_unspecified,0.4,0.002861230329041488,0.005681818181818182,699,0.002861230329041488,90442,laboratory value,relevant
32,nice_adm_source,0.0,0.0,0.0,14,0.0,7036,nice data,relevant
33,pain_score_bps,0.0,0.0,0.0,2,0.0,4371,clinical score,relevant
34,fluid_in_flush,0.0,0.0,0.0,131,0.0,6071,fluid balance,relevant
35,pupil_diameter_right,0.0,0.0,0.0,11,0.0,20602,neurology,relevant
36,end_tidal_co2_measured,0.0,0.0,0.0,37,0.0,3785749,respiratory,relevant
37,respiratory_rate_measured,0.0,0.0,0.0,17,0.0,2623572,respiratory,relevant
38,nice_covid19Status,0.0,0.0,0.0,5,0.0,2056,nice data,relevant
39,ph_arterial,0.0,0.0,0.0,32,0.0,58001,laboratory value,relevant
40,po2_unspecified,0.0,0.0,0.0,6,0.0,13515,laboratory value,relevant
41,pco2_unspecified,0.0,0.0,0.0,10,0.0,15054,laboratory value,relevant
42,base_excess_unspecified,0.2,0.058823529411764705,0.0909090909090909,17,0.058823529411764705,42394,laboratory value,relevant
43,bicarbonate_actual_unspecified,0.0,0.0,0.0,16,0.0,35955,laboratory value,relevant
44,sodium_unspecified,0.0,0.0,0.0,15,0.0,7605,laboratory value,relevant
45,potassium_unspecified,0.0,0.0,0.0,10,0.0,7683,laboratory value,relevant
46,fio2_set,0.0,0.0,0.0,155,0.0,3837593,respiratory,relevant
47,peak_inspiratory_pressure,0.0,0.0,0.0,20,0.0,4416894,respiratory,relevant
48,tidal_volume_expiratory_measured,0.0,0.0,0.0,4,0.0,1478863,respiratory,relevant
49,p01_measured,0.0,0.0,0.0,14,0.0,1884363,respiratory,relevant
50,arterial_bp_diastolic,0.0,0.0,0.0,10,0.0,4031569,hemodynamics,relevant
51,arterial_bp_mean,0.0,0.0,0.0,16,0.0,4254299,hemodynamics,relevant
52,arterial_bp_systolic,0.0,0.0,0.0,10,0.0,4032628,hemodynamics,relevant
53,cardiac_output_unspecified,0.3333333333333333,0.38461538461538464,0.3571428571428571,13,0.38461538461538464,6837,hemodynamics,relevant
54,central_venous_pressure,0.0,0.0,0.0,8,0.0,1492554,hemodynamics,relevant
55,heart_rate_unspecified,0.0,0.0,0.0,260,0.0,5240641,hemodynamics,relevant
56,nibp_diastolic,0.0,0.0,0.0,9,0.0,29407,hemodynamics,relevant
57,nibp_mean,0.0,0.0,0.0,18,0.0,79294,hemodynamics,relevant
58,nibp_systolic,0.0,0.0,0.0,9,0.0,29435,hemodynamics,relevant
59,pulmonary_artery_pressure_diastolic,0.0,0.0,0.0,2,0.0,5021,hemodynamics,relevant
60,pulmonary_artery_pressure_systolic,0.0,0.0,0.0,2,0.0,5021,hemodynamics,relevant
61,pulmonary_artery_pressure_mean,0.0,0.0,0.0,5,0.0,17302,hemodynamics,relevant
62,pulmonary_wedge_pressure,0.0,0.0,0.0,3,0.0,63,hemodynamics,relevant
63,heart_rhythm_text,0.0,0.0,0.0,255,0.0,146664,hemodynamics,relevant
