concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.00043741342859225776,0.07894736842105263,0.00043741342859225776,0.0008700065250489378,35040151,13717,1
laboratory value,0.00786230344241394,0.07424870986949648,0.00786230344241394,0.008423736303599157,1762932,4706,320
medication,0.0015418502202643172,0.0019269175460518114,0.0015418502202643172,0.001387274961310266,798915,4540,691
fluid balance,0.005368472425573451,0.027606324781417366,0.005368472425573451,0.008509261100333577,723822,2049,26
respiratory,0.003913894324853229,0.017313968470056278,0.003913894324853229,0.006019933984034126,94226679,2044,121
hemodynamics,0.009533898305084746,0.005410108958837772,0.009533898305084746,0.006135482631775004,37897094,944,63
nice data,0.012048192771084338,0.01430917468322904,0.012048192771084338,0.009787009329343427,48927,249,58
infectiology,0.0,0.0,0.0,0.0,1886511,225,27
renal replacement therapy,0.009433962264150943,0.02306079664570231,0.009433962264150943,0.011986681465038845,6892561,212,37
neurology,0.009950248756218905,0.029579991200460284,0.009950248756218905,0.012157732324387388,414649,201,12
clinical score,0.0,0.0,0.0,0.0,1285107,177,28
position,0.0,0.0,0.0,0.0,46543,138,3
demographics,0.0,0.0,0.0,0.0,12606,102,11
admission information,0.0,0.0,0.0,0.0,16469,57,8
lda,0.0,0.0,0.0,0.0,883,38,7
sofa score,0.0,0.0,0.0,0.0,89479,22,17
