concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.000,0.079,0.000,0.001,35040151,13717,1
laboratory value,0.008,0.074,0.008,0.008,1762932,4706,320
medication,0.002,0.002,0.002,0.001,798915,4540,691
fluid balance,0.005,0.028,0.005,0.009,723822,2049,26
respiratory,0.004,0.017,0.004,0.006,94226679,2044,121
hemodynamics,0.010,0.005,0.010,0.006,37897094,944,63
nice data,0.012,0.014,0.012,0.010,48927,249,58
infectiology,0.000,0.000,0.000,0.000,1886511,225,27
renal replacement therapy,0.009,0.023,0.009,0.012,6892561,212,37
neurology,0.010,0.030,0.010,0.012,414649,201,12
clinical score,0.000,0.000,0.000,0.000,1285107,177,28
position,0.000,0.000,0.000,0.000,46543,138,3
demographics,0.000,0.000,0.000,0.000,12606,102,11
admission information,0.000,0.000,0.000,0.000,16469,57,8
lda,0.000,0.000,0.000,0.000,883,38,7
sofa score,0.000,0.000,0.000,0.000,89479,22,17
