,concept_label,precision,recall,f1,support,accuracy,balanced_accuracy,num_records,concept_label_group,relevance
0,potassium_unspecified,0.0,0.0,0.0,24,0.0,0.0,50991,laboratory value,relevant
1,unmapped,0.0,0.0,0.0,656,0.0,0.0,23995197,unmapped,irrelevant
2,fio2_hiflow,1.0,0.5,0.6666666666666666,2,0.5,0.5,5394,respiratory,relevant
3,o2_flow_high_flow_oxygen,0.0,0.0,0.0,13,0.0,0.0,147830,respiratory,relevant
4,lactate_dehydrogenase_unspecified,0.0,0.0,0.0,26,0.0,0.0,16864,laboratory value,relevant
5,amylase_unspecified,0.0,0.0,0.0,3,0.0,0.0,1161,laboratory value,relevant
6,picco_pulse_pressure_variation,0.0,0.0,0.0,6,0.0,0.0,36725,hemodynamics,relevant
7,ultrafiltration_cvvh_measured,0.0,0.0,0.0,3,0.0,0.0,30774,renal replacement therapy,relevant
8,access_pressure_cvvh,0.0,0.0,0.0,22,0.0,0.0,503347,renal replacement therapy,relevant
9,return_pressure_cvvh,0.0,0.0,0.0,21,0.0,0.0,503116,renal replacement therapy,relevant
10,crrt_duration,0.0,0.0,0.0,1,0.0,0.0,498,renal replacement therapy,relevant
11,blood_flow_cvvh,0.0,0.0,0.0,12,0.0,0.0,114085,renal replacement therapy,relevant
12,effluent_pressure_cvvh,0.0,0.0,0.0,17,0.0,0.0,468903,renal replacement therapy,relevant
13,fluid_out_cvvh_dialysis_cumulative,0.0,0.0,0.0,3,0.0,0.0,95884,fluid balance,relevant
14,ultrafiltration_cvvh_set,0.0,0.0,0.0,15,0.0,0.0,483421,renal replacement therapy,relevant
15,substitution_volume_cvvh,0.0,0.0,0.0,4,0.0,0.0,97433,renal replacement therapy,relevant
16,procalcitonin_unspecified,0.0,0.0,0.0,13,0.0,0.0,12070,laboratory value,relevant
17,glucose_measured_unspecified,0.0,0.0,0.0,53,0.0,0.0,88828,laboratory value,relevant
18,end_tidal_co2_measured,0.0,0.0,0.0,31,0.0,0.0,3716064,respiratory,relevant
19,ph_arterial,1.0,0.16666666666666666,0.2857142857142857,24,0.16666666666666666,0.16666666666666666,63898,laboratory value,relevant
20,po2_unspecified,0.0,0.0,0.0,8,0.0,0.0,22906,laboratory value,relevant
21,pco2_unspecified,0.0,0.0,0.0,11,0.0,0.0,24546,laboratory value,relevant
22,base_excess_unspecified,0.0,0.0,0.0,14,0.0,0.0,59930,laboratory value,relevant
23,bicarbonate_actual_unspecified,0.0,0.0,0.0,15,0.0,0.0,61991,laboratory value,relevant
24,sodium_unspecified,0.0,0.0,0.0,26,0.0,0.0,50972,laboratory value,relevant
25,fio2_set,0.0,0.0,0.0,25,0.0,0.0,3919944,respiratory,relevant
26,peak_inspiratory_pressure,0.0,0.0,0.0,31,0.0,0.0,4521354,respiratory,relevant
27,tidal_volume_expiratory_measured,0.0,0.0,0.0,4,0.0,0.0,1478863,respiratory,relevant
28,p01_measured,0.0,0.0,0.0,14,0.0,0.0,1081031,respiratory,relevant
29,arterial_bp_diastolic,0.0,0.0,0.0,10,0.0,0.0,4031569,hemodynamics,relevant
30,arterial_bp_mean,0.0,0.0,0.0,12,0.0,0.0,4078065,hemodynamics,relevant
31,arterial_bp_systolic,0.0,0.0,0.0,10,0.0,0.0,4032628,hemodynamics,relevant
32,heart_rate_unspecified,0.0,0.0,0.0,30,0.0,0.0,8471022,hemodynamics,relevant
33,nibp_diastolic,0.0,0.0,0.0,9,0.0,0.0,29407,hemodynamics,relevant
34,nibp_mean,0.0,0.0,0.0,10,0.0,0.0,36220,hemodynamics,relevant
35,nibp_systolic,0.0,0.0,0.0,9,0.0,0.0,29435,hemodynamics,relevant
36,fluid_in_oral,0.0,0.0,0.0,16,0.0,0.0,8970,fluid balance,relevant
37,fluid_out_urine,0.0,0.0,0.0,38,0.0,0.0,349873,fluid balance,relevant
38,fluid_out_defecation,0.0,0.0,0.0,26,0.0,0.0,28657,fluid balance,relevant
39,fluid_in_tube,0.0,0.0,0.0,16,0.0,0.0,43758,fluid balance,relevant
40,temperature_bladder,0.0,0.0,0.0,5,0.0,0.0,787563,infectiology,relevant
41,inspiratory_pressure_above_peep,0.0,0.0,0.0,45,0.0,0.0,3427293,respiratory,relevant
42,respiratory_rate_measured_spontaneous,0.0,0.0,0.0,9,0.0,0.0,4250445,respiratory,relevant
43,respiratory_rate_measured_ventilator,0.0,0.0,0.0,24,0.0,0.0,3730960,respiratory,relevant
44,peep_unspecified,0.0,0.0,0.0,4,0.0,0.0,803539,respiratory,relevant
45,lung_compliance_unspecified,0.0,0.0,0.0,5,0.0,0.0,911018,respiratory,relevant
46,tidal_volume_expiratory_unspecified,0.0,0.0,0.0,1,0.0,0.0,19097,respiratory,relevant
47,inspiratory_time_perc,0.0,0.0,0.0,1,0.0,0.0,2923,respiratory,relevant
48,tidal_volume_inspiratory_unspecified,0.0,0.0,0.0,2,0.0,0.0,22013,respiratory,relevant
49,o2_flow_unspecified,0.0,0.0,0.0,13,0.0,0.0,35017,respiratory,relevant
50,plateau_pressure,0.0,0.0,0.0,19,0.0,0.0,965336,respiratory,relevant
51,saturation_o2_peripheral,0.0,0.0,0.0,22,0.0,0.0,2007358,respiratory,relevant
52,pressure_trigger,0.0,0.0,0.0,2,0.0,0.0,616,respiratory,relevant
53,alkaline_phosphatase_unspecified,0.0,0.0,0.0,25,0.0,0.0,16014,laboratory value,relevant
54,asat_unspecified,0.0,0.0,0.0,23,0.0,0.0,16506,laboratory value,relevant
55,alat_unspecified,0.0,0.0,0.0,24,0.0,0.0,19130,laboratory value,relevant
56,albumin_unspecified,0.0,0.0,0.0,21,0.0,0.0,15219,laboratory value,relevant
57,po2_arterial,0.0,0.0,0.0,28,0.0,0.0,82553,laboratory value,relevant
58,bilirubin_unspecified,0.0,0.0,0.0,5,0.0,0.0,3345,laboratory value,relevant
59,calcium_unspecified,0.0,0.0,0.0,12,0.0,0.0,8611,laboratory value,relevant
60,calcium_ionised,0.0,0.0,0.0,12,0.0,0.0,43469,laboratory value,relevant
61,creatine_kinase_unspecified,0.0,0.0,0.0,18,0.0,0.0,15880,laboratory value,relevant
62,crp_unspecified,0.0,0.0,0.0,24,0.0,0.0,30239,laboratory value,relevant
63,creatinine_unspecified,0.0,0.0,0.0,19,0.0,0.0,24182,laboratory value,relevant
64,chloride_unspecified,0.0,0.0,0.0,16,0.0,0.0,40144,laboratory value,relevant
65,phosphate_unspecified,0.0,0.0,0.0,22,0.0,0.0,25221,laboratory value,relevant
