concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.054,0.144,0.054,0.066,3218569,1435,202
unmapped,0.026,0.080,0.026,0.039,29141596,1340,1
respiratory,0.052,0.090,0.052,0.056,92123991,920,105
hemodynamics,0.039,0.045,0.039,0.036,40328034,436,54
fluid balance,0.051,0.112,0.051,0.064,1108187,352,19
medication,0.026,0.053,0.026,0.031,355165,234,83
renal replacement therapy,0.027,0.025,0.027,0.026,6646821,220,27
infectiology,0.043,0.037,0.043,0.040,2828951,115,14
clinical score,0.023,0.018,0.023,0.017,1401845,87,14
demographics,0.000,0.000,0.000,0.000,878418,78,7
sofa score,0.057,0.058,0.057,0.039,28882,35,13
neurology,0.125,0.117,0.125,0.117,74227,32,8
nice data,0.000,0.000,0.000,0.000,2580,2,2
