,concept_label,precision,recall,f1,support,accuracy,num_records,concept_label_group,relevance
0,potassium_unspecified,0.0,0.0,0.0,25,0.0,51348,laboratory value,relevant
1,unmapped,0.04895104895104895,0.005794701986754967,0.010362694300518133,1208,0.005794701986754967,28289672,unmapped,irrelevant
2,fio2_hiflow,0.0,0.0,0.0,3,0.0,5723,respiratory,relevant
3,o2_flow_high_flow_oxygen,0.6666666666666666,0.14285714285714285,0.23529411764705882,14,0.14285714285714285,149827,respiratory,relevant
4,lactate_dehydrogenase_unspecified,0.0,0.0,0.0,26,0.0,16864,laboratory value,relevant
5,amylase_unspecified,0.0,0.0,0.0,3,0.0,1161,laboratory value,relevant
6,picco_pulse_pressure_variation,0.0,0.0,0.0,6,0.0,36725,hemodynamics,relevant
7,ultrafiltration_cvvh_measured,0.0,0.0,0.0,3,0.0,30774,renal replacement therapy,relevant
8,access_pressure_cvvh,0.0,0.0,0.0,24,0.0,504797,renal replacement therapy,relevant
9,return_pressure_cvvh,0.0,0.0,0.0,25,0.0,519061,renal replacement therapy,relevant
10,crrt_duration,0.0,0.0,0.0,1,0.0,498,renal replacement therapy,relevant
11,blood_flow_cvvh,0.0,0.0,0.0,16,0.0,182026,renal replacement therapy,relevant
12,effluent_pressure_cvvh,0.0,0.0,0.0,19,0.0,469883,renal replacement therapy,relevant
13,fluid_out_cvvh_dialysis_cumulative,0.0,0.0,0.0,3,0.0,95884,fluid balance,relevant
14,ultrafiltration_cvvh_set,0.0,0.0,0.0,18,0.0,515601,renal replacement therapy,relevant
15,substitution_volume_cvvh,0.0,0.0,0.0,4,0.0,97433,renal replacement therapy,relevant
16,procalcitonin_unspecified,0.0,0.0,0.0,13,0.0,12070,laboratory value,relevant
17,glucose_measured_unspecified,0.5,0.029411764705882353,0.05555555555555555,68,0.029411764705882353,103913,laboratory value,relevant
18,vancomycin_level,0.0,0.0,0.0,2,0.0,328,laboratory value,relevant
19,pupil_diameter_right,0.0,0.0,0.0,3,0.0,4431,neurology,relevant
20,end_tidal_co2_measured,0.0,0.0,0.0,37,0.0,3832478,respiratory,relevant
21,ph_arterial,0.0,0.0,0.0,24,0.0,63898,laboratory value,relevant
22,po2_unspecified,0.0,0.0,0.0,8,0.0,22906,laboratory value,relevant
23,pco2_unspecified,0.0,0.0,0.0,11,0.0,24546,laboratory value,relevant
24,base_excess_unspecified,0.3333333333333333,0.07142857142857142,0.11764705882352941,14,0.07142857142857142,59930,laboratory value,relevant
25,bicarbonate_actual_unspecified,0.5,0.2,0.28571428571428575,15,0.2,61991,laboratory value,relevant
26,sodium_unspecified,0.0,0.0,0.0,28,0.0,51474,laboratory value,relevant
27,fio2_set,0.3333333333333333,0.11764705882352941,0.1739130434782609,34,0.11764705882352941,4253623,respiratory,relevant
28,peak_inspiratory_pressure,0.0,0.0,0.0,36,0.0,4589455,respiratory,relevant
29,tidal_volume_expiratory_measured,0.0,0.0,0.0,4,0.0,1478863,respiratory,relevant
30,p01_measured,0.0,0.0,0.0,16,0.0,1958402,respiratory,relevant
31,arterial_bp_diastolic,0.0,0.0,0.0,10,0.0,4031569,hemodynamics,relevant
32,arterial_bp_mean,0.0,0.0,0.0,15,0.0,4254298,hemodynamics,relevant
33,arterial_bp_systolic,0.0,0.0,0.0,10,0.0,4032628,hemodynamics,relevant
34,heart_rate_unspecified,0.26666666666666666,0.034482758620689655,0.061068702290076333,116,0.034482758620689655,8718006,hemodynamics,relevant
35,nibp_diastolic,0.0,0.0,0.0,9,0.0,29407,hemodynamics,relevant
36,nibp_mean,0.38461538461538464,0.3125,0.3448275862068966,16,0.3125,79200,hemodynamics,relevant
37,nibp_systolic,0.0,0.0,0.0,10,0.0,38036,hemodynamics,relevant
38,fluid_in_oral,0.0,0.0,0.0,32,0.0,18778,fluid balance,relevant
39,fluid_out_urine,0.058823529411764705,0.022222222222222223,0.03225806451612903,45,0.022222222222222223,424993,fluid balance,relevant
40,fluid_out_defecation,0.125,0.02857142857142857,0.04651162790697674,35,0.02857142857142857,37564,fluid balance,relevant
41,fluid_in_tube,0.045454545454545456,0.029411764705882353,0.03571428571428571,34,0.029411764705882353,89875,fluid balance,relevant
42,temperature_bladder,0.0,0.0,0.0,10,0.0,794871,infectiology,relevant
43,fluid_out_emesis_retention,0.0,0.0,0.0,34,0.0,93931,fluid balance,relevant
44,inspiratory_pressure_above_peep,0.1111111111111111,0.015625,0.0273972602739726,64,0.015625,3998886,respiratory,relevant
45,respiratory_rate_measured_spontaneous,0.0,0.0,0.0,10,0.0,4331935,respiratory,relevant
46,respiratory_rate_measured_ventilator,0.0,0.0,0.0,25,0.0,3737224,respiratory,relevant
47,peep_unspecified,0.0,0.0,0.0,4,0.0,803539,respiratory,relevant
48,pupil_diameter_left,0.0,0.0,0.0,2,0.0,3076,neurology,relevant
49,lung_compliance_unspecified,0.0,0.0,0.0,5,0.0,911018,respiratory,relevant
50,tidal_volume_expiratory_unspecified,0.0,0.0,0.0,1,0.0,19097,respiratory,relevant
51,inspiratory_time_perc,0.0,0.0,0.0,1,0.0,2923,respiratory,relevant
52,tidal_volume_inspiratory_unspecified,0.0,0.0,0.0,2,0.0,22013,respiratory,relevant
53,o2_flow_unspecified,0.2,0.03333333333333333,0.05714285714285715,30,0.03333333333333333,69551,respiratory,relevant
54,plateau_pressure,0.0,0.0,0.0,22,0.0,979691,respiratory,relevant
55,saturation_o2_peripheral,0.0,0.0,0.0,42,0.0,3342569,respiratory,relevant
56,pressure_trigger,0.045454545454545456,0.5,0.08333333333333334,2,0.5,616,respiratory,relevant
57,hemoglobin_unspecified,0.0,0.0,0.0,29,0.0,71291,laboratory value,relevant
58,alkaline_phosphatase_unspecified,0.0,0.0,0.0,25,0.0,16014,laboratory value,relevant
59,asat_unspecified,0.0,0.0,0.0,23,0.0,16506,laboratory value,relevant
60,alat_unspecified,0.0,0.0,0.0,25,0.0,19322,laboratory value,relevant
61,albumin_unspecified,0.2,0.045454545454545456,0.07407407407407407,22,0.045454545454545456,15410,laboratory value,relevant
62,aptt_unspecified,0.0,0.0,0.0,19,0.0,14479,laboratory value,relevant
63,po2_arterial,0.0,0.0,0.0,28,0.0,82553,laboratory value,relevant
64,bilirubin_unspecified,0.0,0.0,0.0,5,0.0,3345,laboratory value,relevant
65,calcium_unspecified,0.0,0.0,0.0,12,0.0,8611,laboratory value,relevant
66,calcium_ionised,0.0,0.0,0.0,12,0.0,43469,laboratory value,relevant
67,creatine_kinase_unspecified,0.0,0.0,0.0,18,0.0,15880,laboratory value,relevant
68,crp_unspecified,0.0,0.0,0.0,25,0.0,32176,laboratory value,relevant
69,creatinine_unspecified,0.0,0.0,0.0,19,0.0,24182,laboratory value,relevant
70,chloride_unspecified,0.0,0.0,0.0,16,0.0,40144,laboratory value,relevant
71,hematocrit_unspecified,1.0,0.047619047619047616,0.0909090909090909,21,0.047619047619047616,35687,laboratory value,relevant
72,phosphate_unspecified,0.0,0.0,0.0,22,0.0,25221,laboratory value,relevant
