concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.021037868162692847,0.07449542011024003,0.021037868162692847,0.023665167315031186,3211952,1426,201
unmapped,0.0018656716417910447,0.015151515151515152,0.0018656716417910447,0.0033222591362126247,27310476,1072,1
respiratory,0.01853997682502897,0.07857356503635914,0.01853997682502897,0.020540504622196393,90289831,863,104
hemodynamics,0.0,0.0,0.0,0.0,40061759,362,54
fluid balance,0.015060240963855422,0.04957329317269076,0.015060240963855422,0.018022747360096757,1078555,332,19
medication,0.0,0.0,0.0,0.0,353742,232,82
renal replacement therapy,0.009615384615384616,0.012980769230769231,0.009615384615384616,0.011013986013986014,6566011,208,26
infectiology,0.0,0.0,0.0,0.0,2797372,104,14
clinical score,0.011904761904761904,0.06547619047619048,0.011904761904761904,0.020146520146520148,1239382,84,14
demographics,0.04838709677419355,0.008538899430740038,0.04838709677419355,0.014516129032258063,868988,62,7
sofa score,0.0,0.0,0.0,0.0,23307,30,11
neurology,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,55461,23,8
nice data,0.0,0.0,0.0,0.0,1290,1,1
