ehr_name,hospital_name,relevance,accuracy,precision,recall,f1,num_records,support,group_count
EPIC,8,overall,0.019,0.014,0.019,0.016,846788,209,95
EPIC,8,relevant,0.031,0.023,0.031,0.026,636127,128,94
EPIC,8,irrelevant,0.000,0.000,0.000,0.000,210661,81,1
EPIC,20,overall,0.011,0.008,0.011,0.008,4369717,364,145
EPIC,20,relevant,0.022,0.015,0.022,0.017,567128,179,144
EPIC,20,irrelevant,0.000,0.000,0.000,0.000,3802589,185,1
EPIC,23,overall,0.000,0.000,0.000,0.000,313135,140,81
EPIC,23,relevant,0.000,0.000,0.000,0.000,229084,99,80
EPIC,23,irrelevant,0.000,0.000,0.000,0.000,84051,41,1
EPIC,24,overall,0.019,0.049,0.019,0.025,2586259,365,132
EPIC,24,relevant,0.027,0.069,0.027,0.035,1807480,261,131
EPIC,24,irrelevant,0.000,0.000,0.000,0.000,778779,104,1
HIX,4,overall,0.009,0.009,0.009,0.009,269104,107,96
HIX,4,relevant,0.010,0.010,0.010,0.010,259991,103,95
HIX,4,irrelevant,0.000,0.000,0.000,0.000,9113,4,1
HIX,5,overall,0.000,0.000,0.000,0.000,1212738,188,122
HIX,5,relevant,0.000,0.000,0.000,0.000,1168626,160,121
HIX,5,irrelevant,0.000,0.000,0.000,0.000,44112,28,1
HIX,6,overall,0.012,0.012,0.012,0.012,923878,164,127
HIX,6,relevant,0.013,0.013,0.013,0.013,872761,150,126
HIX,6,irrelevant,0.000,0.000,0.000,0.000,51117,14,1
HIX,9,overall,0.011,0.016,0.011,0.013,505252,182,140
HIX,9,relevant,0.012,0.018,0.012,0.014,478353,169,139
HIX,9,irrelevant,0.000,0.000,0.000,0.000,26899,13,1
HIX,12,overall,0.042,0.042,0.042,0.042,103475,48,45
HIX,12,relevant,0.042,0.042,0.042,0.042,103475,48,45
HIX,14,overall,0.000,0.000,0.000,0.000,264371,98,87
HIX,14,relevant,0.000,0.000,0.000,0.000,246000,92,86
HIX,14,irrelevant,0.000,0.000,0.000,0.000,18371,6,1
HIX,16,overall,0.000,0.000,0.000,0.000,652401,181,113
HIX,16,relevant,0.000,0.000,0.000,0.000,627323,158,112
HIX,16,irrelevant,0.000,0.000,0.000,0.000,25078,23,1
HIX,18,overall,0.000,0.000,0.000,0.000,715201,162,129
HIX,18,relevant,0.000,0.000,0.000,0.000,677260,147,128
HIX,18,irrelevant,0.000,0.000,0.000,0.000,37941,15,1
HIX,21,overall,0.008,0.008,0.008,0.008,4060936,119,91
HIX,21,relevant,0.010,0.010,0.010,0.010,3508022,105,90
HIX,21,irrelevant,0.000,0.000,0.000,0.000,552914,14,1
HIX,22,overall,0.000,0.000,0.000,0.000,310236,85,70
HIX,22,relevant,0.000,0.000,0.000,0.000,290848,77,69
HIX,22,irrelevant,0.000,0.000,0.000,0.000,19388,8,1
HIX,26,overall,0.005,0.005,0.005,0.005,382552,189,134
HIX,26,relevant,0.006,0.006,0.006,0.006,372756,165,133
HIX,26,irrelevant,0.000,0.000,0.000,0.000,9796,24,1
HIX,28,overall,0.015,0.015,0.015,0.015,256215,133,98
HIX,28,relevant,0.016,0.016,0.016,0.016,212849,123,97
HIX,28,irrelevant,0.000,0.000,0.000,0.000,43366,10,1
MV,0,overall,0.000,0.000,0.000,0.000,691564,170,113
MV,0,relevant,0.000,0.000,0.000,0.000,526600,138,112
MV,0,irrelevant,0.000,0.000,0.000,0.000,164964,32,1
MV,2,overall,0.008,0.004,0.008,0.005,45495782,261,171
MV,2,relevant,0.011,0.006,0.011,0.006,38316359,187,170
MV,2,irrelevant,0.000,0.000,0.000,0.000,7179423,74,1
MV,3,overall,0.000,0.000,0.000,0.000,587816,86,66
MV,3,relevant,0.000,0.000,0.000,0.000,582181,78,65
MV,3,irrelevant,0.000,0.000,0.000,0.000,5635,8,1
MV,10,overall,0.010,0.010,0.010,0.010,33202951,193,125
MV,10,relevant,0.013,0.013,0.013,0.013,28896503,154,124
MV,10,irrelevant,0.000,0.000,0.000,0.000,4306448,39,1
MV,11,overall,0.010,0.007,0.010,0.008,1093061,191,148
MV,11,relevant,0.013,0.008,0.013,0.009,821090,159,147
MV,11,irrelevant,0.000,0.000,0.000,0.000,271971,32,1
MV,13,overall,0.027,0.027,0.027,0.027,14506265,73,53
MV,13,relevant,0.036,0.036,0.036,0.036,13274651,55,52
MV,13,irrelevant,0.000,0.000,0.000,0.000,1231614,18,1
MV,15,overall,0.034,0.147,0.034,0.042,26517005,232,141
MV,15,relevant,0.032,0.032,0.032,0.032,24294339,190,140
MV,15,irrelevant,0.048,0.667,0.048,0.089,2222666,42,1
MV,17,overall,0.000,0.000,0.000,0.000,30298455,243,146
MV,17,relevant,0.000,0.000,0.000,0.000,24797806,165,145
MV,17,irrelevant,0.000,0.000,0.000,0.000,5500649,78,1
MV,25,overall,0.000,0.000,0.000,0.000,927105,134,99
MV,25,relevant,0.000,0.000,0.000,0.000,889405,117,98
MV,25,irrelevant,0.000,0.000,0.000,0.000,37700,17,1
MV,29,overall,0.000,0.000,0.000,0.000,1346704,194,148
MV,29,relevant,0.000,0.000,0.000,0.000,1208536,166,147
MV,29,irrelevant,0.000,0.000,0.000,0.000,138168,28,1
