ehr_name,hospital_name,relevance,accuracy,precision,recall,f1,num_records,support,group_count
EPIC,etz,zoverall,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,423845,135,72
EPIC,etz,relevant,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,257978,87,71
EPIC,etz,irrelevant,0.0,0.0,0.0,0.0,165867,48,1
EPIC,radboud,zoverall,0.009708737864077669,0.40372168284789645,0.009708737864077669,0.010980120203421173,2531142,206,114
EPIC,radboud,relevant,0.008130081300813009,0.0013550135501355014,0.008130081300813009,0.0023228803716608595,398691,123,113
EPIC,radboud,irrelevant,0.012048192771084338,1.0,0.012048192771084338,0.02380952380952381,2132451,83,1
EPIC,spaarnegasthuis,zoverall,0.0,0.0,0.0,0.0,199759,95,63
EPIC,spaarnegasthuis,relevant,0.0,0.0,0.0,0.0,161109,72,62
EPIC,spaarnegasthuis,irrelevant,0.0,0.0,0.0,0.0,38650,23,1
EPIC,stantonius,zoverall,0.007142857142857143,0.02857142857142857,0.007142857142857143,0.010884353741496598,1215806,280,100
EPIC,stantonius,relevant,0.009478672985781991,0.037914691943127965,0.009478672985781991,0.014443692168810652,806236,211,99
EPIC,stantonius,irrelevant,0.0,0.0,0.0,0.0,409570,69,1
HIX,bovenij,zoverall,0.0,0.0,0.0,0.0,261979,99,88
HIX,bovenij,relevant,0.0,0.0,0.0,0.0,252866,95,87
HIX,bovenij,irrelevant,0.0,0.0,0.0,0.0,9113,4,1
HIX,catharina,zoverall,0.0,0.0,0.0,0.0,1173865,167,117
HIX,catharina,relevant,0.0,0.0,0.0,0.0,1131049,146,116
HIX,catharina,irrelevant,0.0,0.0,0.0,0.0,42816,21,1
HIX,cwz,zoverall,0.006578947368421052,0.006578947368421052,0.006578947368421052,0.006578947368421052,896872,152,118
HIX,cwz,relevant,0.007194244604316547,0.007194244604316547,0.007194244604316547,0.007194244604316547,846018,139,117
HIX,cwz,irrelevant,0.0,0.0,0.0,0.0,50854,13,1
HIX,franciscus,zoverall,0.0,0.0,0.0,0.0,486015,168,131
HIX,franciscus,relevant,0.0,0.0,0.0,0.0,459116,155,130
HIX,franciscus,irrelevant,0.0,0.0,0.0,0.0,26899,13,1
HIX,ikazia,zoverall,0.0,0.0,0.0,0.0,88411,43,42
HIX,ikazia,relevant,0.0,0.0,0.0,0.0,88411,43,42
HIX,laurentius,zoverall,0.0,0.0,0.0,0.0,256267,93,82
HIX,laurentius,relevant,0.0,0.0,0.0,0.0,237896,87,81
HIX,laurentius,irrelevant,0.0,0.0,0.0,0.0,18371,6,1
HIX,martini,zoverall,0.0,0.0,0.0,0.0,645974,168,109
HIX,martini,relevant,0.0,0.0,0.0,0.0,620896,145,108
HIX,martini,irrelevant,0.0,0.0,0.0,0.0,25078,23,1
HIX,noordwest,zoverall,0.0,0.0,0.0,0.0,702220,152,122
HIX,noordwest,relevant,0.0,0.0,0.0,0.0,664380,138,121
HIX,noordwest,irrelevant,0.0,0.0,0.0,0.0,37840,14,1
HIX,rdgg,zoverall,0.0,0.0,0.0,0.0,4040785,114,89
HIX,rdgg,relevant,0.0,0.0,0.0,0.0,3487871,100,88
HIX,rdgg,irrelevant,0.0,0.0,0.0,0.0,552914,14,1
HIX,slingeland,zoverall,0.0,0.0,0.0,0.0,303025,77,66
HIX,slingeland,relevant,0.0,0.0,0.0,0.0,283922,70,65
