,concept_label,precision,recall,f1,support,accuracy,num_records,concept_label_group,relevance
0,potassium_unspecified,0.000,0.000,0.000,24,0.000,50991,laboratory value,relevant
1,unmapped,0.048,0.003,0.005,717,0.003,24608313,unmapped,irrelevant
2,fio2_hiflow,0.000,0.000,0.000,2,0.000,5394,respiratory,relevant
3,o2_flow_high_flow_oxygen,0.000,0.000,0.000,14,0.000,149827,respiratory,relevant
4,lactate_dehydrogenase_unspecified,0.000,0.000,0.000,26,0.000,16864,laboratory value,relevant
5,amylase_unspecified,0.000,0.000,0.000,3,0.000,1161,laboratory value,relevant
6,picco_pulse_pressure_variation,0.000,0.000,0.000,6,0.000,36725,hemodynamics,relevant
7,ultrafiltration_cvvh_measured,0.000,0.000,0.000,3,0.000,30774,renal replacement therapy,relevant
8,access_pressure_cvvh,0.000,0.000,0.000,23,0.000,504138,renal replacement therapy,relevant
9,return_pressure_cvvh,0.000,0.000,0.000,21,0.000,503116,renal replacement therapy,relevant
10,crrt_duration,0.000,0.000,0.000,1,0.000,498,renal replacement therapy,relevant
11,blood_flow_cvvh,0.000,0.000,0.000,13,0.000,177734,renal replacement therapy,relevant
12,effluent_pressure_cvvh,0.000,0.000,0.000,17,0.000,468903,renal replacement therapy,relevant
13,fluid_out_cvvh_dialysis_cumulative,0.000,0.000,0.000,3,0.000,95884,fluid balance,relevant
14,ultrafiltration_cvvh_set,0.000,0.000,0.000,16,0.000,510589,renal replacement therapy,relevant
15,substitution_volume_cvvh,0.000,0.000,0.000,4,0.000,97433,renal replacement therapy,relevant
16,procalcitonin_unspecified,0.000,0.000,0.000,13,0.000,12070,laboratory value,relevant
17,glucose_measured_unspecified,0.000,0.000,0.000,59,0.000,90427,laboratory value,relevant
18,end_tidal_co2_measured,0.000,0.000,0.000,32,0.000,3716577,respiratory,relevant
19,ph_arterial,1.000,0.042,0.080,24,0.042,63898,laboratory value,relevant
20,po2_unspecified,0.000,0.000,0.000,8,0.000,22906,laboratory value,relevant
21,pco2_unspecified,0.000,0.000,0.000,11,0.000,24546,laboratory value,relevant
22,base_excess_unspecified,0.000,0.000,0.000,14,0.000,59930,laboratory value,relevant
23,bicarbonate_actual_unspecified,0.000,0.000,0.000,15,0.000,61991,laboratory value,relevant
24,sodium_unspecified,0.000,0.000,0.000,26,0.000,50972,laboratory value,relevant
