concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.057,0.143,0.057,0.067,3208674,1426,202
unmapped,0.021,0.056,0.021,0.031,28286572,1184,1
respiratory,0.055,0.096,0.055,0.057,90669157,893,105
hemodynamics,0.056,0.076,0.056,0.057,40057236,354,54
fluid balance,0.046,0.098,0.046,0.054,1105847,351,19
medication,0.014,0.025,0.014,0.016,348328,216,79
renal replacement therapy,0.023,0.019,0.023,0.021,6598157,216,26
infectiology,0.031,0.055,0.031,0.039,2795584,98,14
clinical score,0.028,0.022,0.028,0.021,1387362,72,14
demographics,0.000,0.000,0.000,0.000,871596,66,7
sofa score,0.059,0.060,0.059,0.041,27592,34,12
neurology,0.067,0.078,0.067,0.070,73860,30,8
nice data,0.000,0.000,0.000,0.000,1290,1,1
