,concept_label,precision,recall,f1,support,accuracy,num_records,concept_label_group,relevance
0,potassium_unspecified,0.000,0.000,0.000,23,0.000,47878,laboratory value,relevant
1,unmapped,0.000,0.000,0.000,671,0.000,24050390,unmapped,irrelevant
2,fio2_hiflow,0.000,0.000,0.000,2,0.000,5394,respiratory,relevant
3,o2_flow_high_flow_oxygen,0.000,0.000,0.000,14,0.000,149827,respiratory,relevant
4,lactate_dehydrogenase_unspecified,0.000,0.000,0.000,23,0.000,16100,laboratory value,relevant
5,amylase_unspecified,0.000,0.000,0.000,3,0.000,1161,laboratory value,relevant
6,picco_pulse_pressure_variation,0.000,0.000,0.000,6,0.000,36725,hemodynamics,relevant
7,ultrafiltration_cvvh_measured,0.000,0.000,0.000,2,0.000,27680,renal replacement therapy,relevant
8,access_pressure_cvvh,0.000,0.000,0.000,21,0.000,500865,renal replacement therapy,relevant
9,return_pressure_cvvh,0.000,0.000,0.000,23,0.000,504097,renal replacement therapy,relevant
10,crrt_duration,0.000,0.000,0.000,1,0.000,498,renal replacement therapy,relevant
11,blood_flow_cvvh,0.000,0.000,0.000,12,0.000,114085,renal replacement therapy,relevant
12,effluent_pressure_cvvh,0.000,0.000,0.000,17,0.000,466611,renal replacement therapy,relevant
13,fluid_out_cvvh_dialysis_cumulative,0.000,0.000,0.000,3,0.000,95884,fluid balance,relevant
14,ultrafiltration_cvvh_set,0.000,0.000,0.000,14,0.000,502734,renal replacement therapy,relevant
15,substitution_volume_cvvh,0.000,0.000,0.000,4,0.000,97433,renal replacement therapy,relevant
16,procalcitonin_unspecified,0.000,0.000,0.000,10,0.000,10589,laboratory value,relevant
17,glucose_measured_unspecified,0.000,0.000,0.000,45,0.000,74670,laboratory value,relevant
18,end_tidal_co2_measured,0.000,0.000,0.000,32,0.000,3716577,respiratory,relevant
19,ph_arterial,0.000,0.000,0.000,24,0.000,63898,laboratory value,relevant
20,po2_unspecified,0.000,0.000,0.000,8,0.000,22906,laboratory value,relevant
21,pco2_unspecified,0.000,0.000,0.000,11,0.000,24546,laboratory value,relevant
22,base_excess_unspecified,0.000,0.000,0.000,14,0.000,59930,laboratory value,relevant
23,bicarbonate_actual_unspecified,0.000,0.000,0.000,15,0.000,61991,laboratory value,relevant
24,sodium_unspecified,0.000,0.000,0.000,25,0.000,48477,laboratory value,relevant
25,fio2_set,0.000,0.000,0.000,30,0.000,4071628,respiratory,relevant
26,peak_inspiratory_pressure,0.000,0.000,0.000,33,0.000,4564264,respiratory,relevant
27,tidal_volume_expiratory_measured,0.000,0.000,0.000,4,0.000,1478863,respiratory,relevant
28,p01_measured,0.062,0.067,0.065,15,0.067,1897728,respiratory,relevant
29,arterial_bp_diastolic,0.000,0.000,0.000,10,0.000,4031569,hemodynamics,relevant
30,arterial_bp_mean,0.000,0.000,0.000,15,0.000,4254298,hemodynamics,relevant
31,arterial_bp_systolic,0.000,0.000,0.000,10,0.000,4032628,hemodynamics,relevant
32,heart_rate_unspecified,0.000,0.000,0.000,31,0.000,8476050,hemodynamics,relevant
33,nibp_diastolic,0.000,0.000,0.000,9,0.000,29407,hemodynamics,relevant
34,nibp_mean,0.000,0.000,0.000,16,0.000,79200,hemodynamics,relevant
35,nibp_systolic,0.000,0.000,0.000,9,0.000,29435,hemodynamics,relevant
36,fluid_out_urine,0.667,0.049,0.091,41,0.049,364546,fluid balance,relevant
37,temperature_bladder,0.000,0.000,0.000,4,0.000,470064,infectiology,relevant
38,inspiratory_pressure_above_peep,0.000,0.000,0.000,48,0.000,3846815,respiratory,relevant
39,respiratory_rate_measured_spontaneous,0.000,0.000,0.000,10,0.000,4331935,respiratory,relevant
40,respiratory_rate_measured_ventilator,0.000,0.000,0.000,25,0.000,3737224,respiratory,relevant
41,peep_unspecified,0.000,0.000,0.000,4,0.000,803539,respiratory,relevant
42,fluid_out_defecation,0.000,0.000,0.000,26,0.000,24704,fluid balance,relevant
43,lung_compliance_unspecified,0.000,0.000,0.000,5,0.000,911018,respiratory,relevant
44,tidal_volume_expiratory_unspecified,0.000,0.000,0.000,1,0.000,19097,respiratory,relevant
45,inspiratory_time_perc,0.000,0.000,0.000,1,0.000,2923,respiratory,relevant
46,tidal_volume_inspiratory_unspecified,0.000,0.000,0.000,2,0.000,22013,respiratory,relevant
47,o2_flow_unspecified,0.000,0.000,0.000,23,0.000,46445,respiratory,relevant
48,plateau_pressure,0.000,0.000,0.000,19,0.000,965336,respiratory,relevant
49,saturation_o2_peripheral,0.000,0.000,0.000,20,0.000,2006933,respiratory,relevant
50,pressure_trigger,0.000,0.000,0.000,2,0.000,616,respiratory,relevant
51,alkaline_phosphatase_unspecified,0.000,0.000,0.000,25,0.000,16014,laboratory value,relevant
52,asat_unspecified,0.000,0.000,0.000,21,0.000,15986,laboratory value,relevant
53,alat_unspecified,0.000,0.000,0.000,24,0.000,19130,laboratory value,relevant
54,albumin_unspecified,0.000,0.000,0.000,21,0.000,15219,laboratory value,relevant
55,po2_arterial,0.000,0.000,0.000,28,0.000,82553,laboratory value,relevant
56,bilirubin_unspecified,0.000,0.000,0.000,5,0.000,3345,laboratory value,relevant
57,calcium_unspecified,0.000,0.000,0.000,12,0.000,8611,laboratory value,relevant
58,calcium_ionised,0.000,0.000,0.000,12,0.000,43469,laboratory value,relevant
59,creatine_kinase_unspecified,0.000,0.000,0.000,18,0.000,15880,laboratory value,relevant
60,crp_unspecified,0.000,0.000,0.000,24,0.000,30239,laboratory value,relevant
61,creatinine_unspecified,0.000,0.000,0.000,19,0.000,24182,laboratory value,relevant
62,chloride_unspecified,0.000,0.000,0.000,16,0.000,40144,laboratory value,relevant
63,phosphate_unspecified,0.000,0.000,0.000,21,0.000,24864,laboratory value,relevant
64,leukocytes_unspecified,0.000,0.000,0.000,21,0.000,31375,laboratory value,relevant
65,magnesium_unspecified,0.000,0.000,0.000,21,0.000,24952,laboratory value,relevant
66,ureum_unspecified,0.000,0.000,0.000,23,0.000,27177,laboratory value,relevant
67,prothrombin_time_sec,0.000,0.000,0.000,12,0.000,6322,laboratory value,relevant
68,gamma_gt_unspecified,0.000,0.000,0.000,25,0.000,17730,laboratory value,relevant
69,anion_gap_unspecified,0.000,0.000,0.000,6,0.000,14883,laboratory value,relevant
70,lactate_unspecified,0.000,0.000,0.000,11,0.000,34516,laboratory value,relevant
71,glucose_measured_whole_blood,0.000,0.000,0.000,3,0.000,18981,laboratory value,relevant
72,sodium_bloodgas,0.000,0.000,0.000,4,0.000,6048,laboratory value,relevant
73,potassium_bloodgas,0.500,0.250,0.333,4,0.250,6231,laboratory value,relevant
74,calcium_ratio,0.000,0.000,0.000,3,0.000,1675,laboratory value,relevant
75,rapid_shallow_breathing_index,0.000,0.000,0.000,9,0.000,1396732,respiratory,relevant
76,med_dexmedetomidine,0.000,0.000,0.000,6,0.000,7037,medication,relevant
77,med_vancomycin,0.000,0.000,0.000,5,0.000,1688,medication,relevant
