ehr_name,hospital_name,relevance,accuracy,precision,recall,f1,num_records,support,group_count
EPIC,etz,zoverall,0.028,0.022,0.028,0.024,415342,106,64
EPIC,etz,relevant,0.038,0.030,0.038,0.032,317205,79,63
EPIC,etz,irrelevant,0.000,0.000,0.000,0.000,98137,27,1
EPIC,radboud,zoverall,0.012,0.004,0.012,0.006,3368514,165,89
EPIC,radboud,relevant,0.020,0.007,0.020,0.010,387470,98,88
EPIC,radboud,irrelevant,0.000,0.000,0.000,0.000,2981044,67,1
EPIC,spaarnegasthuis,zoverall,0.000,0.000,0.000,0.000,197769,87,55
EPIC,spaarnegasthuis,relevant,0.000,0.000,0.000,0.000,159520,66,54
EPIC,spaarnegasthuis,irrelevant,0.000,0.000,0.000,0.000,38249,21,1
EPIC,stantonius,zoverall,0.022,0.025,0.022,0.019,1683909,273,101
EPIC,stantonius,relevant,0.029,0.033,0.029,0.025,1060524,208,100
EPIC,stantonius,irrelevant,0.000,0.000,0.000,0.000,623385,65,1
HIX,bovenij,zoverall,0.000,0.000,0.000,0.000,236249,82,73
HIX,bovenij,relevant,0.000,0.000,0.000,0.000,227958,80,72
HIX,bovenij,irrelevant,0.000,0.000,0.000,0.000,8291,2,1
HIX,catharina,zoverall,0.000,0.000,0.000,0.000,1070039,121,99
HIX,catharina,relevant,0.000,0.000,0.000,0.000,1061214,113,98
HIX,catharina,irrelevant,0.000,0.000,0.000,0.000,8825,8,1
HIX,cwz,zoverall,0.000,0.000,0.000,0.000,801858,121,102
HIX,cwz,relevant,0.000,0.000,0.000,0.000,782295,114,101
HIX,cwz,irrelevant,0.000,0.000,0.000,0.000,19563,7,1
HIX,franciscus,zoverall,0.000,0.000,0.000,0.000,447730,140,109
HIX,franciscus,relevant,0.000,0.000,0.000,0.000,426537,132,108
HIX,franciscus,irrelevant,0.000,0.000,0.000,0.000,21193,8,1
HIX,ikazia,zoverall,0.029,0.029,0.029,0.029,89252,34,33
HIX,ikazia,relevant,0.029,0.029,0.029,0.029,89252,34,33
HIX,laurentius,zoverall,0.000,0.000,0.000,0.000,230646,78,69
HIX,laurentius,relevant,0.000,0.000,0.000,0.000,220384,74,68
HIX,laurentius,irrelevant,0.000,0.000,0.000,0.000,10262,4,1
HIX,martini,zoverall,0.023,0.019,0.023,0.020,571278,133,96
HIX,martini,relevant,0.026,0.022,0.026,0.023,553584,114,95
HIX,martini,irrelevant,0.000,0.000,0.000,0.000,17694,19,1
HIX,noordwest,zoverall,0.000,0.000,0.000,0.000,645890,131,105
HIX,noordwest,relevant,0.000,0.000,0.000,0.000,612784,120,104
HIX,noordwest,irrelevant,0.000,0.000,0.000,0.000,33106,11,1
HIX,rdgg,zoverall,0.000,0.000,0.000,0.000,3969453,94,74
HIX,rdgg,relevant,0.000,0.000,0.000,0.000,3421447,84,73
HIX,rdgg,irrelevant,0.000,0.000,0.000,0.000,548006,10,1
HIX,slingeland,zoverall,0.000,0.000,0.000,0.000,269712,65,57
HIX,slingeland,relevant,0.000,0.000,0.000,0.000,257108,61,56
HIX,slingeland,irrelevant,0.000,0.000,0.000,0.000,12604,4,1
HIX,viecuri,zoverall,0.006,0.012,0.006,0.008,362357,164,116
HIX,viecuri,relevant,0.007,0.014,0.007,0.010,352561,140,115
HIX,viecuri,irrelevant,0.000,0.000,0.000,0.000,9796,24,1
HIX,zgt,zoverall,0.000,0.000,0.000,0.000,220000,103,81
HIX,zgt,relevant,0.000,0.000,0.000,0.000,184500,97,80
HIX,zgt,irrelevant,0.000,0.000,0.000,0.000,35500,6,1
MV,albertschweitzer,zoverall,0.018,0.018,0.018,0.018,553721,110,82
MV,albertschweitzer,relevant,0.021,0.021,0.021,0.021,441985,94,81
MV,albertschweitzer,irrelevant,0.000,0.000,0.000,0.000,111736,16,1
MV,amphia,zoverall,0.010,0.003,0.010,0.005,30940847,200,132
MV,amphia,relevant,0.014,0.005,0.014,0.007,27638862,144,131
MV,amphia,irrelevant,0.000,0.000,0.000,0.000,3301985,56,1
MV,antoniuszorggroep,zoverall,0.000,0.000,0.000,0.000,544546,74,54
MV,antoniuszorggroep,relevant,0.000,0.000,0.000,0.000,538911,66,53
MV,antoniuszorggroep,irrelevant,0.000,0.000,0.000,0.000,5635,8,1
MV,geldersevallei,zoverall,0.000,0.000,0.000,0.000,32315948,176,115
MV,geldersevallei,relevant,0.000,0.000,0.000,0.000,28065855,143,114
MV,geldersevallei,irrelevant,0.000,0.000,0.000,0.000,4250093,33,1
MV,haga,zoverall,0.007,0.000,0.007,0.001,844455,147,119
MV,haga,relevant,0.008,0.000,0.008,0.001,636368,123,118
MV,haga,irrelevant,0.000,0.000,0.000,0.000,208087,24,1
MV,jeroenbosch,zoverall,0.000,0.000,0.000,0.000,14279761,56,41
MV,jeroenbosch,relevant,0.000,0.000,0.000,0.000,13052747,42,40
MV,jeroenbosch,irrelevant,0.000,0.000,0.000,0.000,1227014,14,1
MV,maasstad,zoverall,0.010,0.003,0.010,0.004,24755240,204,123
MV,maasstad,relevant,0.012,0.004,0.012,0.005,22564148,167,122
MV,maasstad,irrelevant,0.000,0.000,0.000,0.000,2191092,37,1
MV,mst,zoverall,0.020,0.332,0.020,0.027,26663699,196,121
MV,mst,relevant,0.015,0.015,0.015,0.010,21244749,133,120
MV,mst,irrelevant,0.032,1.000,0.032,0.062,5418950,63,1
MV,umcu,zoverall,0.010,0.002,0.010,0.003,850103,97,69
MV,umcu,relevant,0.012,0.002,0.012,0.004,822585,86,68
MV,umcu,irrelevant,0.000,0.000,0.000,0.000,27518,11,1
MV,zuyderland,zoverall,0.007,0.022,0.007,0.011,1156537,138,107
MV,zuyderland,relevant,0.009,0.026,0.009,0.013,1023263,117,106
MV,zuyderland,irrelevant,0.000,0.000,0.000,0.000,133274,21,1
