concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.010261194029850746,0.03625621890547263,0.010261194029850746,0.011531035299692016,1704745,1072,186
respiratory,0.007022471910112359,0.01914597299593995,0.007022471910112359,0.007672622567655091,76784659,712,95
unmapped,0.0035335689045936395,0.1111111111111111,0.0035335689045936395,0.00684931506849315,21341039,566,1
hemodynamics,0.013888888888888888,0.008738425925925926,0.013888888888888888,0.008440382081686428,38880247,288,53
fluid balance,0.020100502512562814,0.04917444364680545,0.020100502512562814,0.024806572545266015,762206,199,16
renal replacement therapy,0.016666666666666666,0.005251115649345738,0.016666666666666666,0.005576464867493314,4608041,180,24
medication,0.0,0.0,0.0,0.0,197849,121,64
infectiology,0.0,0.0,0.0,0.0,1303187,52,13
clinical score,0.0,0.0,0.0,0.0,1023791,51,12
sofa score,0.0,0.0,0.0,0.0,18398,24,8
demographics,0.0,0.0,0.0,0.0,838517,17,5
neurology,0.0,0.0,0.0,0.0,22176,13,3
