,concept_label,precision,recall,f1,support,accuracy,num_records,concept_label_group,relevance
0,potassium_unspecified,0.0,0.0,0.0,23,0.0,47878,laboratory value,relevant
1,unmapped,0.06896551724137931,0.004008016032064128,0.007575757575757575,499,0.004008016032064128,18775496,unmapped,irrelevant
2,fio2_hiflow,0.0,0.0,0.0,2,0.0,5394,respiratory,relevant
3,o2_flow_high_flow_oxygen,0.0,0.0,0.0,13,0.0,149359,respiratory,relevant
4,amylase_unspecified,0.0,0.0,0.0,2,0.0,353,laboratory value,relevant
5,picco_pulse_pressure_variation,0.07692307692307693,0.16666666666666666,0.10526315789473684,6,0.16666666666666666,36725,hemodynamics,relevant
6,ultrafiltration_cvvh_measured,0.0,0.0,0.0,2,0.0,27680,renal replacement therapy,relevant
7,access_pressure_cvvh,0.0,0.0,0.0,21,0.0,500865,renal replacement therapy,relevant
8,crrt_duration,0.0,0.0,0.0,1,0.0,498,renal replacement therapy,relevant
9,blood_flow_cvvh,0.0,0.0,0.0,12,0.0,114085,renal replacement therapy,relevant
10,effluent_pressure_cvvh,0.0,0.0,0.0,16,0.0,465821,renal replacement therapy,relevant
11,fluid_out_cvvh_dialysis_cumulative,0.0,0.0,0.0,3,0.0,95884,fluid balance,relevant
12,ultrafiltration_cvvh_set,0.0,0.0,0.0,9,0.0,100602,renal replacement therapy,relevant
13,substitution_volume_cvvh,0.0,0.0,0.0,4,0.0,97433,renal replacement therapy,relevant
14,procalcitonin_unspecified,0.0,0.0,0.0,2,0.0,2134,laboratory value,relevant
15,glucose_measured_unspecified,0.0,0.0,0.0,18,0.0,33471,laboratory value,relevant
16,end_tidal_co2_measured,0.0,0.0,0.0,27,0.0,3702593,respiratory,relevant
17,ph_arterial,1.0,0.16666666666666666,0.2857142857142857,24,0.16666666666666666,63898,laboratory value,relevant
18,po2_unspecified,0.0,0.0,0.0,7,0.0,18678,laboratory value,relevant
19,pco2_unspecified,0.0,0.0,0.0,10,0.0,20315,laboratory value,relevant
20,base_excess_unspecified,0.0,0.0,0.0,13,0.0,56222,laboratory value,relevant
21,bicarbonate_actual_unspecified,0.0,0.0,0.0,15,0.0,61991,laboratory value,relevant
22,sodium_unspecified,0.0,0.0,0.0,25,0.0,48477,laboratory value,relevant
23,fio2_set,0.0,0.0,0.0,24,0.0,3883716,respiratory,relevant
24,peak_inspiratory_pressure,0.0,0.0,0.0,28,0.0,3169415,respiratory,relevant
25,tidal_volume_expiratory_measured,0.0,0.0,0.0,3,0.0,777606,respiratory,relevant
26,p01_measured,1.0,0.15384615384615385,0.2666666666666667,13,0.15384615384615385,704169,respiratory,relevant
27,arterial_bp_diastolic,0.0,0.0,0.0,8,0.0,3071361,hemodynamics,relevant
28,arterial_bp_mean,0.0,0.0,0.0,11,0.0,4012861,hemodynamics,relevant
29,arterial_bp_systolic,0.0,0.0,0.0,8,0.0,3072156,hemodynamics,relevant
30,heart_rate_unspecified,0.0,0.0,0.0,29,0.0,8470899,hemodynamics,relevant
31,nibp_diastolic,0.0,0.0,0.0,6,0.0,18080,hemodynamics,relevant
32,nibp_mean,0.0,0.0,0.0,11,0.0,47332,hemodynamics,relevant
