concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.48887343532684285,0.6209616661533905,0.48887343532684285,0.5107745202124179,3229677,1438,202
unmapped,0.8333333333333334,0.46611829220524875,0.8333333333333334,0.5978397387591057,29654188,1428,1
respiratory,0.48772678762006405,0.6809293045921144,0.48772678762006405,0.5401388204465007,92355335,937,105
hemodynamics,0.5945945945945946,0.6896922043980868,0.5945945945945946,0.6248124743562845,40386866,444,54
fluid balance,0.49577464788732395,0.6170313677659015,0.49577464788732395,0.5009401283011131,1120589,355,20
medication,0.7863247863247863,0.7858194274860942,0.7863247863247863,0.7692828255908751,355165,234,83
renal replacement therapy,0.46396396396396394,0.682505875440658,0.46396396396396394,0.538177490329193,6647660,222,27
infectiology,0.5517241379310345,0.7348239942528736,0.5517241379310345,0.5963007096297271,2830829,116,14
clinical score,0.7159090909090909,0.8493006993006993,0.7159090909090909,0.7542958027055974,1403624,88,14
demographics,0.5063291139240507,0.6584869346361685,0.5063291139240507,0.5478481012658228,878609,79,7
sofa score,0.5277777777777778,0.5925925925925927,0.5277777777777778,0.5398148148148149,30172,36,13
neurology,0.53125,0.5598958333333333,0.53125,0.5189659197012138,74227,32,8
nice data,0.0,0.0,0.0,0.0,2580,2,2
