,concept_label,precision,recall,f1,support,accuracy,balanced_accuracy,num_records,concept_label_group,relevance
0,potassium_unspecified,0.200,0.120,0.150,25,0.120,0.120,51348,laboratory value,relevant
1,unmapped,0.097,0.095,0.096,1353,0.095,0.095,29371763,unmapped,irrelevant
2,fio2_hiflow,0.000,0.000,0.000,3,0.000,0.000,5723,respiratory,relevant
3,o2_flow_high_flow_oxygen,0.214,0.214,0.214,14,0.214,0.214,149827,respiratory,relevant
4,lactate_dehydrogenase_unspecified,1.000,0.154,0.267,26,0.154,0.154,16864,laboratory value,relevant
5,amylase_unspecified,0.000,0.000,0.000,3,0.000,0.000,1161,laboratory value,relevant
6,picco_pulse_pressure_variation,0.000,0.000,0.000,6,0.000,0.000,36725,hemodynamics,relevant
7,ultrafiltration_cvvh_measured,0.000,0.000,0.000,3,0.000,0.000,30774,renal replacement therapy,relevant
8,access_pressure_cvvh,0.067,0.080,0.073,25,0.080,0.080,518199,renal replacement therapy,relevant
9,return_pressure_cvvh,0.545,0.240,0.333,25,0.240,0.240,519061,renal replacement therapy,relevant
10,crrt_duration,0.000,0.000,0.000,1,0.000,0.000,498,renal replacement therapy,relevant
11,blood_flow_cvvh,0.800,0.250,0.381,16,0.250,0.250,182026,renal replacement therapy,relevant
12,effluent_pressure_cvvh,0.444,0.190,0.267,21,0.190,0.190,485443,renal replacement therapy,relevant
13,fluid_out_cvvh_dialysis_cumulative,0.000,0.000,0.000,3,0.000,0.000,95884,fluid balance,relevant
14,ultrafiltration_cvvh_set,0.179,0.278,0.217,18,0.278,0.278,515601,renal replacement therapy,relevant
15,substitution_volume_cvvh,0.000,0.000,0.000,5,0.000,0.000,117609,renal replacement therapy,relevant
16,procalcitonin_unspecified,0.000,0.000,0.000,13,0.000,0.000,12070,laboratory value,relevant
17,glucose_measured_unspecified,0.762,0.471,0.582,68,0.471,0.471,103913,laboratory value,relevant
18,vancomycin_level,0.000,0.000,0.000,2,0.000,0.000,328,laboratory value,relevant
19,pupil_diameter_right,0.750,1.000,0.857,3,1.000,1.000,4431,neurology,relevant
20,end_tidal_co2_measured,0.682,0.405,0.508,37,0.405,0.405,3832478,respiratory,relevant
21,ph_arterial,0.000,0.000,0.000,24,0.000,0.000,63898,laboratory value,relevant
22,po2_unspecified,0.316,0.750,0.444,8,0.750,0.750,22906,laboratory value,relevant
23,pco2_unspecified,0.091,0.091,0.091,11,0.091,0.091,24546,laboratory value,relevant
24,base_excess_unspecified,0.000,0.000,0.000,14,0.000,0.000,59930,laboratory value,relevant
25,bicarbonate_actual_unspecified,0.000,0.000,0.000,15,0.000,0.000,61991,laboratory value,relevant
26,sodium_unspecified,0.214,0.107,0.143,28,0.107,0.107,51474,laboratory value,relevant
