,concept_label,precision,recall,f1,support,accuracy,balanced_accuracy,num_records,concept_label_group,relevance
0,potassium_unspecified,0.0,0.0,0.0,25,0.0,0.0,51348,laboratory value,relevant
1,unmapped,0.0472972972972973,0.007135575942915392,0.012400354295837024,981,0.007135575942915392,0.007135575942915392,27344802,unmapped,irrelevant
2,fio2_hiflow,0.0,0.0,0.0,3,0.0,0.0,5723,respiratory,relevant
3,o2_flow_high_flow_oxygen,0.6666666666666666,0.14285714285714285,0.23529411764705882,14,0.14285714285714285,0.14285714285714285,149827,respiratory,relevant
4,lactate_dehydrogenase_unspecified,0.0,0.0,0.0,26,0.0,0.0,16864,laboratory value,relevant
5,amylase_unspecified,0.0,0.0,0.0,3,0.0,0.0,1161,laboratory value,relevant
6,picco_pulse_pressure_variation,0.0,0.0,0.0,6,0.0,0.0,36725,hemodynamics,relevant
7,ultrafiltration_cvvh_measured,0.0,0.0,0.0,3,0.0,0.0,30774,renal replacement therapy,relevant
8,access_pressure_cvvh,0.0,0.0,0.0,24,0.0,0.0,504797,renal replacement therapy,relevant
9,return_pressure_cvvh,0.0,0.0,0.0,24,0.0,0.0,504755,renal replacement therapy,relevant
10,crrt_duration,0.0,0.0,0.0,1,0.0,0.0,498,renal replacement therapy,relevant
11,blood_flow_cvvh,0.0,0.0,0.0,16,0.0,0.0,182026,renal replacement therapy,relevant
12,effluent_pressure_cvvh,0.0,0.0,0.0,18,0.0,0.0,469693,renal replacement therapy,relevant
13,fluid_out_cvvh_dialysis_cumulative,0.0,0.0,0.0,3,0.0,0.0,95884,fluid balance,relevant
14,ultrafiltration_cvvh_set,0.1,0.05555555555555555,0.07142857142857142,18,0.05555555555555555,0.05555555555555555,515601,renal replacement therapy,relevant
15,substitution_volume_cvvh,0.0,0.0,0.0,4,0.0,0.0,97433,renal replacement therapy,relevant
16,procalcitonin_unspecified,0.0,0.0,0.0,13,0.0,0.0,12070,laboratory value,relevant
17,glucose_measured_unspecified,0.25,0.029411764705882353,0.05263157894736842,68,0.029411764705882353,0.029411764705882353,103913,laboratory value,relevant
18,vancomycin_level,0.0,0.0,0.0,2,0.0,0.0,328,laboratory value,relevant
19,end_tidal_co2_measured,0.0,0.0,0.0,37,0.0,0.0,3832478,respiratory,relevant
20,ph_arterial,0.0,0.0,0.0,24,0.0,0.0,63898,laboratory value,relevant
21,po2_unspecified,0.0,0.0,0.0,8,0.0,0.0,22906,laboratory value,relevant
22,pco2_unspecified,0.0,0.0,0.0,11,0.0,0.0,24546,laboratory value,relevant
23,base_excess_unspecified,0.1,0.07142857142857142,0.08333333333333333,14,0.07142857142857142,0.07142857142857142,59930,laboratory value,relevant
24,bicarbonate_actual_unspecified,0.42857142857142855,0.2,0.27272727272727276,15,0.2,0.2,61991,laboratory value,relevant
25,sodium_unspecified,0.0,0.0,0.0,27,0.0,0.0,51117,laboratory value,relevant
26,fio2_set,0.19047619047619047,0.11764705882352941,0.14545454545454542,34,0.11764705882352941,0.11764705882352941,4253623,respiratory,relevant
27,peak_inspiratory_pressure,0.0,0.0,0.0,34,0.0,0.0,4564520,respiratory,relevant
28,tidal_volume_expiratory_measured,0.0,0.0,0.0,4,0.0,0.0,1478863,respiratory,relevant
29,p01_measured,0.0,0.0,0.0,15,0.0,0.0,1897728,respiratory,relevant
30,arterial_bp_diastolic,0.0,0.0,0.0,10,0.0,0.0,4031569,hemodynamics,relevant
31,arterial_bp_mean,0.0,0.0,0.0,15,0.0,0.0,4254298,hemodynamics,relevant
32,arterial_bp_systolic,0.0,0.0,0.0,10,0.0,0.0,4032628,hemodynamics,relevant
33,heart_rate_unspecified,0.0,0.0,0.0,46,0.0,0.0,8523957,hemodynamics,relevant
34,nibp_diastolic,0.0,0.0,0.0,9,0.0,0.0,29407,hemodynamics,relevant
35,nibp_mean,0.38461538461538464,0.3125,0.3448275862068966,16,0.3125,0.3125,79200,hemodynamics,relevant
36,nibp_systolic,0.0,0.0,0.0,10,0.0,0.0,38036,hemodynamics,relevant
37,fluid_in_oral,0.0,0.0,0.0,28,0.0,0.0,12460,fluid balance,relevant
38,fluid_out_urine,0.07142857142857142,0.022222222222222223,0.03389830508474576,45,0.022222222222222223,0.022222222222222223,424993,fluid balance,relevant
39,fluid_out_defecation,0.125,0.03125,0.05,32,0.03125,0.03125,37042,fluid balance,relevant
40,temperature_bladder,0.0,0.0,0.0,5,0.0,0.0,787563,infectiology,relevant
41,fluid_in_tube,0.06666666666666667,0.03225806451612903,0.043478260869565216,31,0.03225806451612903,0.03225806451612903,89009,fluid balance,relevant
42,inspiratory_pressure_above_peep,0.1111111111111111,0.015873015873015872,0.027777777777777776,63,0.015873015873015872,0.015873015873015872,3998624,respiratory,relevant
43,respiratory_rate_measured_spontaneous,0.0,0.0,0.0,10,0.0,0.0,4331935,respiratory,relevant
44,respiratory_rate_measured_ventilator,0.0,0.0,0.0,25,0.0,0.0,3737224,respiratory,relevant
45,peep_unspecified,0.0,0.0,0.0,4,0.0,0.0,803539,respiratory,relevant
46,lung_compliance_unspecified,0.0,0.0,0.0,5,0.0,0.0,911018,respiratory,relevant
47,tidal_volume_expiratory_unspecified,0.0,0.0,0.0,1,0.0,0.0,19097,respiratory,relevant
48,inspiratory_time_perc,0.0,0.0,0.0,1,0.0,0.0,2923,respiratory,relevant
49,tidal_volume_inspiratory_unspecified,0.0,0.0,0.0,2,0.0,0.0,22013,respiratory,relevant
50,o2_flow_unspecified,0.0,0.0,0.0,26,0.0,0.0,66162,respiratory,relevant
51,plateau_pressure,0.0,0.0,0.0,21,0.0,0.0,969557,respiratory,relevant
52,saturation_o2_peripheral,0.0,0.0,0.0,30,0.0,0.0,2008916,respiratory,relevant
53,pressure_trigger,0.037037037037037035,0.5,0.06896551724137931,2,0.5,0.5,616,respiratory,relevant
54,hemoglobin_unspecified,0.0,0.0,0.0,29,0.0,0.0,71291,laboratory value,relevant
55,alkaline_phosphatase_unspecified,0.0,0.0,0.0,25,0.0,0.0,16014,laboratory value,relevant
56,asat_unspecified,0.0,0.0,0.0,23,0.0,0.0,16506,laboratory value,relevant
57,alat_unspecified,0.0,0.0,0.0,25,0.0,0.0,19322,laboratory value,relevant
58,albumin_unspecified,0.2,0.047619047619047616,0.07692307692307693,21,0.047619047619047616,0.047619047619047616,15219,laboratory value,relevant
59,po2_arterial,0.0,0.0,0.0,28,0.0,0.0,82553,laboratory value,relevant
60,bilirubin_unspecified,0.0,0.0,0.0,5,0.0,0.0,3345,laboratory value,relevant
61,calcium_unspecified,0.0,0.0,0.0,12,0.0,0.0,8611,laboratory value,relevant
62,calcium_ionised,0.0,0.0,0.0,12,0.0,0.0,43469,laboratory value,relevant
63,creatine_kinase_unspecified,0.0,0.0,0.0,18,0.0,0.0,15880,laboratory value,relevant
64,crp_unspecified,0.0,0.0,0.0,25,0.0,0.0,32176,laboratory value,relevant
65,creatinine_unspecified,0.0,0.0,0.0,19,0.0,0.0,24182,laboratory value,relevant
66,chloride_unspecified,0.0,0.0,0.0,16,0.0,0.0,40144,laboratory value,relevant
67,hematocrit_unspecified,1.0,0.047619047619047616,0.0909090909090909,21,0.047619047619047616,0.047619047619047616,35687,laboratory value,relevant
68,phosphate_unspecified,0.0,0.0,0.0,22,0.0,0.0,25221,laboratory value,relevant
69,leukocytes_unspecified,0.0,0.0,0.0,21,0.0,0.0,31375,laboratory value,relevant
70,thrombocytes_unspecified,0.0,0.0,0.0,11,0.0,0.0,18147,laboratory value,relevant
71,magnesium_unspecified,0.0,0.0,0.0,22,0.0,0.0,25309,laboratory value,relevant
72,ureum_unspecified,0.0,0.0,0.0,24,0.0,0.0,29131,laboratory value,relevant
73,prothrombin_time_sec,0.0,0.0,0.0,13,0.0,0.0,6448,laboratory value,relevant
74,gamma_gt_unspecified,0.0,0.0,0.0,25,0.0,0.0,17730,laboratory value,relevant
75,anion_gap_unspecified,0.0,0.0,0.0,6,0.0,0.0,14883,laboratory value,relevant
76,lactate_unspecified,0.0,0.0,0.0,11,0.0,0.0,34516,laboratory value,relevant
77,glucose_measured_whole_blood,0.0,0.0,0.0,3,0.0,0.0,18981,laboratory value,relevant
78,sodium_bloodgas,0.037037037037037035,0.16666666666666666,0.06060606060606061,6,0.16666666666666666,0.16666666666666666,15146,laboratory value,relevant
79,potassium_bloodgas,0.0,0.0,0.0,6,0.0,0.0,15354,laboratory value,relevant
80,calcium_ratio,0.0,0.0,0.0,3,0.0,0.0,1675,laboratory value,relevant
81,rapid_shallow_breathing_index,0.0,0.0,0.0,9,0.0,0.0,1396732,respiratory,relevant
82,med_dexmedetomidine,0.0,0.0,0.0,6,0.0,0.0,7037,medication,relevant
83,med_vancomycin,0.6666666666666666,0.3333333333333333,0.4444444444444444,6,0.3333333333333333,0.3333333333333333,1803,medication,relevant
84,med_ascorbic_acid_(vit_c),0.0,0.0,0.0,1,0.0,0.0,425,medication,relevant
85,med_sodium_chloride,0.0,0.0,0.0,3,0.0,0.0,21839,medication,relevant
86,med_anidulafungin,0.0,0.0,0.0,1,0.0,0.0,153,medication,relevant
87,med_amiodarone,0.0,0.0,0.0,5,0.0,0.0,1323,medication,relevant
88,med_carbohydrates,0.0,0.0,0.0,12,0.0,0.0,10498,medication,relevant
89,med_calcium_gluconate,0.0,0.0,0.0,1,0.0,0.0,436,medication,relevant
90,med_clonidine,0.0,0.0,0.0,4,0.0,0.0,6459,medication,relevant
91,med_enoximone,0.0,0.0,0.0,1,0.0,0.0,156,medication,relevant
92,med_furosemide,0.0,0.0,0.0,5,0.0,0.0,2394,medication,relevant
93,med_haloperidol,0.0,0.0,0.0,4,0.0,0.0,1414,medication,relevant
94,med_insulin_aspart,0.0,0.0,0.0,3,0.0,0.0,11167,medication,relevant
95,med_ipratropium_bromide,0.0,0.0,0.0,1,0.0,0.0,195,medication,relevant
96,med_potassium_chloride,0.0,0.0,0.0,8,0.0,0.0,5689,medication,relevant
97,med_lorazepam,0.0,0.0,0.0,1,0.0,0.0,199,medication,relevant
98,med_midazolam,0.0,0.0,0.0,8,0.0,0.0,18991,medication,relevant
99,med_morphine,0.0,0.0,0.0,3,0.0,0.0,3929,medication,relevant
100,med_remifentanil,0.0,0.0,0.0,4,0.0,0.0,20420,medication,relevant
101,med_simvastatin,0.0,0.0,0.0,1,0.0,0.0,101,medication,relevant
102,med_voriconazole,0.0,0.0,0.0,4,0.0,0.0,1054,medication,relevant
103,med_norepinephrine,0.0,0.0,0.0,6,0.0,0.0,34037,medication,relevant
104,med_propofol,0.0,0.0,0.0,8,0.0,0.0,33714,medication,relevant
105,med_rocuronium_bromide,0.0,0.0,0.0,6,0.0,0.0,7162,medication,relevant
106,cardiac_output_continuous_unspecified,0.0,0.0,0.0,9,0.0,0.0,79527,hemodynamics,relevant
107,peep_total,0.05,0.16666666666666666,0.07692307692307691,6,0.16666666666666666,0.16666666666666666,444684,respiratory,relevant
108,temperature_blood,0.0,0.0,0.0,17,0.0,0.0,37401,infectiology,relevant
109,stroke_volume_variation,0.0,0.0,0.0,8,0.0,0.0,77478,hemodynamics,relevant
110,intrathoracic_blood_volume_index,0.0,0.0,0.0,3,0.0,0.0,1366,hemodynamics,relevant
111,anti_xa_unspecified,0.5,0.3333333333333333,0.4,3,0.3333333333333333,0.3333333333333333,1711,laboratory value,relevant
112,reticulocytes_unspecified,0.0,0.0,0.0,3,0.0,0.0,5137,laboratory value,relevant
113,ferritin_unspecified,0.0,0.0,0.0,14,0.0,0.0,10140,laboratory value,relevant
114,chloride_arterial,0.0,0.0,0.0,5,0.0,0.0,15134,laboratory value,relevant
115,vco2,0.0,0.0,0.0,10,0.0,0.0,2913372,respiratory,relevant
116,weight_unspecified,0.0,0.0,0.0,5,0.0,0.0,1389,demographics,relevant
117,height_unspecified,0.0,0.0,0.0,2,0.0,0.0,243,demographics,relevant
118,inspiratory_time_unspecified,0.0,0.0,0.0,12,0.0,0.0,1751448,respiratory,relevant
119,central_venous_pressure,0.0,0.0,0.0,17,0.0,0.0,2044537,hemodynamics,relevant
120,pulmonary_artery_pressure_systolic,0.0,0.0,0.0,1,0.0,0.0,5020,hemodynamics,relevant
121,pulmonary_artery_pressure_mean,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.6666666666666666,0.6666666666666666,17237,hemodynamics,relevant
122,pulmonary_artery_pressure_diastolic,0.0,0.0,0.0,1,0.0,0.0,5020,hemodynamics,relevant
123,nava_edi_peak,0.0,0.0,0.0,3,0.0,0.0,49108,respiratory,relevant
