concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.027,0.100,0.027,0.028,2195329,1352,196
respiratory,0.017,0.058,0.017,0.018,89218524,817,101
unmapped,0.004,0.031,0.004,0.007,25893889,805,1
hemodynamics,0.006,0.009,0.006,0.007,39809529,319,54
fluid balance,0.013,0.015,0.013,0.012,988148,307,18
renal replacement therapy,0.000,0.000,0.000,0.000,6545465,203,26
medication,0.000,0.000,0.000,0.000,287343,170,72
infectiology,0.000,0.000,0.000,0.000,2623565,85,14
clinical score,0.018,0.064,0.018,0.028,1205257,57,13
demographics,0.000,0.000,0.000,0.000,857839,47,6
sofa score,0.000,0.000,0.000,0.000,21602,28,10
neurology,0.053,0.018,0.053,0.026,49457,19,5
