ehr_name,hospital_name,relevance,accuracy,precision,recall,f1,num_records,support,group_count
EPIC,8,overall,0.03389830508474576,0.03389830508474576,0.03389830508474576,0.03389830508474576,186656,59,42
EPIC,8,relevant,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.044444444444444446,143675,45,41
EPIC,8,irrelevant,0.0,0.0,0.0,0.0,42981,14,1
EPIC,20,overall,0.022222222222222223,0.21666666666666667,0.022222222222222223,0.02851851851851852,1059349,90,50
EPIC,20,relevant,0.019230769230769232,0.009615384615384616,0.019230769230769232,0.01282051282051282,240357,52,49
EPIC,20,irrelevant,0.02631578947368421,0.5,0.02631578947368421,0.05,818992,38,1
EPIC,23,overall,0.0,0.0,0.0,0.0,93273,52,36
EPIC,23,relevant,0.0,0.0,0.0,0.0,61997,37,35
EPIC,23,irrelevant,0.0,0.0,0.0,0.0,31276,15,1
EPIC,24,overall,0.019704433497536946,0.03796001159084323,0.019704433497536946,0.019918612122510174,645841,203,74
EPIC,24,relevant,0.025477707006369428,0.04908205320344698,0.025477707006369428,0.02575463860426475,323567,157,73
EPIC,24,irrelevant,0.0,0.0,0.0,0.0,322274,46,1
HIX,4,overall,0.0,0.0,0.0,0.0,184466,62,55
HIX,4,relevant,0.0,0.0,0.0,0.0,176175,60,54
HIX,4,irrelevant,0.0,0.0,0.0,0.0,8291,2,1
HIX,5,overall,0.0,0.0,0.0,0.0,864578,79,71
HIX,5,relevant,0.0,0.0,0.0,0.0,859963,73,70
HIX,5,irrelevant,0.0,0.0,0.0,0.0,4615,6,1
HIX,6,overall,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111112,712420,90,81
HIX,6,relevant,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,694159,85,80
HIX,6,irrelevant,0.0,0.0,0.0,0.0,18261,5,1
HIX,9,overall,0.0,0.0,0.0,0.0,382786,103,82
HIX,9,relevant,0.0,0.0,0.0,0.0,361593,95,81
HIX,9,irrelevant,0.0,0.0,0.0,0.0,21193,8,1
HIX,12,overall,0.0,0.0,0.0,0.0,58855,21,21
HIX,12,relevant,0.0,0.0,0.0,0.0,58855,21,21
HIX,14,overall,0.0,0.0,0.0,0.0,199813,60,52
HIX,14,relevant,0.0,0.0,0.0,0.0,189551,56,51
HIX,14,irrelevant,0.0,0.0,0.0,0.0,10262,4,1
HIX,16,overall,0.0,0.0,0.0,0.0,438972,101,79
HIX,16,relevant,0.0,0.0,0.0,0.0,424771,86,78
HIX,16,irrelevant,0.0,0.0,0.0,0.0,14201,15,1
HIX,18,overall,0.0,0.0,0.0,0.0,537224,100,86
HIX,18,relevant,0.0,0.0,0.0,0.0,508328,94,85
HIX,18,irrelevant,0.0,0.0,0.0,0.0,28896,6,1
HIX,21,overall,0.0,0.0,0.0,0.0,3925221,73,57
HIX,21,relevant,0.0,0.0,0.0,0.0,3379330,64,56
HIX,21,irrelevant,0.0,0.0,0.0,0.0,545891,9,1
HIX,22,overall,0.0,0.0,0.0,0.0,206885,49,42
HIX,22,relevant,0.0,0.0,0.0,0.0,194281,45,41
HIX,22,irrelevant,0.0,0.0,0.0,0.0,12604,4,1
HIX,26,overall,0.0,0.0,0.0,0.0,311696,133,92
HIX,26,relevant,0.0,0.0,0.0,0.0,303029,111,91
HIX,26,irrelevant,0.0,0.0,0.0,0.0,8667,22,1
HIX,28,overall,0.0,0.0,0.0,0.0,142455,74,62
HIX,28,relevant,0.0,0.0,0.0,0.0,106955,68,61
HIX,28,irrelevant,0.0,0.0,0.0,0.0,35500,6,1
MV,0,overall,0.0,0.0,0.0,0.0,376943,81,62
MV,0,relevant,0.0,0.0,0.0,0.0,319642,71,61
MV,0,irrelevant,0.0,0.0,0.0,0.0,57301,10,1
MV,2,overall,0.027586206896551724,0.1206896551724138,0.027586206896551724,0.033563218390804596,20976479,145,101
MV,2,relevant,0.02912621359223301,0.03398058252427184,0.02912621359223301,0.029126213592233004,18425290,103,100
MV,2,irrelevant,0.023809523809523808,0.3333333333333333,0.023809523809523808,0.044444444444444446,2551189,42,1
MV,3,overall,0.0,0.0,0.0,0.0,451022,59,43
MV,3,relevant,0.0,0.0,0.0,0.0,447610,53,42
MV,3,irrelevant,0.0,0.0,0.0,0.0,3412,6,1
MV,10,overall,0.0,0.0,0.0,0.0,20620073,125,88
MV,10,relevant,0.0,0.0,0.0,0.0,16854063,98,87
MV,10,irrelevant,0.0,0.0,0.0,0.0,3766010,27,1
MV,11,overall,0.0,0.0,0.0,0.0,626398,112,94
MV,11,relevant,0.0,0.0,0.0,0.0,549713,96,93
MV,11,irrelevant,0.0,0.0,0.0,0.0,76685,16,1
MV,13,overall,0.0,0.0,0.0,0.0,11236981,44,34
MV,13,relevant,0.0,0.0,0.0,0.0,11131153,34,33
MV,13,irrelevant,0.0,0.0,0.0,0.0,105828,10,1
MV,15,overall,0.012269938650306749,0.1901840490797546,0.012269938650306749,0.01800910350286958,18889831,163,105
MV,15,relevant,0.007518796992481203,0.007518796992481203,0.007518796992481203,0.007518796992481203,17585250,133,104
MV,15,irrelevant,0.03333333333333333,1.0,0.03333333333333333,0.06451612903225806,1304581,30,1
MV,17,overall,0.0,0.0,0.0,0.0,24556489,151,95
MV,17,relevant,0.0,0.0,0.0,0.0,19226084,102,94
MV,17,irrelevant,0.0,0.0,0.0,0.0,5330405,49,1
MV,25,overall,0.014925373134328358,0.004975124378109453,0.014925373134328358,0.007462686567164179,753524,67,52
MV,25,relevant,0.01639344262295082,0.00546448087431694,0.01639344262295082,0.00819672131147541,734371,61,51
MV,25,irrelevant,0.0,0.0,0.0,0.0,19153,6,1
MV,29,overall,0.010638297872340425,0.010638297872340425,0.010638297872340425,0.010638297872340425,743793,94,75
MV,29,relevant,0.012345679012345678,0.012345679012345678,0.012345679012345678,0.012345679012345678,696270,81,74
MV,29,irrelevant,0.0,0.0,0.0,0.0,47523,13,1
