ehr_name,hospital_name,relevance,accuracy,precision,recall,f1,num_records,support,group_count
EPIC,8,overall,0.034,0.034,0.034,0.034,186656,59,42
EPIC,8,relevant,0.044,0.044,0.044,0.044,143675,45,41
EPIC,8,irrelevant,0.000,0.000,0.000,0.000,42981,14,1
EPIC,20,overall,0.022,0.217,0.022,0.029,1059349,90,50
EPIC,20,relevant,0.019,0.010,0.019,0.013,240357,52,49
EPIC,20,irrelevant,0.026,0.500,0.026,0.050,818992,38,1
EPIC,23,overall,0.000,0.000,0.000,0.000,93273,52,36
EPIC,23,relevant,0.000,0.000,0.000,0.000,61997,37,35
EPIC,23,irrelevant,0.000,0.000,0.000,0.000,31276,15,1
EPIC,24,overall,0.020,0.038,0.020,0.020,645841,203,74
EPIC,24,relevant,0.025,0.049,0.025,0.026,323567,157,73
EPIC,24,irrelevant,0.000,0.000,0.000,0.000,322274,46,1
HIX,4,overall,0.000,0.000,0.000,0.000,184466,62,55
HIX,4,relevant,0.000,0.000,0.000,0.000,176175,60,54
HIX,4,irrelevant,0.000,0.000,0.000,0.000,8291,2,1
HIX,5,overall,0.000,0.000,0.000,0.000,864578,79,71
HIX,5,relevant,0.000,0.000,0.000,0.000,859963,73,70
HIX,5,irrelevant,0.000,0.000,0.000,0.000,4615,6,1
HIX,6,overall,0.011,0.011,0.011,0.011,712420,90,81
HIX,6,relevant,0.012,0.012,0.012,0.012,694159,85,80
HIX,6,irrelevant,0.000,0.000,0.000,0.000,18261,5,1
HIX,9,overall,0.000,0.000,0.000,0.000,382786,103,82
HIX,9,relevant,0.000,0.000,0.000,0.000,361593,95,81
HIX,9,irrelevant,0.000,0.000,0.000,0.000,21193,8,1
HIX,12,overall,0.000,0.000,0.000,0.000,58855,21,21
HIX,12,relevant,0.000,0.000,0.000,0.000,58855,21,21
HIX,14,overall,0.000,0.000,0.000,0.000,199813,60,52
HIX,14,relevant,0.000,0.000,0.000,0.000,189551,56,51
HIX,14,irrelevant,0.000,0.000,0.000,0.000,10262,4,1
HIX,16,overall,0.000,0.000,0.000,0.000,438972,101,79
HIX,16,relevant,0.000,0.000,0.000,0.000,424771,86,78
HIX,16,irrelevant,0.000,0.000,0.000,0.000,14201,15,1
HIX,18,overall,0.000,0.000,0.000,0.000,537224,100,86
HIX,18,relevant,0.000,0.000,0.000,0.000,508328,94,85
HIX,18,irrelevant,0.000,0.000,0.000,0.000,28896,6,1
HIX,21,overall,0.000,0.000,0.000,0.000,3925221,73,57
HIX,21,relevant,0.000,0.000,0.000,0.000,3379330,64,56
HIX,21,irrelevant,0.000,0.000,0.000,0.000,545891,9,1
HIX,22,overall,0.000,0.000,0.000,0.000,206885,49,42
HIX,22,relevant,0.000,0.000,0.000,0.000,194281,45,41
HIX,22,irrelevant,0.000,0.000,0.000,0.000,12604,4,1
HIX,26,overall,0.000,0.000,0.000,0.000,311696,133,92
HIX,26,relevant,0.000,0.000,0.000,0.000,303029,111,91
HIX,26,irrelevant,0.000,0.000,0.000,0.000,8667,22,1
HIX,28,overall,0.000,0.000,0.000,0.000,142455,74,62
HIX,28,relevant,0.000,0.000,0.000,0.000,106955,68,61
HIX,28,irrelevant,0.000,0.000,0.000,0.000,35500,6,1
MV,0,overall,0.000,0.000,0.000,0.000,376943,81,62
MV,0,relevant,0.000,0.000,0.000,0.000,319642,71,61
MV,0,irrelevant,0.000,0.000,0.000,0.000,57301,10,1
MV,2,overall,0.028,0.121,0.028,0.034,20976479,145,101
MV,2,relevant,0.029,0.034,0.029,0.029,18425290,103,100
MV,2,irrelevant,0.024,0.333,0.024,0.044,2551189,42,1
MV,3,overall,0.000,0.000,0.000,0.000,451022,59,43
MV,3,relevant,0.000,0.000,0.000,0.000,447610,53,42
MV,3,irrelevant,0.000,0.000,0.000,0.000,3412,6,1
MV,10,overall,0.000,0.000,0.000,0.000,20620073,125,88
MV,10,relevant,0.000,0.000,0.000,0.000,16854063,98,87
MV,10,irrelevant,0.000,0.000,0.000,0.000,3766010,27,1
MV,11,overall,0.000,0.000,0.000,0.000,626398,112,94
MV,11,relevant,0.000,0.000,0.000,0.000,549713,96,93
MV,11,irrelevant,0.000,0.000,0.000,0.000,76685,16,1
MV,13,overall,0.000,0.000,0.000,0.000,11236981,44,34
MV,13,relevant,0.000,0.000,0.000,0.000,11131153,34,33
MV,13,irrelevant,0.000,0.000,0.000,0.000,105828,10,1
MV,15,overall,0.012,0.190,0.012,0.018,18889831,163,105
MV,15,relevant,0.008,0.008,0.008,0.008,17585250,133,104
MV,15,irrelevant,0.033,1.000,0.033,0.065,1304581,30,1
MV,17,overall,0.000,0.000,0.000,0.000,24556489,151,95
MV,17,relevant,0.000,0.000,0.000,0.000,19226084,102,94
MV,17,irrelevant,0.000,0.000,0.000,0.000,5330405,49,1
MV,25,overall,0.015,0.005,0.015,0.007,753524,67,52
MV,25,relevant,0.016,0.005,0.016,0.008,734371,61,51
MV,25,irrelevant,0.000,0.000,0.000,0.000,19153,6,1
MV,29,overall,0.011,0.011,0.011,0.011,743793,94,75
MV,29,relevant,0.012,0.012,0.012,0.012,696270,81,74
MV,29,irrelevant,0.000,0.000,0.000,0.000,47523,13,1
