Similarity_threshold,Similarity,baseline_affected,parameter_count,baseline_all
0.0,0.08095676172953081,0.7151788815560959,2879.0,0.5997
0.1,0.13515151515151516,0.6658316633266533,1996.0,0.5997
0.2,0.1677115987460815,0.6091094493541809,1471.0,0.5997
0.3,0.21144519883608148,0.5606446140797285,1179.0,0.5997
0.4,0.23218390804597702,0.514344262295082,976.0,0.5997
0.5,0.2594033722438392,0.46760895170789163,849.0,0.5997
0.6,0.2849002849002849,0.42727272727272725,770.0,0.5997
0.7,0.2961240310077519,0.39798850574712646,696.0,0.5997
0.8,0.3036912751677852,0.36261980830670926,626.0,0.5997
0.9,0.3081081081081081,0.3368055555555556,576.0,0.5997
1.0,0.30708661417322836,0.32633587786259544,524.0,0.5997
1.1,0.3022774327122153,0.3292929292929293,495.0,0.5997
1.2,0.29130434782608694,0.32908704883227174,471.0,0.5997
1.3,0.29571106094808125,0.3170731707317073,451.0,0.5997
1.4,0.28536585365853656,0.32929782082324455,413.0,0.5997
1.5,0.29292929292929293,0.32914572864321606,398.0,0.5997
1.6,0.29743589743589743,0.32908163265306123,392.0,0.5997
1.7,0.30423280423280424,0.32105263157894737,380.0,0.5997
1.8,0.3070652173913043,0.3116531165311653,369.0,0.5997
1.9,0.30193905817174516,0.3149171270718232,362.0,0.5997
2.0,0.3056379821958457,0.3106508875739645,338.0,0.5997
2.1,0.3157894736842105,0.2993827160493827,324.0,0.5997
2.2,0.31545741324921134,0.3050314465408805,318.0,0.5997
2.3,0.32362459546925565,0.3032258064516129,310.0,0.5997
2.4,0.3180327868852459,0.30392156862745096,306.0,0.5997
2.5,0.32068965517241377,0.3024054982817869,291.0,0.5997
2.6,0.3250883392226148,0.2992957746478873,284.0,0.5997
2.7,0.33090909090909093,0.29347826086956524,276.0,0.5997
2.8,0.33962264150943394,0.2819548872180451,266.0,0.5997
2.9,0.3562753036437247,0.2540322580645161,248.0,0.5997
3.0,0.35807860262008734,0.23043478260869565,230.0,0.5997
3.1,0.37104072398190047,0.2072072072072072,222.0,0.5997
3.2,0.3698630136986301,0.20454545454545456,220.0,0.5997
3.3,0.3744075829383886,0.19811320754716982,212.0,0.5997
3.4,0.37681159420289856,0.19230769230769232,208.0,0.5997
3.5,0.3712871287128713,0.18719211822660098,203.0,0.5997
3.6,0.35678391959798994,0.19,200.0,0.5997
3.7,0.3604060913705584,0.1919191919191919,198.0,0.5997
3.8,0.3622448979591837,0.18781725888324874,197.0,0.5997
3.9,0.3697916666666667,0.18652849740932642,193.0,0.5997
4.0,0.3617021276595745,0.19047619047619047,189.0,0.5997
4.1,0.3582887700534759,0.19148936170212766,188.0,0.5997
4.2,0.358695652173913,0.1891891891891892,185.0,0.5997
4.3,0.36065573770491804,0.19021739130434784,184.0,0.5997
4.4,0.36464088397790057,0.18681318681318682,182.0,0.5997
4.5,0.36312849162011174,0.18888888888888888,180.0,0.5997
4.6,0.37058823529411766,0.16374269005847952,171.0,0.5997
4.7,0.3974358974358974,0.10828025477707007,157.0,0.5997
4.8,0.40789473684210525,0.10457516339869281,153.0,0.5997
4.9,0.40789473684210525,0.10457516339869281,153.0,0.5997
5.0,0.4206896551724138,0.1095890410958904,146.0,0.5997
5.1,0.4326241134751773,0.1056338028169014,142.0,0.5997
5.2,0.43884892086330934,0.1,140.0,0.5997
5.3,0.4420289855072464,0.10071942446043165,139.0,0.5997
5.4,0.4485294117647059,0.08759124087591241,137.0,0.5997
5.5,0.45112781954887216,0.08955223880597014,134.0,0.5997
5.6,0.4461538461538462,0.0916030534351145,131.0,0.5997
5.7,0.4375,0.09302325581395349,129.0,0.5997
5.8,0.4375,0.09302325581395349,129.0,0.5997
5.9,0.4375,0.09302325581395349,129.0,0.5997
6.0,0.4330708661417323,0.09375,128.0,0.5997
6.1,0.4330708661417323,0.09375,128.0,0.5997
6.2,0.4330708661417323,0.09375,128.0,0.5997
6.3,0.4330708661417323,0.09375,128.0,0.5997
6.4,0.42857142857142855,0.09448818897637795,127.0,0.5997
6.5,0.43548387096774194,0.088,125.0,0.5997
6.6,0.43548387096774194,0.088,125.0,0.5997
6.7,0.43089430894308944,0.08870967741935484,124.0,0.5997
6.8,0.43089430894308944,0.08870967741935484,124.0,0.5997
