Similarity_threshold,Similarity,baseline_affected,parameter_count,baseline_all
0.0,0.055636896046852125,0.7340463458110517,2805.0,0.5997
0.1,0.09544008483563096,0.6914672216441207,1922.0,0.5997
0.2,0.12209302325581395,0.6413743736578382,1397.0,0.5997
0.3,0.15384615384615385,0.5981900452488688,1105.0,0.5997
0.4,0.16871508379888267,0.5565410199556541,902.0,0.5997
0.5,0.1976592977893368,0.512258064516129,775.0,0.5997
0.6,0.22286541244573083,0.47270114942528735,696.0,0.5997
0.7,0.23225806451612904,0.4453376205787781,622.0,0.5997
0.8,0.2413793103448276,0.411231884057971,552.0,0.5997
0.9,0.24550898203592814,0.38645418326693226,502.0,0.5997
1.0,0.24276169265033407,0.38,450.0,0.5997
1.1,0.23809523809523808,0.38717339667458434,421.0,0.5997
1.2,0.2297979797979798,0.3904282115869018,397.0,0.5997
1.3,0.23670212765957446,0.3793103448275862,377.0,0.5997
1.4,0.23372781065088757,0.40117994100294985,339.0,0.5997
1.5,0.24148606811145512,0.404320987654321,324.0,0.5997
1.6,0.24605678233438485,0.4056603773584906,318.0,0.5997
1.7,0.25245901639344265,0.39869281045751637,306.0,0.5997
1.8,0.25510204081632654,0.3898305084745763,295.0,0.5997
1.9,0.24738675958188153,0.3958333333333333,288.0,0.5997
2.0,0.24334600760456274,0.3977272727272727,264.0,0.5997
2.1,0.25301204819277107,0.388,250.0,0.5997
2.2,0.25102880658436216,0.3975409836065574,244.0,0.5997
2.3,0.25957446808510637,0.3983050847457627,236.0,0.5997
2.4,0.2510822510822511,0.40086206896551724,232.0,0.5997
2.5,0.25,0.4055299539170507,217.0,0.5997
2.6,0.2535885167464115,0.40476190476190477,210.0,0.5997
2.7,0.25870646766169153,0.400990099009901,202.0,0.5997
2.8,0.2670157068062827,0.390625,192.0,0.5997
2.9,0.2832369942196532,0.3620689655172414,174.0,0.5997
3.0,0.27741935483870966,0.33974358974358976,156.0,0.5997
3.1,0.2925170068027211,0.3108108108108108,148.0,0.5997
3.2,0.2896551724137931,0.3082191780821918,146.0,0.5997
3.3,0.291970802919708,0.30434782608695654,138.0,0.5997
3.4,0.3007518796992481,0.29850746268656714,134.0,0.5997
3.5,0.2890625,0.29457364341085274,129.0,0.5997
3.6,0.272,0.30158730158730157,126.0,0.5997
3.7,0.2764227642276423,0.3064516129032258,124.0,0.5997
3.8,0.2786885245901639,0.3008130081300813,123.0,0.5997
3.9,0.288135593220339,0.3025210084033613,119.0,0.5997
4.0,0.2719298245614035,0.3130434782608696,115.0,0.5997
4.1,0.26548672566371684,0.3157894736842105,114.0,0.5997
4.2,0.2636363636363636,0.3153153153153153,111.0,0.5997
4.3,0.26605504587155965,0.3181818181818182,110.0,0.5997
4.4,0.27102803738317754,0.3148148148148148,108.0,0.5997
4.5,0.26666666666666666,0.32075471698113206,106.0,0.5997
4.6,0.28125,0.28865979381443296,97.0,0.5997
4.7,0.3170731707317073,0.20481927710843373,83.0,0.5997
