,concept_label,precision,recall,f1,support,accuracy,balanced_accuracy,num_records,concept_label_group,relevance
0,potassium_unspecified,0.0,0.0,0.0,30,0.0,0.0,51240,laboratory value,relevant
1,unmapped,0.045454545454545456,0.0001588310038119441,0.0003165558721114277,12592,0.0001588310038119441,0.0001588310038119441,31888105,unmapped,irrelevant
2,tracheostomy_size,0.0,0.0,0.0,10,0.0,0.0,2091,respiratory,relevant
3,gcs_motor,0.0,0.0,0.0,29,0.0,0.0,51280,neurology,relevant
4,gcs_eye,0.0,0.0,0.0,24,0.0,0.0,49377,neurology,relevant
5,gcs_verbal,0.0,0.0,0.0,30,0.0,0.0,51580,neurology,relevant
6,crrt_mode,0.0,0.0,0.0,27,0.0,0.0,276852,renal replacement therapy,relevant
7,type_administered_o2,0.0,0.0,0.0,197,0.0,0.0,53294,respiratory,relevant
8,fio2_hiflow,1.0,0.3333333333333333,0.5,3,0.3333333333333333,0.3333333333333333,6633,respiratory,relevant
9,o2_flow_high_flow_oxygen,0.0625,0.02857142857142857,0.0392156862745098,35,0.02857142857142857,0.02857142857142857,154530,respiratory,relevant
10,restrictive_policy,0.0,0.0,0.0,27,0.0,0.0,11862,admission information,relevant
11,lactate_dehydrogenase_unspecified,0.0,0.0,0.0,44,0.0,0.0,17146,laboratory value,relevant
12,cam_icu_score,0.0,0.0,0.0,14,0.0,0.0,24017,clinical score,relevant
13,amylase_unspecified,0.0,0.0,0.0,17,0.0,0.0,1390,laboratory value,relevant
14,picco_pulse_pressure_variation,0.0,0.0,0.0,9,0.0,0.0,36817,hemodynamics,relevant
15,ultrafiltration_cvvh_measured,0.0,0.0,0.0,5,0.0,0.0,30929,renal replacement therapy,relevant
16,access_pressure_cvvh,0.0,0.0,0.0,24,0.0,0.0,503351,renal replacement therapy,relevant
17,return_pressure_cvvh,0.0,0.0,0.0,21,0.0,0.0,503116,renal replacement therapy,relevant
18,crrt_duration,0.0,0.0,0.0,1,0.0,0.0,498,renal replacement therapy,relevant
19,blood_flow_cvvh,0.0,0.0,0.0,25,0.0,0.0,515585,renal replacement therapy,relevant
20,effluent_pressure_cvvh,0.0,0.0,0.0,17,0.0,0.0,468903,renal replacement therapy,relevant
21,fluid_out_cvvh_dialysis_cumulative,0.0,0.0,0.0,3,0.0,0.0,95884,fluid balance,relevant
22,ultrafiltration_cvvh_set,0.0,0.0,0.0,22,0.0,0.0,514474,renal replacement therapy,relevant
23,citrate_dosage_cvvh,0.0,0.0,0.0,13,0.0,0.0,447450,renal replacement therapy,relevant
24,pain_score_text,0.0,0.0,0.0,17,0.0,0.0,47212,clinical score,relevant
25,substitution_volume_cvvh,0.0,0.0,0.0,6,0.0,0.0,162746,renal replacement therapy,relevant
26,extravascular_lung_water_index,0.0,0.0,0.0,14,0.0,0.0,2047,hemodynamics,relevant
27,global_end_diastolic_volume_index,0.0,0.0,0.0,16,0.0,0.0,12556,hemodynamics,relevant
28,procalcitonin_unspecified,0.0,0.0,0.0,24,0.0,0.0,12589,laboratory value,relevant
29,ntpro_bnp_unspecified,0.0,0.0,0.0,18,0.0,0.0,429,laboratory value,relevant
30,troponin_i_hs,0.0,0.0,0.0,7,0.0,0.0,1599,laboratory value,relevant
31,glucose_measured_unspecified,0.0,0.0,0.0,594,0.0,0.0,97724,laboratory value,relevant
32,pain_score_bps,0.0,0.0,0.0,8,0.0,0.0,6377,clinical score,relevant
33,fluid_in_flush,0.0,0.0,0.0,133,0.0,0.0,6440,fluid balance,relevant
34,avpu_score_text,0.0,0.0,0.0,6,0.0,0.0,2176,clinical score,relevant
35,end_tidal_co2_measured,0.0,0.0,0.0,39,0.0,0.0,3716315,respiratory,relevant
36,respiratory_rate_measured,0.0,0.0,0.0,28,0.0,0.0,2748642,respiratory,relevant
37,nice_covid19Status,0.0,0.0,0.0,5,0.0,0.0,2056,nice data,relevant
38,ph_arterial,1.0,0.14705882352941177,0.25641025641025644,34,0.14705882352941177,0.14705882352941177,69013,laboratory value,relevant
39,po2_unspecified,0.0,0.0,0.0,13,0.0,0.0,24882,laboratory value,relevant
40,pco2_unspecified,0.0,0.0,0.0,18,0.0,0.0,26573,laboratory value,relevant
41,base_excess_unspecified,0.0,0.0,0.0,22,0.0,0.0,62014,laboratory value,relevant
42,bicarbonate_actual_unspecified,0.0,0.0,0.0,29,0.0,0.0,64155,laboratory value,relevant
43,sodium_unspecified,0.0,0.0,0.0,36,0.0,0.0,51154,laboratory value,relevant
44,fio2_set,0.0,0.0,0.0,75,0.0,0.0,4252913,respiratory,relevant
45,peak_inspiratory_pressure,0.0,0.0,0.0,34,0.0,0.0,4521377,respiratory,relevant
46,tidal_volume_expiratory_measured,0.0,0.0,0.0,4,0.0,0.0,1478863,respiratory,relevant
