concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.011303298471440064,0.1207563386334336,0.011303298471440064,0.020671644535991466,41054134,24860,1
medication,0.010266711304541903,0.021099498070133196,0.010266711304541903,0.010320371858566392,1402372,8961,748
laboratory value,0.059238595339678374,0.1487233756262981,0.059238595339678374,0.06284831266391197,3401524,6094,324
respiratory,0.06403940886699508,0.08097198225144199,0.06403940886699508,0.06538729063942653,106240456,5075,124
fluid balance,0.055778120184899846,0.07078498250328104,0.055778120184899846,0.05143473325168585,1195445,3245,27
hemodynamics,0.01724784401949756,0.019386434241835587,0.01724784401949756,0.014084258348671998,43686977,2667,65
neurology,0.024427480916030534,0.01727075239913974,0.024427480916030534,0.01929228259937015,637882,655,14
infectiology,0.04408817635270541,0.02982617557745967,0.04408817635270541,0.032682045546702884,2954020,499,30
clinical score,0.026584867075664622,0.023813201720752002,0.026584867075664622,0.020075621423247265,1595459,489,30
renal replacement therapy,0.04935064935064935,0.017073001881574994,0.04935064935064935,0.024196748122551737,9016906,385,40
position,0.018808777429467086,0.009759421193177997,0.018808777429467086,0.012151528528792638,123165,319,4
nice data,0.04332129963898917,0.025847673928245822,0.04332129963898917,0.02159860028296764,54042,277,59
demographics,0.07142857142857142,0.05307850044692151,0.07142857142857142,0.05806542217612998,886113,266,11
lda,0.049019607843137254,0.012477718360071301,0.049019607843137254,0.01989201477692527,2204,102,7
sofa score,0.0875,0.02483026349994092,0.0875,0.029798151409993517,130209,80,27
admission information,0.0,0.0,0.0,0.0,16558,60,9
