,concept_label,precision,recall,f1,support,accuracy,num_records,concept_label_group,relevance
0,potassium_unspecified,0.000,0.000,0.000,33,0.000,51642,laboratory value,relevant
1,unmapped,0.089,0.003,0.006,21586,0.003,39635000,unmapped,irrelevant
2,temperature_source_text,0.000,0.000,0.000,138,0.000,84591,infectiology,relevant
3,tracheostomy_size,0.000,0.000,0.000,11,0.000,2475,respiratory,relevant
4,gcs_motor,0.067,0.035,0.046,86,0.035,75753,neurology,relevant
5,gcs_eye,0.029,0.041,0.034,73,0.041,73859,neurology,relevant
6,gcs_verbal,0.051,0.048,0.050,83,0.048,72279,neurology,relevant
7,crrt_mode,0.146,0.188,0.164,32,0.188,277801,renal replacement therapy,relevant
8,type_administered_o2,0.059,0.033,0.043,542,0.033,124179,respiratory,relevant
9,fio2_hiflow,0.000,0.000,0.000,4,0.000,6962,respiratory,relevant
10,o2_flow_high_flow_oxygen,0.111,0.048,0.067,104,0.048,157294,respiratory,relevant
11,restrictive_policy,0.000,0.000,0.000,28,0.000,11867,admission information,relevant
12,lactate_dehydrogenase_unspecified,0.000,0.000,0.000,50,0.000,17157,laboratory value,relevant
13,cam_icu_score,0.000,0.000,0.000,15,0.000,27071,clinical score,relevant
14,amylase_unspecified,0.000,0.000,0.000,20,0.000,1394,laboratory value,relevant
15,picco_pulse_pressure_variation,0.000,0.000,0.000,9,0.000,36817,hemodynamics,relevant
16,ultrafiltration_cvvh_measured,0.000,0.000,0.000,5,0.000,30929,renal replacement therapy,relevant
17,access_pressure_cvvh,0.000,0.000,0.000,26,0.000,504801,renal replacement therapy,relevant
18,return_pressure_cvvh,0.000,0.000,0.000,25,0.000,519061,renal replacement therapy,relevant
19,crrt_duration,0.000,0.000,0.000,1,0.000,498,renal replacement therapy,relevant
20,blood_flow_cvvh,0.000,0.000,0.000,30,0.000,583716,renal replacement therapy,relevant
21,effluent_pressure_cvvh,0.000,0.000,0.000,19,0.000,469883,renal replacement therapy,relevant
22,fluid_out_cvvh_dialysis_cumulative,0.000,0.000,0.000,3,0.000,95884,fluid balance,relevant
23,ultrafiltration_cvvh_set,0.000,0.000,0.000,25,0.000,546654,renal replacement therapy,relevant
24,citrate_dosage_cvvh,0.000,0.000,0.000,14,0.000,447633,renal replacement therapy,relevant
25,pain_score_text,0.073,0.044,0.055,68,0.044,53300,clinical score,relevant
26,substitution_volume_cvvh,0.000,0.000,0.000,6,0.000,162746,renal replacement therapy,relevant
27,extravascular_lung_water_index,0.013,0.062,0.022,16,0.062,2132,hemodynamics,relevant
28,global_end_diastolic_volume_index,0.029,0.059,0.038,17,0.059,12627,hemodynamics,relevant
29,procalcitonin_unspecified,0.000,0.000,0.000,25,0.000,12590,laboratory value,relevant
30,ntpro_bnp_unspecified,0.000,0.000,0.000,18,0.000,429,laboratory value,relevant
31,troponin_i_hs,0.000,0.000,0.000,8,0.000,1600,laboratory value,relevant
32,glucose_measured_unspecified,0.512,0.029,0.055,727,0.029,115557,laboratory value,relevant
33,vancomycin_level,0.000,0.000,0.000,15,0.000,772,laboratory value,relevant
34,nice_adm_source,0.000,0.000,0.000,14,0.000,7036,nice data,relevant
35,pain_score_bps,0.250,0.125,0.167,8,0.125,6377,clinical score,relevant
36,fluid_in_flush,0.320,0.049,0.086,162,0.049,6627,fluid balance,relevant
37,pupil_diameter_right,0.000,0.000,0.000,46,0.000,55839,neurology,relevant
38,avpu_score_text,0.000,0.000,0.000,40,0.000,14250,clinical score,relevant
39,end_tidal_co2_measured,0.000,0.000,0.000,45,0.000,3832729,respiratory,relevant
40,respiratory_rate_measured,0.041,0.065,0.050,31,0.065,3000912,respiratory,relevant
41,nice_covid19Status,0.000,0.000,0.000,5,0.000,2056,nice data,relevant
42,ph_arterial,0.000,0.000,0.000,36,0.000,69027,laboratory value,relevant
43,po2_unspecified,0.000,0.000,0.000,13,0.000,24882,laboratory value,relevant
44,pco2_unspecified,0.000,0.000,0.000,18,0.000,26573,laboratory value,relevant
45,base_excess_unspecified,0.143,0.045,0.069,22,0.045,62014,laboratory value,relevant
46,bicarbonate_actual_unspecified,0.333,0.103,0.158,29,0.103,64155,laboratory value,relevant
47,sodium_unspecified,0.000,0.000,0.000,40,0.000,51701,laboratory value,relevant
48,fio2_set,0.170,0.045,0.071,377,0.045,4589015,respiratory,relevant
49,peak_inspiratory_pressure,0.000,0.000,0.000,39,0.000,4589478,respiratory,relevant
50,tidal_volume_expiratory_measured,0.000,0.000,0.000,4,0.000,1478863,respiratory,relevant
51,height_measured,0.000,0.000,0.000,43,0.000,8406,demographics,relevant
52,p01_measured,0.000,0.000,0.000,20,0.000,1960997,respiratory,relevant
53,arterial_bp_diastolic,0.000,0.000,0.000,10,0.000,4031569,hemodynamics,relevant
54,arterial_bp_mean,0.000,0.000,0.000,16,0.000,4254299,hemodynamics,relevant
55,arterial_bp_systolic,0.000,0.000,0.000,10,0.000,4032628,hemodynamics,relevant
56,cardiac_output_unspecified,0.000,0.000,0.000,17,0.000,7686,hemodynamics,relevant
57,central_venous_pressure,0.000,0.000,0.000,24,0.000,2045488,hemodynamics,relevant
58,heart_rate_unspecified,0.216,0.012,0.022,951,0.012,8722608,hemodynamics,relevant
59,nibp_diastolic,0.000,0.000,0.000,9,0.000,29407,hemodynamics,relevant
60,nibp_mean,0.047,0.278,0.081,18,0.278,79294,hemodynamics,relevant
61,nibp_systolic,0.000,0.000,0.000,11,0.000,38074,hemodynamics,relevant
62,pulmonary_artery_pressure_diastolic,0.000,0.000,0.000,2,0.000,5021,hemodynamics,relevant
63,pulmonary_artery_pressure_systolic,0.000,0.000,0.000,2,0.000,5021,hemodynamics,relevant
64,pulmonary_artery_pressure_mean,0.136,0.600,0.222,5,0.600,17302,hemodynamics,relevant
65,pulmonary_wedge_pressure,0.000,0.000,0.000,4,0.000,65,hemodynamics,relevant
66,heart_rhythm_text,0.014,0.008,0.010,648,0.008,236430,hemodynamics,relevant
67,fluid_in_oral,0.003,0.005,0.003,1401,0.005,29738,fluid balance,relevant
68,fluid_out_emesis_retention,0.000,0.000,0.000,95,0.000,104746,fluid balance,relevant
69,systemic_vascular_resistance_index,0.000,0.000,0.000,16,0.000,71951,hemodynamics,relevant
70,systemic_vascular_resistance,0.000,0.000,0.000,20,0.000,15525,hemodynamics,relevant
71,fluid_out_cvvh_dialysis,0.250,0.091,0.133,55,0.091,29186,fluid balance,relevant
72,stroke_volume_variation,0.000,0.000,0.000,17,0.000,77804,hemodynamics,relevant
73,fluid_out_urine,0.052,0.039,0.045,102,0.039,426136,fluid balance,relevant
74,fluid_out_defecation,0.068,0.035,0.047,85,0.035,42364,fluid balance,relevant
75,fluid_in_tube,0.062,0.017,0.026,358,0.017,91417,fluid balance,relevant
76,temperature_bladder,0.000,0.000,0.000,18,0.000,794970,infectiology,relevant
77,temperature_unspecified,0.000,0.000,0.000,61,0.000,984894,infectiology,relevant
78,temperature_core,0.000,0.000,0.000,12,0.000,11024,infectiology,relevant
79,stroke_volume_calculated,0.000,0.000,0.000,18,0.000,81812,hemodynamics,relevant
80,stroke_volume_index,0.000,0.000,0.000,18,0.000,89706,hemodynamics,relevant
81,capillary_refill_text,0.000,0.000,0.000,28,0.000,2927,hemodynamics,relevant
82,inspiratory_pressure_above_peep,0.077,0.025,0.037,81,0.025,4000179,respiratory,relevant
83,respiratory_rate_measured_spontaneous,0.000,0.000,0.000,11,0.000,4335494,respiratory,relevant
84,respiratory_rate_measured_ventilator,0.000,0.000,0.000,26,0.000,3737276,respiratory,relevant
85,respiratory_rate_set,0.015,0.045,0.023,44,0.045,2681602,respiratory,relevant
86,peep_unspecified,0.000,0.000,0.000,4,0.000,803539,respiratory,relevant
87,vent_mode_manual,0.000,0.000,0.000,5,0.000,118,respiratory,relevant
88,fluid_out_other,0.052,0.037,0.043,109,0.037,2580,fluid balance,relevant
89,vent_mode,0.053,0.035,0.042,114,0.035,6732231,respiratory,relevant
90,pupil_diameter_left,0.000,0.000,0.000,42,0.000,54485,neurology,relevant
91,pupil_reflex_left,0.040,0.037,0.038,27,0.037,55045,neurology,relevant
92,pupil_reflex_right,0.000,0.000,0.000,26,0.000,54741,neurology,relevant
93,lung_compliance_unspecified,0.000,0.000,0.000,10,0.000,911064,respiratory,relevant
94,tidal_volume_expiratory_unspecified,0.000,0.000,0.000,1,0.000,19097,respiratory,relevant
95,inspiratory_time_perc,0.000,0.000,0.000,3,0.000,7738,respiratory,relevant
96,tidal_volume_inspiratory_unspecified,0.000,0.000,0.000,2,0.000,22013,respiratory,relevant
97,fluid_out_drain,0.000,0.000,0.000,118,0.000,14864,fluid balance,relevant
98,o2_flow_unspecified,0.040,0.020,0.026,609,0.020,79625,respiratory,relevant
99,rass_score,0.000,0.000,0.000,92,0.000,136767,neurology,relevant
100,pain_score_vas,0.000,0.000,0.000,28,0.000,28404,clinical score,relevant
101,plateau_pressure,0.000,0.000,0.000,29,0.000,979922,respiratory,relevant
102,saturation_o2_peripheral,0.000,0.000,0.000,1266,0.000,3348061,respiratory,relevant
103,pressure_trigger,0.041,0.375,0.074,8,0.375,17019,respiratory,relevant
104,fluid_out_flush,0.000,0.000,0.000,18,0.000,439,fluid balance,relevant
105,hemoglobin_unspecified,0.000,0.000,0.000,43,0.000,71827,laboratory value,relevant
106,alkaline_phosphatase_unspecified,0.000,0.000,0.000,29,0.000,16069,laboratory value,relevant
107,asat_unspecified,0.000,0.000,0.000,27,0.000,16574,laboratory value,relevant
108,alat_unspecified,0.000,0.000,0.000,29,0.000,19376,laboratory value,relevant
109,albumin_unspecified,0.071,0.032,0.044,31,0.032,15480,laboratory value,relevant
110,aptt_unspecified,0.000,0.000,0.000,29,0.000,14918,laboratory value,relevant
111,po2_arterial,0.000,0.000,0.000,40,0.000,82717,laboratory value,relevant
112,bilirubin_unspecified,0.000,0.000,0.000,6,0.000,3348,laboratory value,relevant
113,calcium_unspecified,0.000,0.000,0.000,21,0.000,8905,laboratory value,relevant
114,calcium_ionised,0.100,0.045,0.063,22,0.045,45371,laboratory value,relevant
115,creatine_kinase_unspecified,0.000,0.000,0.000,37,0.000,16609,laboratory value,relevant
116,crp_unspecified,0.000,0.000,0.000,31,0.000,32238,laboratory value,relevant
117,creatinine_unspecified,0.000,0.000,0.000,25,0.000,24245,laboratory value,relevant
118,chloride_unspecified,0.000,0.000,0.000,24,0.000,40425,laboratory value,relevant
119,hematocrit_unspecified,0.333,0.036,0.065,28,0.036,37159,laboratory value,relevant
120,fibrinogen_unspecified,0.000,0.000,0.000,22,0.000,3333,laboratory value,relevant
121,phosphate_unspecified,0.000,0.000,0.000,25,0.000,25671,laboratory value,relevant
122,prothrombin_time_inr,0.000,0.000,0.000,41,0.000,11904,laboratory value,relevant
123,leukocytes_unspecified,0.143,0.037,0.059,27,0.037,32425,laboratory value,relevant
124,thrombocytes_unspecified,0.000,0.000,0.000,17,0.000,18206,laboratory value,relevant
125,magnesium_unspecified,0.000,0.000,0.000,25,0.000,26522,laboratory value,relevant
126,ureum_unspecified,0.000,0.000,0.000,29,0.000,29594,laboratory value,relevant
127,prothrombin_time_sec,0.000,0.000,0.000,27,0.000,6859,laboratory value,relevant
128,gamma_gt_unspecified,0.000,0.000,0.000,29,0.000,17784,laboratory value,relevant
129,d_dimer_unspecified,0.000,0.000,0.000,27,0.000,10111,laboratory value,relevant
130,anion_gap_unspecified,0.000,0.000,0.000,7,0.000,14891,laboratory value,relevant
131,lactate_unspecified,0.000,0.000,0.000,17,0.000,36320,laboratory value,relevant
132,ammonia_unspecified,0.000,0.000,0.000,17,0.000,132,laboratory value,relevant
133,creatine_kinase_mb_activity,0.000,0.000,0.000,16,0.000,554,laboratory value,relevant
134,tobramycin_trough_level,0.000,0.000,0.000,6,0.000,29,laboratory value,relevant
135,tobramycin_peak_level,0.000,0.000,0.000,5,0.000,7,laboratory value,relevant
136,vancomycin_trough_level,0.000,0.000,0.000,15,0.000,232,laboratory value,relevant
137,gender_text,0.000,0.000,0.000,10,0.000,3178,demographics,relevant
138,cough_reflex_text,0.002,0.045,0.003,22,0.045,23932,respiratory,relevant
139,height_unspecified,0.000,0.000,0.000,4,0.000,379,demographics,relevant
140,so2_arterial,0.000,0.000,0.000,37,0.000,1147331,laboratory value,relevant
141,pco2_arterial,1.000,0.027,0.053,37,0.027,81384,laboratory value,relevant
142,glucose_measured_whole_blood,0.000,0.000,0.000,4,0.000,18987,laboratory value,relevant
143,sodium_bloodgas,0.029,0.125,0.047,8,0.125,15394,laboratory value,relevant
144,potassium_bloodgas,0.000,0.000,0.000,8,0.000,15603,laboratory value,relevant
145,calcium_ratio,0.000,0.000,0.000,5,0.000,1693,laboratory value,relevant
146,position_text,0.007,0.003,0.004,313,0.003,118985,position,relevant
147,rapid_shallow_breathing_index,0.000,0.000,0.000,11,0.000,1396737,respiratory,relevant
148,cardiac_index_unspecified,0.000,0.000,0.000,26,0.000,18176,hemodynamics,relevant
149,readmission_ic,0.000,0.000,0.000,9,0.000,3086,admission information,relevant
150,med_carbohydrates,0.000,0.000,0.000,117,0.000,37134,medication,relevant
151,med_amphotericin_b,0.000,0.000,0.000,23,0.000,4378,medication,relevant
152,med_piritramide,0.000,0.000,0.000,13,0.000,129,medication,relevant
153,med_midazolam,0.000,0.000,0.000,95,0.000,54312,medication,relevant
154,med_morphine,0.000,0.000,0.000,75,0.000,9466,medication,relevant
155,med_insulin_aspart,0.000,0.000,0.000,109,0.000,58262,medication,relevant
156,med_bisoprolol,0.000,0.000,0.000,30,0.000,360,medication,relevant
157,med_risperidone,0.000,0.000,0.000,16,0.000,153,medication,relevant
158,med_fluvastatin,0.000,0.000,0.000,7,0.000,43,medication,relevant
159,med_candesartan,0.000,0.000,0.000,18,0.000,137,medication,relevant
