,concept_label,precision,recall,f1,support,accuracy,num_records,concept_label_group,relevance
0,potassium_unspecified,0.0,0.0,0.0,30,0.0,51240,laboratory value,relevant
1,unmapped,0.07792207792207792,0.0003871717106536749,0.0007705149608321562,15497,0.0003871717106536749,36115726,unmapped,irrelevant
2,temperature_source_text,0.0,0.0,0.0,59,0.0,32331,infectiology,relevant
3,tracheostomy_size,0.0,0.0,0.0,10,0.0,2091,respiratory,relevant
4,gcs_motor,0.16666666666666666,0.022222222222222223,0.0392156862745098,45,0.022222222222222223,59477,neurology,relevant
5,gcs_eye,0.02040816326530612,0.03125,0.02469135802469136,32,0.03125,53879,neurology,relevant
6,gcs_verbal,0.0,0.0,0.0,40,0.0,57989,neurology,relevant
7,crrt_mode,0.0,0.0,0.0,29,0.0,277569,renal replacement therapy,relevant
8,type_administered_o2,0.06896551724137931,0.00641025641025641,0.011730205278592374,312,0.00641025641025641,68414,respiratory,relevant
9,fio2_hiflow,0.0,0.0,0.0,3,0.0,6633,respiratory,relevant
10,o2_flow_high_flow_oxygen,0.047619047619047616,0.0136986301369863,0.02127659574468085,73,0.0136986301369863,157077,respiratory,relevant
11,restrictive_policy,0.0,0.0,0.0,28,0.0,11867,admission information,relevant
12,lactate_dehydrogenase_unspecified,0.0,0.0,0.0,47,0.0,17150,laboratory value,relevant
13,cam_icu_score,0.0,0.0,0.0,14,0.0,24017,clinical score,relevant
14,amylase_unspecified,0.0,0.0,0.0,19,0.0,1393,laboratory value,relevant
15,picco_pulse_pressure_variation,0.0,0.0,0.0,9,0.0,36817,hemodynamics,relevant
16,ultrafiltration_cvvh_measured,0.0,0.0,0.0,5,0.0,30929,renal replacement therapy,relevant
17,access_pressure_cvvh,0.0,0.0,0.0,25,0.0,504142,renal replacement therapy,relevant
18,return_pressure_cvvh,0.0,0.0,0.0,23,0.0,504097,renal replacement therapy,relevant
19,crrt_duration,0.0,0.0,0.0,1,0.0,498,renal replacement therapy,relevant
20,blood_flow_cvvh,0.0,0.0,0.0,27,0.0,582311,renal replacement therapy,relevant
21,effluent_pressure_cvvh,0.0,0.0,0.0,18,0.0,469693,renal replacement therapy,relevant
22,fluid_out_cvvh_dialysis_cumulative,0.0,0.0,0.0,3,0.0,95884,fluid balance,relevant
23,ultrafiltration_cvvh_set,0.04,0.041666666666666664,0.04081632653061224,24,0.041666666666666664,545853,renal replacement therapy,relevant
24,citrate_dosage_cvvh,0.0,0.0,0.0,13,0.0,447450,renal replacement therapy,relevant
25,pain_score_text,0.0,0.0,0.0,26,0.0,47287,clinical score,relevant
26,substitution_volume_cvvh,0.0,0.0,0.0,6,0.0,162746,renal replacement therapy,relevant
27,extravascular_lung_water_index,0.0,0.0,0.0,14,0.0,2047,hemodynamics,relevant
28,global_end_diastolic_volume_index,0.038461538461538464,0.0625,0.04761904761904762,16,0.0625,12556,hemodynamics,relevant
29,procalcitonin_unspecified,0.0,0.0,0.0,24,0.0,12589,laboratory value,relevant
30,ntpro_bnp_unspecified,0.0,0.0,0.0,18,0.0,429,laboratory value,relevant
31,troponin_i_hs,0.0,0.0,0.0,8,0.0,1600,laboratory value,relevant
32,glucose_measured_unspecified,0.4,0.002777777777777778,0.005517241379310344,720,0.002777777777777778,115449,laboratory value,relevant
33,nice_adm_source,0.0,0.0,0.0,14,0.0,7036,nice data,relevant
34,pain_score_bps,0.0,0.0,0.0,8,0.0,6377,clinical score,relevant
35,fluid_in_flush,0.0,0.0,0.0,151,0.0,6477,fluid balance,relevant
36,pupil_diameter_right,0.0,0.0,0.0,21,0.0,21689,neurology,relevant
37,avpu_score_text,0.0,0.0,0.0,25,0.0,11396,clinical score,relevant
38,end_tidal_co2_measured,0.0,0.0,0.0,41,0.0,3799220,respiratory,relevant
39,respiratory_rate_measured,0.0,0.0,0.0,29,0.0,2914352,respiratory,relevant
40,nice_covid19Status,0.0,0.0,0.0,5,0.0,2056,nice data,relevant
41,ph_arterial,0.0,0.0,0.0,35,0.0,69024,laboratory value,relevant
42,po2_unspecified,0.0,0.0,0.0,13,0.0,24882,laboratory value,relevant
43,pco2_unspecified,0.0,0.0,0.0,18,0.0,26573,laboratory value,relevant
44,base_excess_unspecified,0.2,0.045454545454545456,0.07407407407407407,22,0.045454545454545456,62014,laboratory value,relevant
45,bicarbonate_actual_unspecified,0.0,0.0,0.0,29,0.0,64155,laboratory value,relevant
46,sodium_unspecified,0.0,0.0,0.0,37,0.0,51299,laboratory value,relevant
47,fio2_set,0.0,0.0,0.0,168,0.0,4568247,respiratory,relevant
48,peak_inspiratory_pressure,0.0,0.0,0.0,36,0.0,4564287,respiratory,relevant
