ehr_name,hospital_name,relevance,accuracy,precision,recall,f1,num_records,support,group_count
EPIC,etz,zoverall,0.001,0.015,0.001,0.002,657990,1491,428
EPIC,etz,relevant,0.002,0.025,0.002,0.003,368543,891,427
EPIC,etz,irrelevant,0.000,0.000,0.000,0.000,289447,600,1
EPIC,radboud,zoverall,0.003,0.002,0.003,0.002,3967172,2054,434
EPIC,radboud,relevant,0.008,0.007,0.008,0.007,484260,772,433
EPIC,radboud,irrelevant,0.000,0.000,0.000,0.000,3482912,1282,1
EPIC,spaarnegasthuis,zoverall,0.002,0.003,0.002,0.002,281545,1034,358
EPIC,spaarnegasthuis,relevant,0.003,0.004,0.003,0.003,221139,689,357
EPIC,spaarnegasthuis,irrelevant,0.000,0.000,0.000,0.000,60406,345,1
EPIC,stantonius,zoverall,0.007,0.059,0.007,0.012,2240273,3561,576
EPIC,stantonius,relevant,0.012,0.093,0.012,0.019,1463621,2255,575
EPIC,stantonius,irrelevant,0.000,0.000,0.000,0.000,776652,1306,1
HIX,bovenij,zoverall,0.001,0.008,0.001,0.002,370795,781,348
HIX,bovenij,relevant,0.002,0.010,0.002,0.003,343260,601,347
HIX,bovenij,irrelevant,0.000,0.000,0.000,0.000,27535,180,1
HIX,catharina,zoverall,0.000,0.005,0.000,0.001,1675531,2624,596
HIX,catharina,relevant,0.001,0.006,0.001,0.001,1548615,1998,595
HIX,catharina,irrelevant,0.000,0.000,0.000,0.000,126916,626,1
HIX,cwz,zoverall,0.000,0.000,0.000,0.000,1308648,2074,557
HIX,cwz,relevant,0.000,0.000,0.000,0.000,1173799,1578,556
HIX,cwz,irrelevant,0.000,0.000,0.000,0.000,134849,496,1
HIX,franciscus,zoverall,0.001,0.001,0.001,0.001,653686,1460,529
HIX,franciscus,relevant,0.002,0.002,0.002,0.002,607482,1058,528
HIX,franciscus,irrelevant,0.000,0.000,0.000,0.000,46204,402,1
HIX,ikazia,zoverall,0.001,0.003,0.001,0.002,168208,779,346
HIX,ikazia,relevant,0.002,0.003,0.002,0.002,161591,646,345
HIX,ikazia,irrelevant,0.000,0.000,0.000,0.000,6617,133,1
HIX,laurentius,zoverall,0.000,0.000,0.000,0.000,392520,750,360
HIX,laurentius,relevant,0.000,0.000,0.000,0.000,335551,620,359
HIX,laurentius,irrelevant,0.000,0.000,0.000,0.000,56969,130,1
HIX,martini,zoverall,0.002,0.086,0.002,0.004,855465,1258,405
HIX,martini,relevant,0.001,0.001,0.001,0.001,810646,884,404
HIX,martini,irrelevant,0.005,0.286,0.005,0.010,44819,374,1
HIX,noordwest,zoverall,0.001,0.142,0.001,0.002,914153,1420,447
HIX,noordwest,relevant,0.001,0.001,0.001,0.001,861808,1018,446
HIX,noordwest,irrelevant,0.002,0.500,0.002,0.005,52345,402,1
HIX,rdgg,zoverall,0.001,0.001,0.001,0.001,6315011,1009,410
HIX,rdgg,relevant,0.001,0.001,0.001,0.001,5705692,719,409
HIX,rdgg,irrelevant,0.000,0.000,0.000,0.000,609319,290,1
HIX,slingeland,zoverall,0.003,0.044,0.003,0.005,530987,1403,349
HIX,slingeland,relevant,0.003,0.052,0.003,0.005,463324,1187,348
HIX,slingeland,irrelevant,0.000,0.000,0.000,0.000,67663,216,1
HIX,viecuri,zoverall,0.001,0.001,0.001,0.001,525639,1819,484
HIX,viecuri,relevant,0.001,0.002,0.001,0.002,476906,1343,483
HIX,viecuri,irrelevant,0.000,0.000,0.000,0.000,48733,476,1
HIX,zgt,zoverall,0.001,0.000,0.001,0.001,364622,1935,531
HIX,zgt,relevant,0.001,0.001,0.001,0.001,283802,1336,530
HIX,zgt,irrelevant,0.000,0.000,0.000,0.000,80820,599,1
MV,albertschweitzer,zoverall,0.001,0.183,0.001,0.002,969846,1072,313
MV,albertschweitzer,relevant,0.000,0.000,0.000,0.000,677592,485,312
MV,albertschweitzer,irrelevant,0.002,0.333,0.002,0.003,292254,587,1
MV,amphia,zoverall,0.001,0.661,0.001,0.002,51754704,1479,415
MV,amphia,relevant,0.002,0.001,0.002,0.001,42879209,502,414
MV,amphia,irrelevant,0.001,1.000,0.001,0.002,8875495,977,1
MV,antoniuszorggroep,zoverall,0.000,0.000,0.000,0.000,669402,449,142
MV,antoniuszorggroep,relevant,0.000,0.000,0.000,0.000,650435,206,141
MV,antoniuszorggroep,irrelevant,0.000,0.000,0.000,0.000,18967,243,1
MV,geldersevallei,zoverall,0.004,0.223,0.004,0.007,35485683,897,241
MV,geldersevallei,relevant,0.009,0.041,0.009,0.012,29708376,340,240
MV,geldersevallei,irrelevant,0.002,0.333,0.002,0.004,5777307,557,1
MV,haga,zoverall,0.001,0.607,0.001,0.002,3398070,1164,374
MV,haga,relevant,0.000,0.000,0.000,0.000,2919001,457,373
MV,haga,irrelevant,0.001,1.000,0.001,0.003,479069,707,1
MV,jeroenbosch,zoverall,0.000,0.000,0.000,0.000,20055654,749,193
MV,jeroenbosch,relevant,0.000,0.000,0.000,0.000,16782177,249,192
MV,jeroenbosch,irrelevant,0.000,0.000,0.000,0.000,3273477,500,1
MV,maasstad,zoverall,0.003,0.002,0.003,0.003,30542341,889,273
MV,maasstad,relevant,0.008,0.006,0.008,0.006,27588522,369,272
MV,maasstad,irrelevant,0.000,0.000,0.000,0.000,2953819,520,1
MV,mst,zoverall,0.000,0.000,0.000,0.000,31503083,1773,358
MV,mst,relevant,0.000,0.000,0.000,0.000,25142706,467,357
MV,mst,irrelevant,0.000,0.000,0.000,0.000,6360377,1306,1
MV,umcu,zoverall,0.001,0.001,0.001,0.001,1271475,812,242
MV,umcu,relevant,0.003,0.003,0.003,0.003,1012687,301,241
MV,umcu,irrelevant,0.000,0.000,0.000,0.000,258788,511,1
MV,zuyderland,zoverall,0.001,0.000,0.001,0.001,1785176,1273,497
MV,zuyderland,relevant,0.001,0.001,0.001,0.001,1457235,696,496
MV,zuyderland,irrelevant,0.000,0.000,0.000,0.000,327941,577,1
