,concept_label,precision,recall,f1,support,accuracy,balanced_accuracy,num_records,concept_label_group,relevance
0,potassium_unspecified,0.000,0.000,0.000,30,0.000,0.000,51240,laboratory value,relevant
1,unmapped,0.148,0.001,0.003,13452,0.001,0.001,33885273,unmapped,irrelevant
2,temperature_source_text,0.000,0.000,0.000,37,0.000,0.000,24761,infectiology,relevant
3,tracheostomy_size,0.000,0.000,0.000,10,0.000,0.000,2091,respiratory,relevant
4,gcs_motor,0.000,0.000,0.000,30,0.000,0.000,52422,neurology,relevant
5,gcs_eye,0.000,0.000,0.000,26,0.000,0.000,51294,neurology,relevant
6,gcs_verbal,0.000,0.000,0.000,33,0.000,0.000,53090,neurology,relevant
7,crrt_mode,0.000,0.000,0.000,28,0.000,0.000,276853,renal replacement therapy,relevant
8,type_administered_o2,0.000,0.000,0.000,230,0.000,0.000,67062,respiratory,relevant
9,fio2_hiflow,0.000,0.000,0.000,3,0.000,0.000,6633,respiratory,relevant
10,o2_flow_high_flow_oxygen,0.000,0.000,0.000,49,0.000,0.000,157051,respiratory,relevant
11,restrictive_policy,0.000,0.000,0.000,27,0.000,0.000,11862,admission information,relevant
12,lactate_dehydrogenase_unspecified,0.000,0.000,0.000,44,0.000,0.000,17146,laboratory value,relevant
13,cam_icu_score,0.000,0.000,0.000,14,0.000,0.000,24017,clinical score,relevant
14,amylase_unspecified,0.000,0.000,0.000,17,0.000,0.000,1390,laboratory value,relevant
15,picco_pulse_pressure_variation,0.000,0.000,0.000,9,0.000,0.000,36817,hemodynamics,relevant
16,ultrafiltration_cvvh_measured,0.000,0.000,0.000,5,0.000,0.000,30929,renal replacement therapy,relevant
17,access_pressure_cvvh,0.000,0.000,0.000,25,0.000,0.000,504142,renal replacement therapy,relevant
18,return_pressure_cvvh,0.000,0.000,0.000,21,0.000,0.000,503116,renal replacement therapy,relevant
19,crrt_duration,0.000,0.000,0.000,1,0.000,0.000,498,renal replacement therapy,relevant
20,blood_flow_cvvh,0.000,0.000,0.000,26,0.000,0.000,579234,renal replacement therapy,relevant
21,effluent_pressure_cvvh,0.000,0.000,0.000,17,0.000,0.000,468903,renal replacement therapy,relevant
22,fluid_out_cvvh_dialysis_cumulative,0.000,0.000,0.000,3,0.000,0.000,95884,fluid balance,relevant
23,ultrafiltration_cvvh_set,0.000,0.000,0.000,23,0.000,0.000,541642,renal replacement therapy,relevant
24,citrate_dosage_cvvh,0.000,0.000,0.000,13,0.000,0.000,447450,renal replacement therapy,relevant
25,pain_score_text,0.100,0.045,0.063,22,0.045,0.045,47283,clinical score,relevant
26,substitution_volume_cvvh,0.000,0.000,0.000,6,0.000,0.000,162746,renal replacement therapy,relevant
27,extravascular_lung_water_index,0.000,0.000,0.000,14,0.000,0.000,2047,hemodynamics,relevant
28,global_end_diastolic_volume_index,0.000,0.000,0.000,16,0.000,0.000,12556,hemodynamics,relevant
29,procalcitonin_unspecified,0.000,0.000,0.000,24,0.000,0.000,12589,laboratory value,relevant
30,ntpro_bnp_unspecified,0.000,0.000,0.000,18,0.000,0.000,429,laboratory value,relevant
31,troponin_i_hs,0.000,0.000,0.000,7,0.000,0.000,1599,laboratory value,relevant
32,glucose_measured_unspecified,0.000,0.000,0.000,663,0.000,0.000,100840,laboratory value,relevant
33,pain_score_bps,0.000,0.000,0.000,8,0.000,0.000,6377,clinical score,relevant
34,fluid_in_flush,0.000,0.000,0.000,136,0.000,0.000,6447,fluid balance,relevant
