concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.001,0.148,0.001,0.003,33885273,13452,1
medication,0.000,0.000,0.000,0.000,1144755,8121,736
laboratory value,0.002,0.016,0.002,0.003,2100661,4897,318
fluid balance,0.002,0.039,0.002,0.003,850388,2443,25
respiratory,0.002,0.013,0.002,0.003,101457534,2032,119
hemodynamics,0.000,0.000,0.000,0.000,41030271,988,62
renal replacement therapy,0.003,0.015,0.003,0.005,8905791,342,37
infectiology,0.000,0.000,0.000,0.000,2648245,279,28
clinical score,0.008,0.019,0.008,0.011,1171243,258,29
nice data,0.004,0.025,0.004,0.007,43274,231,52
position,0.000,0.000,0.000,0.000,76446,229,3
neurology,0.000,0.000,0.000,0.000,379353,218,13
demographics,0.000,0.000,0.000,0.000,864118,181,11
lda,0.011,0.011,0.011,0.011,1832,88,7
admission information,0.000,0.000,0.000,0.000,16464,56,8
sofa score,0.000,0.000,0.000,0.000,105470,48,13
