hospital_name,ehr_name,relevance,0
0,MV,irrelevant,0.8879310344827587
0,MV,relevant,0.6317564422888498
2,MV,irrelevant,0.89171974522293
2,MV,relevant,0.5077830188679245
3,MV,irrelevant,0.7714285714285715
3,MV,relevant,0.31882086167800455
4,HIX,irrelevant,0.9411764705882353
4,HIX,relevant,0.7935120562412638
5,HIX,irrelevant,0.8961802154750245
5,HIX,relevant,0.7372824457528052
6,HIX,irrelevant,0.9143222506393862
6,HIX,relevant,0.7408276547478342
8,EPIC,irrelevant,0.9649010848755584
8,EPIC,relevant,0.6078218192159961
9,HIX,irrelevant,0.947452229299363
9,HIX,relevant,0.7211898636421055
10,MV,irrelevant,0.9180602006688964
10,MV,relevant,0.39066666666666666
11,MV,irrelevant,0.8376288659793815
11,MV,relevant,0.5742247586319752
12,HIX,irrelevant,0.9361702127659575
12,HIX,relevant,0.7600420088953076
13,MV,irrelevant,0.8330308529945554
13,MV,relevant,0.3381692573402418
14,HIX,irrelevant,0.9619565217391305
14,HIX,relevant,0.7278651635707515
15,MV,irrelevant,0.8724409448818897
15,MV,relevant,0.40639671361502344
16,HIX,irrelevant,0.8560975609756097
16,HIX,relevant,0.7276593049993868
17,MV,irrelevant,0.9044272663387211
17,MV,relevant,0.5041016133229248
18,HIX,irrelevant,0.8876582278481012
18,HIX,relevant,0.7542112249514411
20,EPIC,irrelevant,0.9304830836559502
20,EPIC,relevant,0.5661671281385611
21,HIX,irrelevant,0.8802228412256268
21,HIX,relevant,0.7263599144689632
22,HIX,irrelevant,0.8359133126934984
22,HIX,relevant,0.73013455014234
23,EPIC,irrelevant,0.961017866811045
23,EPIC,relevant,0.5610309978832144
24,EPIC,irrelevant,0.9632616487455197
24,EPIC,relevant,0.49483102844379717
25,MV,irrelevant,0.8898601398601399
25,MV,relevant,0.2595520421607378
26,HIX,irrelevant,0.9316987740805605
26,HIX,relevant,0.6613094493788348
28,HIX,irrelevant,0.8828696925329429
28,HIX,relevant,0.681482591561736
29,MV,irrelevant,0.889751552795031
29,MV,relevant,0.5794963251188932
