concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.0001675603217158177,0.05128205128205128,0.0001675603217158177,0.0003340292275574113,7892908,11936,1
medication,0.0013238019592268996,0.02074156978843238,0.0013238019592268996,0.0016778028518340377,820354,7554,725
laboratory value,0.001784651992861392,0.0065604959558138685,0.001784651992861392,0.002354292237450833,153915,3362,305
fluid balance,0.0014272121788772598,0.006945765937202664,0.0014272121788772598,0.001327185342408939,58539,2102,23
respiratory,0.0027522935779816515,0.0027052458245118796,0.0027522935779816515,0.002380952380952381,13892128,1090,89
hemodynamics,0.0,0.0,0.0,0.0,1385418,544,52
position,0.0,0.0,0.0,0.0,76173,227,2
nice data,0.0,0.0,0.0,0.0,41748,224,51
clinical score,0.0,0.0,0.0,0.0,139217,184,28
infectiology,0.0058823529411764705,0.12352941176470589,0.0058823529411764705,0.01122994652406417,50359,170,26
neurology,0.0,0.0,0.0,0.0,296275,166,13
renal replacement therapy,0.0,0.0,0.0,0.0,2362993,144,27
demographics,0.0,0.0,0.0,0.0,5702,120,11
lda,0.0,0.0,0.0,0.0,1832,88,7
admission information,0.0,0.0,0.0,0.0,16463,55,8
sofa score,0.0,0.0,0.0,0.0,87071,24,7
