,concept_label,precision,recall,f1,support,accuracy,balanced_accuracy,num_records,concept_label_group,relevance
0,unmapped,0.783905406244181,0.9273441515529774,0.8496131853346788,27238,0.9273441515529774,0.9273441515529774,12433075,unmapped,irrelevant
1,temperature_source_text,0.9448818897637795,0.8053691275167785,0.8695652173913044,149,0.8053691275167785,0.8053691275167785,90056,infectiology,relevant
2,tracheostomy_size,0.0,0.0,0.0,7,0.0,0.0,1610,respiratory,relevant
3,gcs_motor,0.5529411764705883,0.5164835164835165,0.5340909090909091,91,0.5164835164835165,0.5164835164835165,71145,neurology,relevant
4,gcs_eye,0.620253164556962,0.6805555555555556,0.6490066225165563,72,0.6805555555555556,0.6805555555555556,69303,neurology,relevant
5,gcs_verbal,0.8958333333333334,0.5375,0.671875,80,0.5375,0.5375,64968,neurology,relevant
6,crrt_mode,0.43478260869565216,0.3125,0.36363636363636365,32,0.3125,0.3125,277801,renal replacement therapy,relevant
7,type_administered_o2,0.8202898550724638,0.4307458143074581,0.564870259481038,657,0.4307458143074581,0.4307458143074581,145564,respiratory,relevant
8,restrictive_policy,0.08695652173913043,0.07142857142857142,0.0784313725490196,28,0.07142857142857142,0.07142857142857142,11867,admission information,relevant
9,cam_icu_score,0.6470588235294118,0.7333333333333333,0.6875,15,0.7333333333333333,0.7333333333333333,27071,clinical score,relevant
10,citrate_dosage_cvvh,1.0,0.4444444444444444,0.6153846153846153,9,0.4444444444444444,0.4444444444444444,6781,renal replacement therapy,relevant
11,pain_score_text,0.9523809523809523,0.40816326530612246,0.5714285714285714,98,0.40816326530612246,0.40816326530612246,55166,clinical score,relevant
12,extravascular_lung_water_index,0.6666666666666666,0.7272727272727273,0.6956521739130435,11,0.7272727272727273,0.7272727272727273,250,hemodynamics,relevant
13,global_end_diastolic_volume_index,1.0,0.5454545454545454,0.7058823529411764,11,0.5454545454545454,0.5454545454545454,239,hemodynamics,relevant
14,ntpro_bnp_unspecified,0.6153846153846154,0.8888888888888888,0.7272727272727274,18,0.8888888888888888,0.8888888888888888,429,laboratory value,relevant
15,troponin_i_hs,0.0,0.0,0.0,7,0.0,0.0,933,laboratory value,relevant
16,nice_adm_source,0.0,0.0,0.0,14,0.0,0.0,7036,nice data,relevant
17,pain_score_bps,0.0,0.0,0.0,8,0.0,0.0,6377,clinical score,relevant
18,fluid_in_flush,0.6212121212121212,0.25949367088607594,0.3660714285714286,158,0.25949367088607594,0.25949367088607594,1691,fluid balance,relevant
19,avpu_score_text,0.6181818181818182,0.7906976744186046,0.693877551020408,43,0.7906976744186046,0.7906976744186046,28407,clinical score,relevant
20,respiratory_rate_measured,0.0,0.0,0.0,4,0.0,0.0,132,respiratory,relevant
21,nice_covid19Status,0.0,0.0,0.0,5,0.0,0.0,2056,nice data,relevant
22,height_measured,0.627906976744186,1.0,0.7714285714285715,27,1.0,1.0,872,demographics,relevant
23,cardiac_output_unspecified,0.5714285714285714,0.4,0.47058823529411764,10,0.4,0.4,338,hemodynamics,relevant
24,central_venous_pressure,0.38461538461538464,0.8333333333333334,0.5263157894736842,6,0.8333333333333334,0.8333333333333334,206,hemodynamics,relevant
25,pulmonary_artery_pressure_diastolic,0.0,0.0,0.0,1,0.0,0.0,1,hemodynamics,relevant
26,pulmonary_artery_pressure_systolic,0.0,0.0,0.0,1,0.0,0.0,1,hemodynamics,relevant
27,pulmonary_artery_pressure_mean,0.0,0.0,0.0,2,0.0,0.0,65,hemodynamics,relevant
28,pulmonary_wedge_pressure,1.0,0.4,0.5714285714285715,5,0.4,0.4,90,hemodynamics,relevant
29,heart_rhythm_text,0.8717948717948718,0.8553459119496856,0.8634920634920635,1113,0.8553459119496856,0.8553459119496856,551138,hemodynamics,relevant
