,concept_label,precision,recall,f1,support,accuracy,balanced_accuracy,num_records,concept_label_group,relevance
0,unmapped,0.098,0.000,0.001,14649,0.000,0.000,9672143,unmapped,irrelevant
1,temperature_source_text,0.000,0.000,0.000,59,0.000,0.000,32331,infectiology,relevant
2,tracheostomy_size,0.000,0.000,0.000,7,0.000,0.000,1610,respiratory,relevant
3,gcs_motor,0.167,0.022,0.039,45,0.022,0.022,59477,neurology,relevant
4,gcs_eye,0.022,0.032,0.026,31,0.032,0.032,52523,neurology,relevant
5,gcs_verbal,0.000,0.000,0.000,37,0.000,0.000,50842,neurology,relevant
6,crrt_mode,0.000,0.000,0.000,29,0.000,0.000,277569,renal replacement therapy,relevant
7,type_administered_o2,0.069,0.006,0.012,312,0.006,0.006,68414,respiratory,relevant
8,restrictive_policy,0.000,0.000,0.000,28,0.000,0.000,11867,admission information,relevant
9,cam_icu_score,0.000,0.000,0.000,14,0.000,0.000,24017,clinical score,relevant
10,citrate_dosage_cvvh,0.000,0.000,0.000,7,0.000,0.000,6592,renal replacement therapy,relevant
11,pain_score_text,0.000,0.000,0.000,26,0.000,0.000,47287,clinical score,relevant
12,extravascular_lung_water_index,0.000,0.000,0.000,9,0.000,0.000,165,hemodynamics,relevant
13,global_end_diastolic_volume_index,0.000,0.000,0.000,9,0.000,0.000,154,hemodynamics,relevant
14,ntpro_bnp_unspecified,0.000,0.000,0.000,18,0.000,0.000,429,laboratory value,relevant
15,troponin_i_hs,0.000,0.000,0.000,7,0.000,0.000,933,laboratory value,relevant
16,nice_adm_source,0.000,0.000,0.000,14,0.000,0.000,7036,nice data,relevant
17,pain_score_bps,0.000,0.000,0.000,8,0.000,0.000,6377,clinical score,relevant
18,fluid_in_flush,0.000,0.000,0.000,146,0.000,0.000,1527,fluid balance,relevant
19,avpu_score_text,0.000,0.000,0.000,25,0.000,0.000,11396,clinical score,relevant
20,respiratory_rate_measured,0.000,0.000,0.000,4,0.000,0.000,132,respiratory,relevant
21,nice_covid19Status,0.000,0.000,0.000,5,0.000,0.000,2056,nice data,relevant
22,height_measured,0.000,0.000,0.000,25,0.000,0.000,760,demographics,relevant
23,cardiac_output_unspecified,0.273,0.300,0.286,10,0.300,0.300,338,hemodynamics,relevant
24,central_venous_pressure,0.000,0.000,0.000,6,0.000,0.000,206,hemodynamics,relevant
25,pulmonary_artery_pressure_diastolic,0.000,0.000,0.000,1,0.000,0.000,1,hemodynamics,relevant
26,pulmonary_artery_pressure_systolic,0.000,0.000,0.000,1,0.000,0.000,1,hemodynamics,relevant
27,pulmonary_artery_pressure_mean,0.000,0.000,0.000,2,0.000,0.000,65,hemodynamics,relevant
28,pulmonary_wedge_pressure,0.000,0.000,0.000,4,0.000,0.000,65,hemodynamics,relevant
29,heart_rhythm_text,0.000,0.000,0.000,310,0.000,0.000,147142,hemodynamics,relevant
30,fluid_out_emesis_retention,0.000,0.000,0.000,60,0.000,0.000,1882,fluid balance,relevant
31,systemic_vascular_resistance_index,0.000,0.000,0.000,6,0.000,0.000,120,hemodynamics,relevant
32,systemic_vascular_resistance,0.000,0.000,0.000,6,0.000,0.000,75,hemodynamics,relevant
33,fluid_out_cvvh_dialysis,0.000,0.000,0.000,29,0.000,0.000,325,fluid balance,relevant
34,stroke_volume_variation,0.000,0.000,0.000,7,0.000,0.000,222,hemodynamics,relevant
35,temperature_unspecified,0.000,0.000,0.000,30,0.000,0.000,1484,infectiology,relevant
36,temperature_core,0.000,0.000,0.000,10,0.000,0.000,224,infectiology,relevant
37,stroke_volume_calculated,0.000,0.000,0.000,10,0.000,0.000,96,hemodynamics,relevant
38,stroke_volume_index,0.000,0.000,0.000,10,0.000,0.000,184,hemodynamics,relevant
39,capillary_refill_text,0.000,0.000,0.000,24,0.000,0.000,2681,hemodynamics,relevant
40,respiratory_rate_set,0.000,0.000,0.000,12,0.000,0.000,37918,respiratory,relevant
41,fluid_out_defecation,0.000,0.000,0.000,49,0.000,0.000,4725,fluid balance,relevant
42,vent_mode_manual,0.000,0.000,0.000,5,0.000,0.000,118,respiratory,relevant
43,fluid_out_other,0.000,0.000,0.000,92,0.000,0.000,553,fluid balance,relevant
44,vent_mode,0.048,0.010,0.016,101,0.010,0.010,6566358,respiratory,relevant
45,pupil_reflex_left,0.000,0.000,0.000,21,0.000,0.000,43268,neurology,relevant
46,pupil_reflex_right,0.000,0.000,0.000,20,0.000,0.000,43093,neurology,relevant
47,fluid_out_drain,0.286,0.022,0.040,92,0.022,0.022,1768,fluid balance,relevant
48,rass_score,0.000,0.000,0.000,55,0.000,0.000,91316,neurology,relevant
49,pain_score_vas,0.000,0.000,0.000,14,0.000,0.000,10264,clinical score,relevant
50,fluid_out_flush,0.000,0.000,0.000,16,0.000,0.000,264,fluid balance,relevant
51,fibrinogen_unspecified,0.000,0.000,0.000,13,0.000,0.000,313,laboratory value,relevant
52,prothrombin_time_inr,0.000,0.000,0.000,24,0.000,0.000,448,laboratory value,relevant
53,d_dimer_unspecified,0.000,0.000,0.000,13,0.000,0.000,576,laboratory value,relevant
54,ammonia_unspecified,0.000,0.000,0.000,17,0.000,0.000,132,laboratory value,relevant
55,creatine_kinase_mb_activity,0.000,0.000,0.000,14,0.000,0.000,153,laboratory value,relevant
56,tobramycin_trough_level,0.000,0.000,0.000,6,0.000,0.000,29,laboratory value,relevant
57,tobramycin_peak_level,0.000,0.000,0.000,5,0.000,0.000,7,laboratory value,relevant
58,vancomycin_trough_level,0.000,0.000,0.000,15,0.000,0.000,232,laboratory value,relevant
59,gender_text,0.000,0.000,0.000,9,0.000,0.000,3069,demographics,relevant
60,cough_reflex_text,0.000,0.000,0.000,19,0.000,0.000,23722,respiratory,relevant
61,so2_arterial,0.000,0.000,0.000,9,0.000,0.000,226,laboratory value,relevant
62,po2_arterial,0.000,0.000,0.000,11,0.000,0.000,161,laboratory value,relevant
63,ph_arterial,0.000,0.000,0.000,11,0.000,0.000,5126,laboratory value,relevant
64,pco2_arterial,0.000,0.000,0.000,10,0.000,0.000,136,laboratory value,relevant
65,position_text,0.000,0.000,0.000,278,0.000,0.000,92263,position,relevant
66,cardiac_index_unspecified,0.000,0.000,0.000,17,0.000,0.000,347,hemodynamics,relevant
67,readmission_ic,0.000,0.000,0.000,9,0.000,0.000,3086,admission information,relevant
68,med_carbohydrates,0.000,0.000,0.000,104,0.000,0.000,26616,medication,relevant
69,med_piritramide,0.000,0.000,0.000,13,0.000,0.000,129,medication,relevant
70,med_midazolam,0.000,0.000,0.000,84,0.000,0.000,35115,medication,relevant
71,med_morphine,0.000,0.000,0.000,68,0.000,0.000,5112,medication,relevant
72,med_insulin_aspart,0.000,0.000,0.000,87,0.000,0.000,27449,medication,relevant
73,med_bisoprolol,0.000,0.000,0.000,30,0.000,0.000,360,medication,relevant
74,med_risperidone,0.000,0.000,0.000,16,0.000,0.000,153,medication,relevant
75,med_fluvastatin,0.000,0.000,0.000,7,0.000,0.000,43,medication,relevant
76,med_candesartan,0.000,0.000,0.000,18,0.000,0.000,137,medication,relevant
77,med_losartan,0.000,0.000,0.000,26,0.000,0.000,391,medication,relevant
78,med_sodium_lauryl_sulfoacetate_incl_combinations,0.000,0.000,0.000,2,0.000,0.000,6,medication,relevant
79,med_carbasalate_calcium,0.000,0.000,0.000,29,0.000,0.000,866,medication,relevant
80,med_clonidine,0.000,0.000,0.000,55,0.000,0.000,5044,medication,relevant
81,med_aciclovir,0.000,0.000,0.000,33,0.000,0.000,1112,medication,relevant
82,med_thiamine_(vit_b1),0.000,0.000,0.000,50,0.000,0.000,2211,medication,relevant
83,med_venlafaxine,0.000,0.000,0.000,16,0.000,0.000,188,medication,relevant
84,med_calcium_combinations_with_vitamin_d_and/or_other_drugs,0.000,0.000,0.000,33,0.000,0.000,797,medication,relevant
85,med_general_nutrients,0.020,0.012,0.015,86,0.012,0.012,21222,medication,relevant
86,med_artificial_tears_and_other_indifferent_preparations,0.000,0.000,0.000,67,0.000,0.000,22255,medication,relevant
87,med_ticagrelor,0.000,0.000,0.000,18,0.000,0.000,377,medication,relevant
88,med_sodium_chloride,0.000,0.000,0.000,18,0.000,0.000,2077,medication,relevant
89,med_promethazine,0.000,0.000,0.000,27,0.000,0.000,477,medication,relevant
90,med_vancomycin,0.000,0.000,0.000,26,0.000,0.000,1969,medication,relevant
91,med_sulfonamides_and_trimethoprim,0.000,0.000,0.000,1,0.000,0.000,82,medication,relevant
92,med_cefuroxime,0.000,0.000,0.000,31,0.000,0.000,3242,medication,relevant
93,med_insulins_and_analogues,0.000,0.000,0.000,1,0.000,0.000,2,medication,relevant
94,med_metamizole_sodium,0.000,0.000,0.000,17,0.000,0.000,890,medication,relevant
95,med_dexmedetomidine,0.000,0.000,0.000,14,0.000,0.000,9126,medication,relevant
96,med_haloperidol,0.000,0.000,0.000,66,0.000,0.000,4814,medication,relevant
97,med_levofloxacin,0.000,0.000,0.000,5,0.000,0.000,21,medication,relevant
98,med_amphotericin_b,0.000,0.000,0.000,22,0.000,0.000,3982,medication,relevant
99,med_sodium_hypochlorite,0.000,0.000,0.000,2,0.000,0.000,68,medication,relevant
100,med_apixaban,0.000,0.000,0.000,24,0.000,0.000,1372,medication,relevant
101,med_vasopressin_(argipressin),0.000,0.000,0.000,4,0.000,0.000,74,medication,relevant
102,med_colecalciferol,0.045,0.019,0.027,53,0.019,0.019,502,medication,relevant
103,med_vitamin_b12_(cyanocobalamin_and_analogues),0.000,0.000,0.000,3,0.000,0.000,21,medication,relevant
104,med_chloroquine,0.000,0.000,0.000,21,0.000,0.000,4446,medication,relevant
105,med_timolol_combinations,0.000,0.000,0.000,14,0.000,0.000,244,medication,relevant
106,med_potassium_chloride,0.000,0.000,0.000,77,0.000,0.000,8804,medication,relevant
107,med_acetazolamide,0.000,0.000,0.000,36,0.000,0.000,712,medication,relevant
