concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.000,0.098,0.000,0.001,9672143,14649,1
medication,0.001,0.001,0.001,0.001,955140,8412,738
laboratory value,0.006,0.065,0.006,0.006,165947,4073,310
fluid balance,0.002,0.013,0.002,0.003,66795,2488,24
respiratory,0.004,0.024,0.004,0.007,13927380,1897,95
hemodynamics,0.005,0.003,0.005,0.003,3130899,882,57
neurology,0.007,0.028,0.007,0.009,420712,292,13
position,0.000,0.000,0.000,0.000,93375,280,3
clinical score,0.000,0.000,0.000,0.000,163632,261,28
nice data,0.012,0.014,0.012,0.010,49742,258,58
infectiology,0.000,0.000,0.000,0.000,61696,254,29
demographics,0.000,0.000,0.000,0.000,7243,161,11
renal replacement therapy,0.000,0.000,0.000,0.000,2367577,149,28
lda,0.000,0.000,0.000,0.000,2146,96,7
admission information,0.000,0.000,0.000,0.000,16469,57,8
sofa score,0.000,0.000,0.000,0.000,91727,31,12
