ehr_name,hospital_name,relevance,accuracy,precision,recall,f1,num_records,support,group_count
EPIC,8,overall,0.001,0.102,0.001,0.002,134536,1223,363
EPIC,8,relevant,0.000,0.000,0.000,0.000,40457,724,362
EPIC,8,irrelevant,0.002,0.250,0.002,0.004,94079,499,1
EPIC,20,overall,0.000,0.000,0.000,0.000,1213251,1562,334
EPIC,20,relevant,0.000,0.000,0.000,0.000,37811,580,333
EPIC,20,irrelevant,0.000,0.000,0.000,0.000,1175440,982,1
EPIC,23,overall,0.001,0.001,0.001,0.001,48320,848,304
EPIC,23,relevant,0.002,0.001,0.002,0.001,41143,576,303
EPIC,23,irrelevant,0.000,0.000,0.000,0.000,7177,272,1
EPIC,24,overall,0.002,0.020,0.002,0.003,100810,3030,529
EPIC,24,relevant,0.003,0.031,0.003,0.004,57415,1897,528
EPIC,24,irrelevant,0.000,0.000,0.000,0.000,43395,1133,1
HIX,4,overall,0.000,0.000,0.000,0.000,106464,648,259
HIX,4,relevant,0.000,0.000,0.000,0.000,88382,481,258
HIX,4,irrelevant,0.000,0.000,0.000,0.000,18082,167,1
HIX,5,overall,0.000,0.042,0.000,0.001,471025,2223,487
HIX,5,relevant,0.000,0.000,0.000,0.000,389166,1664,486
HIX,5,irrelevant,0.002,0.167,0.002,0.004,81859,559,1
HIX,6,overall,0.001,0.000,0.001,0.000,372727,1797,452
HIX,6,relevant,0.001,0.000,0.001,0.000,292611,1335,451
HIX,6,irrelevant,0.000,0.000,0.000,0.000,80116,462,1
HIX,9,overall,0.001,0.001,0.001,0.001,152724,1203,430
HIX,9,relevant,0.001,0.001,0.001,0.001,133568,842,429
HIX,9,irrelevant,0.000,0.000,0.000,0.000,19156,361,1
HIX,12,overall,0.000,0.000,0.000,0.000,69948,701,309
HIX,12,relevant,0.000,0.000,0.000,0.000,63369,573,308
HIX,12,irrelevant,0.000,0.000,0.000,0.000,6579,128,1
HIX,14,overall,0.002,0.000,0.002,0.001,125277,609,288
HIX,14,relevant,0.002,0.001,0.002,0.001,86717,491,287
HIX,14,irrelevant,0.000,0.000,0.000,0.000,38560,118,1
HIX,16,overall,0.000,0.000,0.000,0.000,195964,1031,318
HIX,16,relevant,0.000,0.000,0.000,0.000,176727,695,317
HIX,16,irrelevant,0.000,0.000,0.000,0.000,19237,336,1
HIX,18,overall,0.000,0.000,0.000,0.000,196341,1197,346
HIX,18,relevant,0.000,0.000,0.000,0.000,183126,832,345
HIX,18,irrelevant,0.000,0.000,0.000,0.000,13215,365,1
HIX,21,overall,0.000,0.000,0.000,0.000,2253886,858,331
HIX,21,relevant,0.000,0.000,0.000,0.000,2205233,594,330
HIX,21,irrelevant,0.000,0.000,0.000,0.000,48653,264,1
HIX,22,overall,0.001,0.033,0.001,0.002,221413,1205,283
HIX,22,relevant,0.000,0.000,0.000,0.000,173193,1009,282
HIX,22,irrelevant,0.005,0.200,0.005,0.010,48220,196,1
HIX,26,overall,0.001,0.001,0.001,0.001,122992,1547,370
HIX,26,relevant,0.001,0.002,0.001,0.001,84230,1107,369
HIX,26,irrelevant,0.000,0.000,0.000,0.000,38762,440,1
HIX,28,overall,0.006,0.192,0.006,0.011,109041,1736,446
HIX,28,relevant,0.000,0.000,0.000,0.000,71180,1168,445
HIX,28,irrelevant,0.018,0.588,0.018,0.034,37861,568,1
MV,0,overall,0.000,0.000,0.000,0.000,287783,864,224
MV,0,relevant,0.000,0.000,0.000,0.000,159550,337,223
MV,0,irrelevant,0.000,0.000,0.000,0.000,128233,527,1
MV,2,overall,0.003,0.493,0.003,0.004,4860492,1182,257
MV,2,relevant,0.003,0.002,0.003,0.002,3176443,308,256
MV,2,irrelevant,0.002,0.667,0.002,0.005,1684049,874,1
MV,3,overall,0.000,0.000,0.000,0.000,84043,351,89
MV,3,relevant,0.000,0.000,0.000,0.000,70739,128,88
MV,3,irrelevant,0.000,0.000,0.000,0.000,13304,223,1
MV,10,overall,0.001,0.243,0.001,0.003,2854667,689,127
MV,10,relevant,0.000,0.000,0.000,0.000,1392107,187,126
MV,10,irrelevant,0.002,0.333,0.002,0.004,1462560,502,1
MV,11,overall,0.001,0.343,0.001,0.002,2367383,946,258
MV,11,relevant,0.000,0.000,0.000,0.000,2168491,297,257
MV,11,irrelevant,0.002,0.500,0.002,0.003,198892,649,1
MV,13,overall,0.002,0.002,0.002,0.002,5542801,654,148
MV,13,relevant,0.005,0.005,0.005,0.005,3502252,187,147
MV,13,irrelevant,0.000,0.000,0.000,0.000,2040549,467,1
MV,15,overall,0.002,0.006,0.002,0.003,4037102,634,154
MV,15,relevant,0.005,0.022,0.005,0.009,3315444,182,153
MV,15,irrelevant,0.000,0.000,0.000,0.000,721658,452,1
MV,17,overall,0.001,0.266,0.001,0.001,2147282,1498,245
MV,17,relevant,0.000,0.000,0.000,0.000,1284187,301,244
MV,17,irrelevant,0.001,0.333,0.001,0.002,863095,1197,1
MV,25,overall,0.000,0.000,0.000,0.000,336574,645,155
MV,25,relevant,0.000,0.000,0.000,0.000,126069,181,154
MV,25,irrelevant,0.000,0.000,0.000,0.000,210505,464,1
MV,29,overall,0.000,0.000,0.000,0.000,424744,1057,376
MV,29,relevant,0.000,0.000,0.000,0.000,241020,527,375
MV,29,irrelevant,0.000,0.000,0.000,0.000,183724,530,1
