Skewness_threshold,Skewness,baseline_affected,parameter_count,baseline_all
0.0,0.08095676172953081,0.7151788815560959,2879.0,0.5997
0.01,0.09397944199706314,0.6917808219178082,2482.0,0.5997
0.02,0.10058231868713605,0.682653518601524,2231.0,0.5997
0.03,0.11231470923603193,0.6713008937437934,2014.0,0.5997
0.04,0.12374371859296482,0.657504123144585,1819.0,0.5997
0.05,0.13416320885200553,0.6447129909365559,1655.0,0.5997
0.06,0.1418711656441718,0.6308724832214765,1490.0,0.5997
0.07,0.15046491969568893,0.6206384558277654,1347.0,0.5997
0.08,0.16173752310536044,0.6086601307189542,1224.0,0.5997
0.09,0.1663306451612903,0.5942549371633752,1114.0,0.5997
0.1,0.1779935275080906,0.5766634522661523,1037.0,0.5997
0.11,0.1902552204176334,0.5661157024793388,968.0,0.5997
0.12,0.20198265179677818,0.5644983461962514,907.0,0.5997
0.13,0.21128608923884515,0.5517647058823529,850.0,0.5997
0.14,0.21974965229485396,0.5423940149625935,802.0,0.5997
0.15,0.22514619883040934,0.5363276089828269,757.0,0.5997
0.16,0.22427035330261136,0.5313807531380753,717.0,0.5997
0.17,0.22903225806451613,0.5345080763582967,681.0,0.5997
0.18,0.22885572139303484,0.5251908396946565,655.0,0.5997
0.19,0.23539518900343642,0.5213270142180095,633.0,0.5997
0.2,0.25045372050816694,0.5058430717863105,599.0,0.5997
0.21,0.2551594746716698,0.5008635578583766,579.0,0.5997
0.22,0.25680933852140075,0.49464285714285716,560.0,0.5997
0.23,0.2585858585858586,0.4897959183673469,539.0,0.5997
0.24,0.267223382045929,0.4827586206896552,522.0,0.5997
0.25,0.27586206896551724,0.47128712871287126,505.0,0.5997
0.26,0.28074245939675174,0.4595744680851064,470.0,0.5997
0.27,0.28125,0.45374449339207046,454.0,0.5997
0.28,0.28391959798994976,0.44803695150115475,433.0,0.5997
0.29,0.2930591259640103,0.44075829383886256,422.0,0.5997
0.3,0.29894179894179895,0.4306569343065693,411.0,0.5997
0.31,0.30494505494505497,0.4217171717171717,396.0,0.5997
0.32,0.3107344632768362,0.412987012987013,385.0,0.5997
0.33,0.313953488372093,0.4186666666666667,375.0,0.5997
0.34,0.3221884498480243,0.3904494382022472,356.0,0.5997
0.35,0.32407407407407407,0.38571428571428573,350.0,0.5997
0.36,0.3291139240506329,0.3735294117647059,340.0,0.5997
0.37,0.33440514469453375,0.3633633633633634,333.0,0.5997
0.38,0.3366013071895425,0.3597560975609756,328.0,0.5997
0.39,0.33663366336633666,0.3630769230769231,325.0,0.5997
0.4,0.33444816053511706,0.365625,320.0,0.5997
0.41,0.3402061855670103,0.36129032258064514,310.0,0.5997
0.42,0.3487544483985765,0.3501683501683502,297.0,0.5997
0.43,0.34657039711191334,0.3515358361774744,293.0,0.5997
0.44,0.3490909090909091,0.35051546391752575,291.0,0.5997
0.45,0.35687732342007433,0.3462897526501767,283.0,0.5997
0.46,0.3549618320610687,0.3492647058823529,272.0,0.5997
0.47,0.3667953667953668,0.34210526315789475,266.0,0.5997
0.48,0.3584070796460177,0.329004329004329,231.0,0.5997
0.49,0.35135135135135137,0.33480176211453744,227.0,0.5997
0.5,0.35046728971962615,0.3242009132420091,219.0,0.5997
0.51,0.35714285714285715,0.3209302325581395,215.0,0.5997
0.52,0.3526570048309179,0.32075471698113206,212.0,0.5997
0.53,0.3388888888888889,0.31891891891891894,185.0,0.5997
0.54,0.3465909090909091,0.30939226519337015,181.0,0.5997
0.55,0.35365853658536583,0.28994082840236685,169.0,0.5997
0.56,0.34615384615384615,0.2857142857142857,161.0,0.5997
0.57,0.3443708609271523,0.28846153846153844,156.0,0.5997
0.58,0.3356164383561644,0.2913907284768212,151.0,0.5997
0.59,0.3111111111111111,0.302158273381295,139.0,0.5997
0.6,0.30952380952380953,0.3,130.0,0.5997
0.61,0.312,0.3023255813953488,129.0,0.5997
0.62,0.312,0.3023255813953488,129.0,0.5997
0.63,0.3170731707317073,0.2992125984251969,127.0,0.5997
0.64,0.319672131147541,0.288,125.0,0.5997
0.65,0.3247863247863248,0.26666666666666666,120.0,0.5997
0.66,0.32456140350877194,0.2564102564102564,117.0,0.5997
0.67,0.3523809523809524,0.2037037037037037,108.0,0.5997
0.68,0.3592233009708738,0.18867924528301888,106.0,0.5997
0.69,0.3592233009708738,0.18095238095238095,105.0,0.5997
0.7,0.3627450980392157,0.17307692307692307,104.0,0.5997
0.71,0.3627450980392157,0.17307692307692307,104.0,0.5997
0.72,0.3627450980392157,0.17307692307692307,104.0,0.5997
0.73,0.3627450980392157,0.17307692307692307,104.0,0.5997
0.74,0.37755102040816324,0.15151515151515152,99.0,0.5997
0.75,0.40217391304347827,0.12903225806451613,93.0,0.5997
0.76,0.40217391304347827,0.12903225806451613,93.0,0.5997
0.77,0.4065934065934066,0.11956521739130435,92.0,0.5997
0.78,0.4157303370786517,0.1,90.0,0.5997
0.79,0.4157303370786517,0.1,90.0,0.5997
0.8,0.42528735632183906,0.07954545454545454,88.0,0.5997
0.81,0.43529411764705883,0.06976744186046512,86.0,0.5997
0.82,0.43529411764705883,0.06976744186046512,86.0,0.5997
0.83,0.43529411764705883,0.07058823529411765,85.0,0.5997
0.84,0.43529411764705883,0.07058823529411765,85.0,0.5997
0.85,0.43529411764705883,0.07058823529411765,85.0,0.5997
0.86,0.4457831325301205,0.07228915662650602,83.0,0.5997
0.87,0.4457831325301205,0.07228915662650602,83.0,0.5997
0.88,0.46835443037974683,0.0379746835443038,79.0,0.5997
0.89,0.47435897435897434,0.02564102564102564,78.0,0.5997
0.9,0.4805194805194805,0.012987012987012988,77.0,0.5997
0.91,0.4805194805194805,0.012987012987012988,77.0,0.5997
0.92,0.4805194805194805,0.012987012987012988,77.0,0.5997
0.93,0.4868421052631579,0.0,76.0,0.5997
0.94,0.4868421052631579,0.0,76.0,0.5997
0.95,0.48,0.0,75.0,0.5997
0.96,0.48,0.0,75.0,0.5997
0.97,0.48,0.0,75.0,0.5997
0.98,0.48,0.0,75.0,0.5997
0.99,0.48,0.0,75.0,0.5997
