Skewness_threshold,Skewness,baseline_affected,parameter_count,baseline_all
0.0,0.055636896046852125,0.7340463458110517,2805.0,0.5997
0.01,0.06924384027187766,0.7130398671096345,2408.0,0.5997
0.02,0.07521286660359508,0.7060732498840983,2157.0,0.5997
0.03,0.08627038400841662,0.6969072164948453,1940.0,0.5997
0.04,0.09351256575102279,0.6853868194842407,1745.0,0.5997
0.05,0.09993552546744036,0.6748893105629349,1581.0,0.5997
0.06,0.10655147588192944,0.6638418079096046,1416.0,0.5997
0.07,0.1115569823434992,0.6567164179104478,1273.0,0.5997
0.08,0.1196808510638298,0.6478260869565218,1150.0,0.5997
0.09,0.12171372930866602,0.6365384615384615,1040.0,0.5997
0.1,0.12920168067226892,0.6209761163032191,963.0,0.5997
0.11,0.13703284258210646,0.6129753914988815,894.0,0.5997
0.12,0.14580801944106925,0.6146458583433373,833.0,0.5997
0.13,0.15535248041775457,0.604381443298969,776.0,0.5997
0.14,0.16016713091922005,0.5975274725274725,728.0,0.5997
0.15,0.16444444444444445,0.5944363103953147,683.0,0.5997
0.16,0.16352201257861634,0.5925349922239502,643.0,0.5997
0.17,0.16666666666666666,0.5996705107084019,607.0,0.5997
0.18,0.1672473867595819,0.5920826161790017,581.0,0.5997
0.19,0.1721014492753623,0.590339892665474,559.0,0.5997
0.2,0.18532818532818532,0.5771428571428572,525.0,0.5997
0.21,0.18837675350701402,0.5742574257425742,505.0,0.5997
0.22,0.18958333333333333,0.5699588477366255,486.0,0.5997
0.23,0.18736383442265794,0.567741935483871,465.0,0.5997
0.24,0.19457013574660634,0.5625,448.0,0.5997
0.25,0.2023529411764706,0.5522041763341067,431.0,0.5997
0.26,0.2020460358056266,0.5454545454545454,396.0,0.5997
0.27,0.2,0.5421052631578948,380.0,0.5997
0.28,0.2,0.5403899721448467,359.0,0.5997
0.29,0.2063953488372093,0.5344827586206896,348.0,0.5997
0.3,0.21021021021021022,0.5252225519287834,337.0,0.5997
0.31,0.2138364779874214,0.5186335403726708,322.0,0.5997
0.32,0.2182410423452769,0.5112540192926045,311.0,0.5997
0.33,0.21885521885521886,0.521594684385382,301.0,0.5997
0.34,0.2302158273381295,0.4929078014184397,282.0,0.5997
0.35,0.23161764705882354,0.4891304347826087,276.0,0.5997
0.36,0.24045801526717558,0.4774436090225564,266.0,0.5997
0.37,0.245136186770428,0.4671814671814672,259.0,0.5997
0.38,0.24603174603174602,0.4645669291338583,254.0,0.5997
0.39,0.24899598393574296,0.4701195219123506,251.0,0.5997
0.4,0.2459016393442623,0.47560975609756095,246.0,0.5997
0.41,0.24358974358974358,0.4745762711864407,236.0,0.5997
0.42,0.25225225225225223,0.4663677130044843,223.0,0.5997
0.43,0.24770642201834864,0.4703196347031963,219.0,0.5997
0.44,0.25,0.4700460829493088,217.0,0.5997
0.45,0.2644230769230769,0.4688995215311005,209.0,0.5997
0.46,0.2639593908629442,0.4797979797979798,198.0,0.5997
0.47,0.2879581151832461,0.4739583333333333,192.0,0.5997
