,concept_label,precision,recall,f1,support,accuracy,num_records,concept_label_group,relevance
0,potassium_unspecified,0.15151515151515152,0.21739130434782608,0.17857142857142858,46,0.21739130434782608,61789,laboratory value,relevant
1,unmapped,0.11937543265902623,0.04286227181087575,0.06307661044503149,36209,0.04286227181087575,63594071,unmapped,irrelevant
2,temperature_source_text,0.08441558441558442,0.06878306878306878,0.07580174927113703,189,0.06878306878306878,101914,infectiology,relevant
3,tracheostomy_size,0.15853658536585366,0.9285714285714286,0.27083333333333337,14,0.9285714285714286,5593,respiratory,relevant
4,gcs_motor,0.19047619047619047,0.36363636363636365,0.25,110,0.36363636363636365,98482,neurology,relevant
5,gcs_eye,0.21,0.23863636363636365,0.22340425531914895,88,0.23863636363636365,99513,neurology,relevant
6,gcs_verbal,0.18518518518518517,0.30303030303030304,0.22988505747126436,99,0.30303030303030304,93031,neurology,relevant
7,crrt_mode,0.14444444444444443,0.6341463414634146,0.2352941176470588,41,0.6341463414634146,287510,renal replacement therapy,relevant
8,type_administered_o2,0.1504424778761062,0.23097826086956522,0.1822079314040729,736,0.23097826086956522,200663,respiratory,relevant
9,fio2_hiflow,0.0,0.0,0.0,6,0.0,7915,respiratory,relevant
10,o2_flow_high_flow_oxygen,0.10857142857142857,0.1532258064516129,0.12709030100334448,124,0.1532258064516129,159500,respiratory,relevant
11,restrictive_policy,0.053125,0.5666666666666667,0.09714285714285714,30,0.5666666666666667,12161,admission information,relevant
12,lactate_dehydrogenase_unspecified,0.5483870967741935,0.2786885245901639,0.3695652173913043,61,0.2786885245901639,27335,laboratory value,relevant
13,cam_icu_score,0.09722222222222222,0.3888888888888889,0.15555555555555556,18,0.3888888888888889,36104,clinical score,relevant
14,amylase_unspecified,0.5714285714285714,0.16666666666666666,0.25806451612903225,24,0.16666666666666666,1841,laboratory value,relevant
15,picco_pulse_pressure_variation,0.2,0.08333333333333333,0.11764705882352941,12,0.08333333333333333,46035,hemodynamics,relevant
16,ultrafiltration_cvvh_measured,0.0,0.0,0.0,6,0.0,31257,renal replacement therapy,relevant
17,access_pressure_cvvh,0.22916666666666666,0.34375,0.27499999999999997,32,0.34375,525970,renal replacement therapy,relevant
18,return_pressure_cvvh,0.11764705882352941,0.2,0.14814814814814817,30,0.2,527793,renal replacement therapy,relevant
19,crrt_duration,0.0032310177705977385,0.6666666666666666,0.006430868167202572,3,0.6666666666666666,7781,renal replacement therapy,relevant
20,blood_flow_cvvh,0.27586206896551724,0.22857142857142856,0.25,35,0.22857142857142856,592211,renal replacement therapy,relevant
21,effluent_pressure_cvvh,0.031446540880503145,0.20833333333333334,0.054644808743169404,24,0.20833333333333334,489821,renal replacement therapy,relevant
22,fluid_out_cvvh_dialysis_cumulative,0.0,0.0,0.0,3,0.0,95884,fluid balance,relevant
23,ultrafiltration_cvvh_set,0.10606060606060606,0.2,0.1386138613861386,35,0.2,554406,renal replacement therapy,relevant
24,citrate_dosage_cvvh,0.06060606060606061,0.125,0.0816326530612245,16,0.125,448155,renal replacement therapy,relevant
25,pain_score_text,0.21714285714285714,0.33043478260869563,0.26206896551724135,115,0.33043478260869563,60110,clinical score,relevant
26,substitution_volume_cvvh,0.09090909090909091,0.14285714285714285,0.1111111111111111,7,0.14285714285714285,182922,renal replacement therapy,relevant
27,extravascular_lung_water_index,0.3333333333333333,0.2631578947368421,0.29411764705882354,19,0.2631578947368421,3594,hemodynamics,relevant
28,global_end_diastolic_volume_index,0.22580645161290322,0.3333333333333333,0.2692307692307692,21,0.3333333333333333,14092,hemodynamics,relevant
29,procalcitonin_unspecified,0.011627906976744186,0.03225806451612903,0.017094017094017092,31,0.03225806451612903,20482,laboratory value,relevant
30,ntpro_bnp_unspecified,0.0,0.0,0.0,30,0.0,8040,laboratory value,relevant
31,troponin_i_hs,0.13157894736842105,0.625,0.21739130434782608,8,0.625,1600,laboratory value,relevant
32,glucose_measured_unspecified,0.6518987341772152,0.4186991869918699,0.5099009900990099,738,0.4186991869918699,125622,laboratory value,relevant
33,vancomycin_level,0.25,0.631578947368421,0.3582089552238806,19,0.631578947368421,1743,laboratory value,relevant
34,nice_adm_source,0.09411764705882353,0.5714285714285714,0.1616161616161616,14,0.5714285714285714,7036,nice data,relevant
35,pain_score_bps,0.02531645569620253,0.2222222222222222,0.04545454545454545,9,0.2222222222222222,6492,clinical score,relevant
36,fluid_in_flush,0.14573991031390135,0.34759358288770054,0.20537124802527648,187,0.34759358288770054,7106,fluid balance,relevant
37,pupil_diameter_right,0.46835443037974683,0.4625,0.4654088050314466,80,0.4625,92934,neurology,relevant
38,avpu_score_text,0.06060606060606061,0.04081632653061224,0.04878048780487805,49,0.04081632653061224,35547,clinical score,relevant
39,end_tidal_co2_measured,0.16981132075471697,0.17307692307692307,0.17142857142857143,52,0.17307692307692307,4093242,respiratory,relevant
40,respiratory_rate_measured,0.07142857142857142,0.15,0.09677419354838708,40,0.15,3311175,respiratory,relevant
41,nice_covid19Status,0.02702702702702703,0.4,0.05063291139240506,5,0.4,2056,nice data,relevant
42,ph_arterial,0.26666666666666666,0.18181818181818182,0.21621621621621623,44,0.18181818181818182,115825,laboratory value,relevant
43,po2_unspecified,0.3181818181818182,0.7777777777777778,0.45161290322580644,18,0.7777777777777778,95112,laboratory value,relevant
44,pco2_unspecified,0.06451612903225806,0.06451612903225806,0.06451612903225806,31,0.06451612903225806,97773,laboratory value,relevant
45,base_excess_unspecified,0.0,0.0,0.0,25,0.0,111169,laboratory value,relevant
46,bicarbonate_actual_unspecified,0.1,0.1111111111111111,0.10526315789473685,36,0.1111111111111111,113650,laboratory value,relevant
47,sodium_unspecified,0.18269230769230768,0.34545454545454546,0.2389937106918239,55,0.34545454545454546,61772,laboratory value,relevant
48,fio2_set,0.056666666666666664,0.03981264637002342,0.04676753782668502,427,0.03981264637002342,5008055,respiratory,relevant
49,peak_inspiratory_pressure,0.0783132530120482,0.2653061224489796,0.12093023255813953,49,0.2653061224489796,4863894,respiratory,relevant
50,tidal_volume_expiratory_measured,0.0,0.0,0.0,4,0.0,1478863,respiratory,relevant
51,height_measured,0.0875,0.14285714285714285,0.10852713178294573,49,0.14285714285714285,10619,demographics,relevant
52,p01_measured,0.03508771929824561,0.08,0.048780487804878044,25,0.08,2017167,respiratory,relevant
53,arterial_bp_diastolic,0.13636363636363635,0.21428571428571427,0.16666666666666663,14,0.21428571428571427,4215881,hemodynamics,relevant
54,arterial_bp_mean,0.29411764705882354,0.45454545454545453,0.35714285714285715,22,0.45454545454545453,4454459,hemodynamics,relevant
55,arterial_bp_systolic,0.23076923076923078,0.42857142857142855,0.3,14,0.42857142857142855,4219135,hemodynamics,relevant
56,cardiac_output_unspecified,0.10714285714285714,0.15,0.125,20,0.15,8867,hemodynamics,relevant
57,central_venous_pressure,0.09876543209876543,0.26666666666666666,0.14414414414414414,30,0.26666666666666666,2131655,hemodynamics,relevant
58,heart_rate_unspecified,0.06789413118527042,0.048599670510708404,0.056649063850216036,1214,0.048599670510708404,9168013,hemodynamics,relevant
59,nibp_diastolic,0.08620689655172414,0.5,0.14705882352941177,10,0.5,30715,hemodynamics,relevant
60,nibp_mean,0.18604651162790697,0.32,0.23529411764705885,25,0.32,90795,hemodynamics,relevant
61,nibp_systolic,0.13793103448275862,0.3333333333333333,0.1951219512195122,12,0.3333333333333333,39394,hemodynamics,relevant
62,pulmonary_artery_pressure_diastolic,0.0,0.0,0.0,2,0.0,5021,hemodynamics,relevant
63,pulmonary_artery_pressure_systolic,0.0,0.0,0.0,2,0.0,5021,hemodynamics,relevant
64,pulmonary_artery_pressure_mean,0.0,0.0,0.0,7,0.0,17500,hemodynamics,relevant
65,pulmonary_wedge_pressure,0.033783783783783786,0.625,0.0641025641025641,8,0.625,152,hemodynamics,relevant
66,heart_rhythm_text,0.07547169811320754,0.0959725792630677,0.08449641644662391,1167,0.0959725792630677,664480,hemodynamics,relevant
67,fluid_in_oral,0.05678158177263509,0.2809917355371901,0.09447256127815819,1694,0.2809917355371901,42231,fluid balance,relevant
68,fluid_out_emesis_retention,0.14227642276422764,0.3153153153153153,0.19607843137254902,111,0.3153153153153153,137521,fluid balance,relevant
69,systemic_vascular_resistance_index,0.07142857142857142,0.05555555555555555,0.0625,18,0.05555555555555555,73080,hemodynamics,relevant
70,systemic_vascular_resistance,0.07142857142857142,0.08695652173913043,0.0784313725490196,23,0.08695652173913043,17800,hemodynamics,relevant
71,fluid_out_cvvh_dialysis,0.09523809523809523,0.1875,0.12631578947368421,64,0.1875,40247,fluid balance,relevant
72,stroke_volume_variation,0.13157894736842105,0.25,0.1724137931034483,20,0.25,80106,hemodynamics,relevant
73,fluid_out_urine,0.14805194805194805,0.475,0.22574257425742572,120,0.475,648800,fluid balance,relevant
74,fluid_out_defecation,0.12663755458515283,0.29292929292929293,0.17682926829268292,99,0.29292929292929293,72238,fluid balance,relevant
75,fluid_in_tube,0.11624649859943978,0.18526785714285715,0.14285714285714288,448,0.18526785714285715,208468,fluid balance,relevant
76,temperature_bladder,0.11428571428571428,0.16666666666666666,0.13559322033898305,24,0.16666666666666666,827909,infectiology,relevant
77,temperature_unspecified,0.1165644171779141,0.2289156626506024,0.15447154471544716,83,0.2289156626506024,1067739,infectiology,relevant
78,temperature_core,0.25925925925925924,0.3333333333333333,0.2916666666666667,21,0.3333333333333333,68549,infectiology,relevant
79,stroke_volume_calculated,0.05263157894736842,0.045454545454545456,0.04878048780487805,22,0.045454545454545456,83859,hemodynamics,relevant
80,stroke_volume_index,0.25,0.36363636363636365,0.2962962962962963,22,0.36363636363636365,90137,hemodynamics,relevant
81,capillary_refill_text,0.0759493670886076,0.16216216216216217,0.10344827586206896,37,0.16216216216216217,4139,hemodynamics,relevant
82,inspiratory_pressure_above_peep,0.07065217391304347,0.13,0.09154929577464789,100,0.13,4368722,respiratory,relevant
