concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.043,0.119,0.043,0.063,63594071,36209,1
medication,0.044,0.043,0.044,0.037,2023683,11750,842
laboratory value,0.208,0.207,0.208,0.191,5648923,9109,364
respiratory,0.112,0.098,0.112,0.087,116242171,6464,135
fluid balance,0.274,0.096,0.274,0.135,2939549,4020,31
hemodynamics,0.116,0.083,0.116,0.089,46398269,3351,66
neurology,0.357,0.247,0.357,0.286,889996,781,14
infectiology,0.225,0.120,0.225,0.146,3297766,721,31
clinical score,0.290,0.172,0.290,0.199,1811198,630,31
renal replacement therapy,0.271,0.142,0.271,0.165,9136412,473,46
position,0.289,0.071,0.289,0.114,242815,356,4
demographics,0.283,0.169,0.283,0.207,907928,321,11
nice data,0.403,0.132,0.403,0.178,59768,305,60
sofa score,0.510,0.304,0.510,0.283,588216,143,27
lda,0.375,0.093,0.375,0.145,4022,136,8
admission information,0.507,0.046,0.507,0.084,17117,67,9
