,concept_label,precision,recall,f1,support,accuracy,num_records,concept_label_group,relevance
0,potassium_unspecified,0.000,0.000,0.000,46,0.000,61789,laboratory value,relevant
1,unmapped,0.058,0.001,0.003,26175,0.001,58258943,unmapped,irrelevant
2,temperature_source_text,0.000,0.000,0.000,156,0.000,87149,infectiology,relevant
3,tracheostomy_size,0.000,0.000,0.000,13,0.000,5209,respiratory,relevant
4,gcs_motor,0.036,0.011,0.017,93,0.011,97838,neurology,relevant
5,gcs_eye,0.000,0.000,0.000,81,0.000,89007,neurology,relevant
6,gcs_verbal,0.022,0.014,0.017,73,0.014,86454,neurology,relevant
7,crrt_mode,0.024,0.025,0.025,40,0.025,287326,renal replacement therapy,relevant
8,type_administered_o2,0.021,0.012,0.015,568,0.012,116690,respiratory,relevant
9,fio2_hiflow,0.022,0.167,0.038,6,0.167,7915,respiratory,relevant
10,o2_flow_high_flow_oxygen,0.052,0.034,0.041,118,0.034,159345,respiratory,relevant
11,restrictive_policy,0.000,0.000,0.000,29,0.000,12158,admission information,relevant
12,lactate_dehydrogenase_unspecified,0.000,0.000,0.000,61,0.000,27335,laboratory value,relevant
13,cam_icu_score,0.000,0.000,0.000,17,0.000,33050,clinical score,relevant
14,amylase_unspecified,0.000,0.000,0.000,24,0.000,1841,laboratory value,relevant
15,picco_pulse_pressure_variation,0.000,0.000,0.000,12,0.000,46035,hemodynamics,relevant
16,ultrafiltration_cvvh_measured,0.000,0.000,0.000,6,0.000,31257,renal replacement therapy,relevant
17,access_pressure_cvvh,0.000,0.000,0.000,31,0.000,512568,renal replacement therapy,relevant
18,return_pressure_cvvh,0.000,0.000,0.000,30,0.000,527793,renal replacement therapy,relevant
19,crrt_duration,0.000,0.000,0.000,3,0.000,7781,renal replacement therapy,relevant
20,blood_flow_cvvh,0.018,0.029,0.022,35,0.029,592211,renal replacement therapy,relevant
21,effluent_pressure_cvvh,0.000,0.000,0.000,22,0.000,474725,renal replacement therapy,relevant
22,fluid_out_cvvh_dialysis_cumulative,0.000,0.000,0.000,3,0.000,95884,fluid balance,relevant
23,ultrafiltration_cvvh_set,0.000,0.000,0.000,35,0.000,554406,renal replacement therapy,relevant
24,citrate_dosage_cvvh,0.000,0.000,0.000,15,0.000,448149,renal replacement therapy,relevant
25,pain_score_text,0.005,0.014,0.008,71,0.014,47644,clinical score,relevant
26,substitution_volume_cvvh,0.000,0.000,0.000,7,0.000,182922,renal replacement therapy,relevant
27,extravascular_lung_water_index,0.000,0.000,0.000,18,0.000,3523,hemodynamics,relevant
28,global_end_diastolic_volume_index,0.032,0.053,0.040,19,0.053,14007,hemodynamics,relevant
29,procalcitonin_unspecified,0.000,0.000,0.000,31,0.000,20482,laboratory value,relevant
30,ntpro_bnp_unspecified,0.000,0.000,0.000,30,0.000,8040,laboratory value,relevant
31,troponin_i_hs,0.000,0.000,0.000,8,0.000,1600,laboratory value,relevant
32,glucose_measured_unspecified,0.067,0.003,0.005,736,0.003,125600,laboratory value,relevant
33,vancomycin_level,0.000,0.000,0.000,19,0.000,1743,laboratory value,relevant
34,nice_adm_source,0.000,0.000,0.000,14,0.000,7036,nice data,relevant
35,pain_score_bps,0.000,0.000,0.000,9,0.000,6492,clinical score,relevant
36,fluid_in_flush,0.002,0.005,0.003,186,0.005,7104,fluid balance,relevant
37,pupil_diameter_right,0.000,0.000,0.000,69,0.000,80970,neurology,relevant
38,avpu_score_text,0.000,0.000,0.000,42,0.000,35397,clinical score,relevant
39,end_tidal_co2_measured,0.000,0.000,0.000,49,0.000,4062736,respiratory,relevant
