concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.0011047376248141067,0.0912280701754386,0.0011047376248141067,0.00218303946263644,54582738,23535,1
medication,0.0009426686091353158,0.0006900995830249919,0.0009426686091353158,0.0005899571242092664,1942653,11669,842
laboratory value,0.012198097096852892,0.021895832099777794,0.012198097096852892,0.010344517848425596,5538945,8198,363
respiratory,0.01060070671378092,0.05068249396206585,0.01060070671378092,0.014534836791470405,113767793,4245,135
fluid balance,0.009895833333333333,0.011377966820156026,0.009895833333333333,0.00936259880558007,2891022,3840,31
hemodynamics,0.005952380952380952,0.012482330859517837,0.005952380952380952,0.005310835551195337,45638813,1680,66
infectiology,0.0049586776859504135,0.004403579613663647,0.0049586776859504135,0.004263971851730627,3214461,605,31
clinical score,0.004,0.0022916666666666667,0.004,0.0027705627705627706,1718386,500,31
neurology,0.002136752136752137,0.00931013431013431,0.002136752136752137,0.003475783475783475,674879,468,14
renal replacement therapy,0.011086474501108648,0.003512911218010997,0.011086474501108648,0.004575703210281419,9061215,451,46
position,0.003048780487804878,0.00021026072329688813,0.003048780487804878,0.0003933910306845004,216806,328,4
nice data,0.029508196721311476,0.024893610252570118,0.029508196721311476,0.025402046273689104,59768,305,60
demographics,0.0038314176245210726,0.0029799914857386116,0.0038314176245210726,0.003352490421455939,886511,261,11
sofa score,0.014705882352941176,0.0014894419306184011,0.014705882352941176,0.002704887451809476,579771,136,27
lda,0.0,0.0,0.0,0.0,3940,133,8
admission information,0.0,0.0,0.0,0.0,16982,64,9
