ehr_name,hospital_name,relevance,accuracy,precision,recall,f1,num_records,support,group_count
EPIC,1,overall,0.003,0.003,0.003,0.002,8202342,3686,746
EPIC,1,relevant,0.005,0.006,0.005,0.004,3390814,2077,745
EPIC,1,irrelevant,0.000,0.000,0.000,0.000,4811528,1609,1
EPIC,8,overall,0.001,0.004,0.001,0.002,852522,1599,445
EPIC,8,relevant,0.002,0.007,0.002,0.003,530252,974,444
EPIC,8,irrelevant,0.000,0.000,0.000,0.000,322270,625,1
EPIC,20,overall,0.003,0.002,0.003,0.002,2844279,2189,487
EPIC,20,relevant,0.006,0.004,0.006,0.004,646055,928,486
EPIC,20,irrelevant,0.000,0.000,0.000,0.000,2198224,1261,1
EPIC,23,overall,0.002,0.002,0.002,0.002,340505,1220,393
EPIC,23,relevant,0.004,0.003,0.004,0.003,238633,825,392
EPIC,23,irrelevant,0.000,0.000,0.000,0.000,101872,395,1
EPIC,24,overall,0.004,0.042,0.004,0.006,2646484,3915,621
EPIC,24,relevant,0.006,0.064,0.006,0.010,2162025,2526,620
EPIC,24,irrelevant,0.000,0.000,0.000,0.000,484459,1389,1
EPIC,27,overall,0.004,0.004,0.004,0.004,8886224,2495,734
EPIC,27,relevant,0.006,0.006,0.006,0.006,3148578,1581,733
EPIC,27,irrelevant,0.000,0.000,0.000,0.000,5737646,914,1
HIX,4,overall,0.000,0.000,0.000,0.000,373801,790,362
HIX,4,relevant,0.000,0.000,0.000,0.000,346291,612,361
HIX,4,irrelevant,0.000,0.000,0.000,0.000,27510,178,1
HIX,5,overall,0.001,0.045,0.001,0.001,1701080,2756,606
HIX,5,relevant,0.001,0.060,0.001,0.002,1578899,2062,605
HIX,5,irrelevant,0.000,0.000,0.000,0.000,122181,694,1
HIX,6,overall,0.000,0.003,0.000,0.001,1362922,2182,574
HIX,6,relevant,0.001,0.004,0.001,0.001,1225528,1643,573
HIX,6,irrelevant,0.000,0.000,0.000,0.000,137394,539,1
HIX,7,overall,0.001,0.057,0.001,0.002,5611771,3633,767
HIX,7,relevant,0.001,0.001,0.001,0.001,5361143,2311,766
HIX,7,irrelevant,0.002,0.154,0.002,0.003,250628,1322,1
HIX,9,overall,0.000,0.000,0.000,0.000,687387,1541,539
HIX,9,relevant,0.000,0.000,0.000,0.000,642299,1122,538
HIX,9,irrelevant,0.000,0.000,0.000,0.000,45088,419,1
HIX,12,overall,0.001,0.001,0.001,0.001,179398,812,352
HIX,12,relevant,0.001,0.001,0.001,0.001,172781,678,351
HIX,12,irrelevant,0.000,0.000,0.000,0.000,6617,134,1
HIX,14,overall,0.000,0.000,0.000,0.000,412872,819,385
HIX,14,relevant,0.000,0.000,0.000,0.000,355079,682,384
HIX,14,irrelevant,0.000,0.000,0.000,0.000,57793,137,1
HIX,16,overall,0.001,0.000,0.001,0.000,837956,1296,418
HIX,16,relevant,0.001,0.000,0.001,0.000,791382,915,417
HIX,16,irrelevant,0.000,0.000,0.000,0.000,46574,381,1
HIX,18,overall,0.001,0.070,0.001,0.002,944724,1500,463
HIX,18,relevant,0.001,0.001,0.001,0.001,891925,1082,462
HIX,18,irrelevant,0.002,0.250,0.002,0.005,52799,418,1
HIX,21,overall,0.001,0.001,0.001,0.001,6326346,993,409
