,concept_label,precision,recall,f1,support,accuracy,num_records,concept_label_group,relevance
0,potassium_unspecified,0.3763440860215054,0.7608695652173914,0.5035971223021583,46,0.7608695652173914,61789,laboratory value,relevant
1,unmapped,0.0,0.0,0.0,38069,0.0,63776652,unmapped,irrelevant
2,temperature_source_text,0.8028846153846154,0.8835978835978836,0.8413098236775818,189,0.8835978835978836,101914,infectiology,relevant
3,tracheostomy_size,0.12149532710280374,0.9285714285714286,0.21487603305785127,14,0.9285714285714286,5593,respiratory,relevant
4,gcs_motor,0.2578125,0.9,0.4008097165991903,110,0.9,98482,neurology,relevant
5,gcs_eye,0.3031496062992126,0.875,0.4502923976608188,88,0.875,99513,neurology,relevant
6,gcs_verbal,0.34831460674157305,0.9393939393939394,0.5081967213114755,99,0.9393939393939394,93031,neurology,relevant
7,crrt_mode,0.12280701754385964,0.6829268292682927,0.20817843866171,41,0.6829268292682927,287510,renal replacement therapy,relevant
8,type_administered_o2,0.28361714621256606,0.655359565807327,0.3959016393442623,737,0.655359565807327,200664,respiratory,relevant
9,fio2_hiflow,0.0,0.0,0.0,6,0.0,7915,respiratory,relevant
10,o2_flow_high_flow_oxygen,0.45689655172413796,0.4274193548387097,0.44166666666666665,124,0.4274193548387097,159500,respiratory,relevant
11,restrictive_policy,0.056140350877192984,0.5333333333333333,0.1015873015873016,30,0.5333333333333333,12161,admission information,relevant
12,lactate_dehydrogenase_unspecified,0.6707317073170732,0.9016393442622951,0.7692307692307693,61,0.9016393442622951,27335,laboratory value,relevant
13,cam_icu_score,0.20987654320987653,0.9444444444444444,0.3434343434343434,18,0.9444444444444444,36104,clinical score,relevant
14,amylase_unspecified,0.6666666666666666,1.0,0.8,24,1.0,1841,laboratory value,relevant
15,picco_pulse_pressure_variation,0.7142857142857143,0.8333333333333334,0.7692307692307692,12,0.8333333333333334,46035,hemodynamics,relevant
16,ultrafiltration_cvvh_measured,0.0,0.0,0.0,6,0.0,31257,renal replacement therapy,relevant
17,access_pressure_cvvh,0.46774193548387094,0.90625,0.6170212765957447,32,0.90625,525970,renal replacement therapy,relevant
18,return_pressure_cvvh,0.3793103448275862,0.7333333333333333,0.5,30,0.7333333333333333,527793,renal replacement therapy,relevant
19,crrt_duration,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.6666666666666666,7781,renal replacement therapy,relevant
20,blood_flow_cvvh,0.6511627906976745,0.8,0.7179487179487181,35,0.8,592211,renal replacement therapy,relevant
21,effluent_pressure_cvvh,0.696969696969697,0.9583333333333334,0.8070175438596493,24,0.9583333333333334,489821,renal replacement therapy,relevant
22,fluid_out_cvvh_dialysis_cumulative,0.0,0.0,0.0,3,0.0,95884,fluid balance,relevant
23,ultrafiltration_cvvh_set,0.26595744680851063,0.7142857142857143,0.3875968992248062,35,0.7142857142857143,554406,renal replacement therapy,relevant
24,citrate_dosage_cvvh,0.3333333333333333,0.75,0.46153846153846156,16,0.75,448155,renal replacement therapy,relevant
25,pain_score_text,0.2111368909512761,0.7844827586206896,0.3327239488117002,116,0.7844827586206896,60114,clinical score,relevant
26,substitution_volume_cvvh,0.18181818181818182,0.2857142857142857,0.2222222222222222,7,0.2857142857142857,182922,renal replacement therapy,relevant
27,extravascular_lung_water_index,0.75,0.9473684210526315,0.8372093023255814,19,0.9473684210526315,3594,hemodynamics,relevant
28,global_end_diastolic_volume_index,0.33962264150943394,0.8571428571428571,0.48648648648648646,21,0.8571428571428571,14092,hemodynamics,relevant
29,procalcitonin_unspecified,0.6153846153846154,0.7741935483870968,0.6857142857142857,31,0.7741935483870968,20482,laboratory value,relevant
30,ntpro_bnp_unspecified,0.32222222222222224,0.9666666666666667,0.4833333333333334,30,0.9666666666666667,8040,laboratory value,relevant
31,troponin_i_hs,0.3125,0.625,0.4166666666666667,8,0.625,1600,laboratory value,relevant
