,concept_label,precision,recall,f1,support,accuracy,num_records,concept_label_group,relevance
0,potassium_unspecified,0.157,0.174,0.165,46,0.174,61789,laboratory value,relevant
1,unmapped,0.000,0.000,0.000,38058,0.000,63773002,unmapped,irrelevant
2,temperature_source_text,0.031,0.032,0.031,189,0.032,101914,infectiology,relevant
3,tracheostomy_size,0.000,0.000,0.000,14,0.000,5593,respiratory,relevant
4,gcs_motor,0.013,0.037,0.019,107,0.037,98450,neurology,relevant
5,gcs_eye,0.081,0.091,0.086,88,0.091,99513,neurology,relevant
6,gcs_verbal,0.000,0.000,0.000,99,0.000,93031,neurology,relevant
7,crrt_mode,0.042,0.195,0.069,41,0.195,287510,renal replacement therapy,relevant
8,type_administered_o2,0.057,0.175,0.086,730,0.175,200555,respiratory,relevant
9,fio2_hiflow,0.000,0.000,0.000,6,0.000,7915,respiratory,relevant
10,o2_flow_high_flow_oxygen,0.070,0.123,0.089,122,0.123,159498,respiratory,relevant
11,restrictive_policy,0.000,0.000,0.000,30,0.000,12161,admission information,relevant
12,lactate_dehydrogenase_unspecified,0.429,0.049,0.088,61,0.049,27335,laboratory value,relevant
13,cam_icu_score,0.000,0.000,0.000,18,0.000,36104,clinical score,relevant
14,amylase_unspecified,0.000,0.000,0.000,24,0.000,1841,laboratory value,relevant
15,picco_pulse_pressure_variation,0.000,0.000,0.000,12,0.000,46035,hemodynamics,relevant
16,ultrafiltration_cvvh_measured,0.000,0.000,0.000,6,0.000,31257,renal replacement therapy,relevant
17,access_pressure_cvvh,0.015,0.031,0.020,32,0.031,525970,renal replacement therapy,relevant
18,return_pressure_cvvh,0.071,0.200,0.105,30,0.200,527793,renal replacement therapy,relevant
19,crrt_duration,0.000,0.000,0.000,3,0.000,7781,renal replacement therapy,relevant
20,blood_flow_cvvh,0.000,0.000,0.000,35,0.000,592211,renal replacement therapy,relevant
21,effluent_pressure_cvvh,0.000,0.000,0.000,24,0.000,489821,renal replacement therapy,relevant
