ehr_name,hospital_name,relevance,accuracy,precision,recall,f1,num_records,support,group_count
EPIC,1,overall,0.003,0.004,0.003,0.003,10872934,5644,762
EPIC,1,relevant,0.008,0.010,0.008,0.007,3638136,2386,761
EPIC,1,irrelevant,0.000,0.000,0.000,0.000,7234798,3258,1
EPIC,8,overall,0.002,0.003,0.002,0.002,1702035,4345,511
EPIC,8,relevant,0.007,0.012,0.007,0.007,918996,1225,510
EPIC,8,irrelevant,0.000,0.000,0.000,0.000,783039,3120,1
EPIC,20,overall,0.001,0.000,0.001,0.000,8707548,7132,566
EPIC,20,relevant,0.004,0.001,0.004,0.002,1117475,1206,565
EPIC,20,irrelevant,0.000,0.000,0.000,0.000,7590073,5926,1
EPIC,23,overall,0.003,0.005,0.003,0.003,903660,2793,439
EPIC,23,relevant,0.009,0.013,0.009,0.009,450019,951,438
EPIC,23,irrelevant,0.000,0.000,0.000,0.000,453641,1842,1
EPIC,24,overall,0.006,0.018,0.006,0.007,6054377,7204,678
EPIC,24,relevant,0.017,0.047,0.017,0.017,3258132,2751,677
EPIC,24,irrelevant,0.000,0.000,0.000,0.000,2796245,4453,1
EPIC,27,overall,0.003,0.006,0.003,0.004,11762463,4516,771
EPIC,27,relevant,0.008,0.015,0.008,0.009,3709106,1837,770
EPIC,27,irrelevant,0.000,0.000,0.000,0.000,8053357,2679,1
HIX,4,overall,0.000,0.000,0.000,0.000,387260,921,369
HIX,4,relevant,0.000,0.000,0.000,0.000,357863,659,368
HIX,4,irrelevant,0.000,0.000,0.000,0.000,29397,262,1
HIX,5,overall,0.002,0.011,0.002,0.003,1869166,3719,613
HIX,5,relevant,0.002,0.014,0.002,0.004,1673231,2748,612
HIX,5,irrelevant,0.000,0.000,0.000,0.000,195935,971,1
HIX,6,overall,0.004,0.007,0.004,0.004,1501354,2631,582
HIX,6,relevant,0.006,0.010,0.006,0.005,1316434,1881,581
HIX,6,irrelevant,0.000,0.000,0.000,0.000,184920,750,1
HIX,7,overall,0.002,0.001,0.002,0.001,6110085,4470,778
HIX,7,relevant,0.003,0.001,0.003,0.002,5675127,2732,777
HIX,7,irrelevant,0.000,0.000,0.000,0.000,434958,1738,1
HIX,9,overall,0.001,0.002,0.001,0.001,725785,1852,553
HIX,9,relevant,0.002,0.003,0.002,0.002,667836,1252,552
HIX,9,irrelevant,0.000,0.000,0.000,0.000,57949,600,1
HIX,12,overall,0.000,0.000,0.000,0.000,181140,833,354
HIX,12,relevant,0.000,0.000,0.000,0.000,174481,692,353
HIX,12,irrelevant,0.000,0.000,0.000,0.000,6659,141,1
HIX,14,overall,0.002,0.016,0.002,0.004,409554,885,389
HIX,14,relevant,0.003,0.020,0.003,0.005,350085,716,388
HIX,14,irrelevant,0.000,0.000,0.000,0.000,59469,169,1
HIX,16,overall,0.001,0.000,0.001,0.000,877589,1350,420
HIX,16,relevant,0.002,0.000,0.002,0.001,829940,947,419
HIX,16,irrelevant,0.000,0.000,0.000,0.000,47649,403,1
