concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.000,0.000,0.000,0.000,63649339,37572,1
medication,0.001,0.001,0.001,0.001,1898090,11515,842
laboratory value,0.012,0.023,0.012,0.012,5600811,8453,364
respiratory,0.022,0.024,0.022,0.021,115831864,4363,135
fluid balance,0.009,0.002,0.009,0.002,2877703,3856,31
hemodynamics,0.004,0.001,0.004,0.002,45858686,1831,66
infectiology,0.005,0.002,0.005,0.003,3219332,640,31
neurology,0.005,0.004,0.005,0.004,803165,606,14
clinical score,0.005,0.001,0.005,0.002,1805269,590,31
renal replacement therapy,0.008,0.005,0.008,0.006,9136108,471,46
position,0.000,0.000,0.000,0.000,241004,345,4
demographics,0.006,0.001,0.006,0.001,906773,314,11
nice data,0.030,0.022,0.030,0.019,59768,305,60
sofa score,0.014,0.006,0.014,0.007,588216,143,27
lda,0.022,0.003,0.022,0.005,4022,136,8
admission information,0.015,0.001,0.015,0.001,17117,67,9
