concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.0,0.0,0.0,0.0,60849948,36331,1
medication,0.0001953125,0.0031548394097222223,0.0001953125,0.00023510537556415217,1575651,10240,834
laboratory value,0.004532344458178822,0.015454706435170468,0.004532344458178822,0.005098386885897288,4364463,7281,364
fluid balance,0.0017693895606015924,0.0008245851261708635,0.0017693895606015924,0.0009518622150594632,2342229,3391,31
respiratory,0.001064207165661582,0.0044802021123411685,0.001064207165661582,0.0009775322562684326,111503992,2819,135
hemodynamics,0.0,0.0,0.0,0.0,44018145,1326,66
infectiology,0.002,0.00018947368421052632,0.002,0.0003461538461538461,3148044,500,31
renal replacement therapy,0.0,0.0,0.0,0.0,9121015,460,46
clinical score,0.0,0.0,0.0,0.0,1722925,442,31
neurology,0.0,0.0,0.0,0.0,651721,365,13
position,0.0,0.0,0.0,0.0,236137,324,4
nice data,0.009900990099009901,0.005459134148708989,0.009900990099009901,0.0069334664558892865,59592,303,60
demographics,0.0,0.0,0.0,0.0,888871,234,11
lda,0.0,0.0,0.0,0.0,4022,136,8
sofa score,0.0,0.0,0.0,0.0,577696,131,27
admission information,0.05970149253731343,0.0005912990347043259,0.05970149253731343,0.0011710001805291944,17117,67,9
