ehr_name,hospital_name,relevance,accuracy,precision,recall,f1,num_records,support,group_count
EPIC,etz,zoverall,0.746,0.749,0.746,0.733,838615,1006,388
EPIC,etz,relevant,0.746,0.749,0.746,0.733,838615,1006,388
EPIC,radboud,zoverall,0.697,0.689,0.697,0.679,1069943,1051,447
EPIC,radboud,relevant,0.697,0.689,0.697,0.679,1069943,1051,447
EPIC,spaarnegasthuis,zoverall,0.625,0.663,0.625,0.626,392009,750,355
EPIC,spaarnegasthuis,relevant,0.625,0.663,0.625,0.626,392009,750,355
EPIC,stantonius,zoverall,0.374,0.354,0.374,0.351,2982399,2428,547
EPIC,stantonius,relevant,0.374,0.354,0.374,0.351,2982399,2428,547
HIX,bovenij,zoverall,0.741,0.742,0.741,0.723,64438,274,151
HIX,bovenij,relevant,0.741,0.742,0.741,0.723,64438,274,151
HIX,catharina,zoverall,0.746,0.841,0.746,0.734,331925,2880,306
HIX,catharina,relevant,0.746,0.841,0.746,0.734,331925,2880,306
HIX,cwz,zoverall,0.717,0.760,0.717,0.716,137868,1658,268
HIX,cwz,relevant,0.717,0.760,0.717,0.716,137868,1658,268
HIX,franciscus,zoverall,0.747,0.756,0.747,0.736,159716,920,259
HIX,franciscus,relevant,0.747,0.756,0.747,0.736,159716,920,259
HIX,ikazia,zoverall,0.712,0.694,0.712,0.694,103419,337,199
HIX,ikazia,relevant,0.712,0.694,0.712,0.694,103419,337,199
HIX,laurentius,zoverall,0.658,0.682,0.658,0.647,48806,363,183
HIX,laurentius,relevant,0.658,0.682,0.658,0.647,48806,363,183
HIX,martini,zoverall,0.660,0.671,0.660,0.643,496418,658,255
HIX,martini,relevant,0.660,0.671,0.660,0.643,496418,658,255
HIX,noordwest,zoverall,0.675,0.722,0.675,0.676,155202,591,216
HIX,noordwest,relevant,0.675,0.722,0.675,0.676,155202,591,216
HIX,rdgg,zoverall,0.615,0.633,0.615,0.600,582040,439,241
HIX,rdgg,relevant,0.615,0.633,0.615,0.600,582040,439,241
HIX,slingeland,zoverall,0.580,0.900,0.580,0.581,131530,1867,162
HIX,slingeland,relevant,0.580,0.900,0.580,0.581,131530,1867,162
HIX,viecuri,zoverall,0.636,0.637,0.636,0.602,394501,1092,315
HIX,viecuri,relevant,0.636,0.637,0.636,0.602,394501,1092,315
HIX,zgt,zoverall,0.587,0.683,0.587,0.587,186979,946,363
HIX,zgt,relevant,0.587,0.683,0.587,0.587,186979,946,363
MV,albertschweitzer,zoverall,0.676,0.705,0.676,0.680,650925,488,305
MV,albertschweitzer,relevant,0.676,0.705,0.676,0.680,650925,488,305
MV,amphia,zoverall,0.576,0.588,0.576,0.568,41340993,469,377
MV,amphia,relevant,0.576,0.588,0.576,0.568,41340993,469,377
MV,antoniuszorggroep,zoverall,0.295,0.289,0.295,0.280,536876,193,129
MV,antoniuszorggroep,relevant,0.295,0.289,0.295,0.280,536876,193,129
MV,geldersevallei,zoverall,0.329,0.334,0.329,0.313,28514125,310,208
MV,geldersevallei,relevant,0.329,0.334,0.329,0.313,28514125,310,208
MV,haga,zoverall,0.632,0.640,0.632,0.621,2838475,394,317
MV,haga,relevant,0.632,0.640,0.632,0.621,2838475,394,317
MV,jeroenbosch,zoverall,0.450,0.467,0.450,0.435,14487477,240,183
MV,jeroenbosch,relevant,0.450,0.467,0.450,0.435,14487477,240,183
MV,maasstad,zoverall,0.490,0.449,0.490,0.455,28534261,365,264
MV,maasstad,relevant,0.490,0.449,0.490,0.455,28534261,365,264
MV,mst,zoverall,0.572,0.599,0.572,0.568,24498168,430,326
MV,mst,relevant,0.572,0.599,0.572,0.568,24498168,430,326
MV,umcu,zoverall,0.456,0.424,0.456,0.422,1044873,320,253
MV,umcu,relevant,0.456,0.424,0.456,0.422,1044873,320,253
MV,zuyderland,zoverall,0.652,0.645,0.652,0.640,1317400,673,470
MV,zuyderland,relevant,0.652,0.645,0.652,0.640,1317400,673,470
