concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.4249861598080827,0.5814247153472705,0.4249861598080827,0.4196458985016865,2769489,5419,323
medication,0.7745285018012291,0.7274753652672655,0.7745285018012291,0.7354736590663001,827638,4719,695
respiratory,0.6740708159225863,0.7122983784978616,0.6740708159225863,0.666540208717293,97202864,4547,123
fluid balance,0.6006493506493507,0.5329147772578019,0.6006493506493507,0.5243726195836508,880058,2464,28
hemodynamics,0.7744739249771272,0.8028972913411431,0.7744739249771272,0.7685224580529065,38104307,2186,63
infectiology,0.5798611111111112,0.6816781645647578,0.5798611111111112,0.5783862882141724,2724564,288,28
neurology,0.6548042704626335,0.6141622104349354,0.6548042704626335,0.5978915419621675,532651,281,13
nice data,0.23880597014925373,0.23173944568259755,0.23880597014925373,0.2184323223857557,53227,268,59
clinical score,0.6842105263157895,0.7302020452528226,0.6842105263157895,0.673315001119505,1519773,266,28
renal replacement therapy,0.3944223107569721,0.43744382596257186,0.3944223107569721,0.37696737234591415,6993543,251,39
position,0.5641025641025641,0.3208464398055476,0.5641025641025641,0.40904119577105363,72969,156,4
demographics,0.6394557823129252,0.6806652531142326,0.6394557823129252,0.619531794243418,31050,147,11
admission information,0.08196721311475409,0.16393442622950818,0.08196721311475409,0.10819672131147542,16559,61,9
sofa score,0.6595744680851063,0.47292410025990045,0.6595744680851063,0.48529966487413284,109769,47,27
lda,0.40476190476190477,0.19116632160110422,0.40476190476190477,0.2155364791419213,920,42,7
