concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.425,0.581,0.425,0.420,2769489,5419,323
medication,0.775,0.727,0.775,0.735,827638,4719,695
respiratory,0.674,0.712,0.674,0.667,97202864,4547,123
fluid balance,0.601,0.533,0.601,0.524,880058,2464,28
hemodynamics,0.774,0.803,0.774,0.769,38104307,2186,63
infectiology,0.580,0.682,0.580,0.578,2724564,288,28
neurology,0.655,0.614,0.655,0.598,532651,281,13
nice data,0.239,0.232,0.239,0.218,53227,268,59
clinical score,0.684,0.730,0.684,0.673,1519773,266,28
renal replacement therapy,0.394,0.437,0.394,0.377,6993543,251,39
position,0.564,0.321,0.564,0.409,72969,156,4
demographics,0.639,0.681,0.639,0.620,31050,147,11
admission information,0.082,0.164,0.082,0.108,16559,61,9
sofa score,0.660,0.473,0.660,0.485,109769,47,27
lda,0.405,0.191,0.405,0.216,920,42,7
