,concept_label,precision,recall,f1,support,accuracy,num_records,concept_label_group,relevance
0,temperature_source_text,0.0,0.0,0.0,28,0.0,18871,infectiology,relevant
1,tracheostomy_size,0.0,0.0,0.0,7,0.0,1527,respiratory,relevant
2,gcs_motor,0.0,0.0,0.0,32,0.0,54084,neurology,relevant
3,gcs_eye,0.0,0.0,0.0,30,0.0,52761,neurology,relevant
4,gcs_verbal,0.0,0.0,0.0,38,0.0,53300,neurology,relevant
5,crrt_mode,0.0,0.0,0.0,15,0.0,262908,renal replacement therapy,relevant
6,type_administered_o2,0.0,0.0,0.0,139,0.0,49068,respiratory,relevant
7,fio2_hiflow,0.0,0.0,0.0,2,0.0,2880,respiratory,relevant
8,o2_flow_high_flow_oxygen,0.0,0.0,0.0,38,0.0,153295,respiratory,relevant
9,restrictive_policy,0.0,0.0,0.0,28,0.0,11867,admission information,relevant
10,lactate_dehydrogenase_unspecified,0.0,0.0,0.0,32,0.0,6133,laboratory value,relevant
11,cam_icu_score,0.0,0.0,0.0,13,0.0,21863,clinical score,relevant
12,amylase_unspecified,0.0,0.0,0.0,8,0.0,398,laboratory value,relevant
13,picco_pulse_pressure_variation,0.0,0.0,0.0,4,0.0,29726,hemodynamics,relevant
14,ultrafiltration_cvvh_measured,0.0,0.0,0.0,4,0.0,30867,renal replacement therapy,relevant
15,access_pressure_cvvh,0.0,0.0,0.0,14,0.0,58831,renal replacement therapy,relevant
16,return_pressure_cvvh,0.0,0.0,0.0,9,0.0,54019,renal replacement therapy,relevant
17,crrt_duration,0.0,0.0,0.0,1,0.0,498,renal replacement therapy,relevant
18,blood_flow_cvvh,0.0,0.0,0.0,20,0.0,525457,renal replacement therapy,relevant
19,effluent_pressure_cvvh,0.0,0.0,0.0,7,0.0,11124,renal replacement therapy,relevant
20,fluid_out_cvvh_dialysis_cumulative,0.0,0.0,0.0,3,0.0,95884,fluid balance,relevant
21,ultrafiltration_cvvh_set,0.0,0.0,0.0,15,0.0,495791,renal replacement therapy,relevant
