ehr_name,hospital_name,relevance,accuracy,precision,recall,f1,num_records,support,group_count
EPIC,8,overall,0.800,0.801,0.800,0.788,959695,1292,517
EPIC,8,relevant,0.800,0.801,0.800,0.788,959695,1292,517
EPIC,20,overall,0.754,0.750,0.754,0.738,1125476,1300,567
EPIC,20,relevant,0.754,0.750,0.754,0.738,1125476,1300,567
EPIC,23,overall,0.713,0.743,0.713,0.712,451014,987,443
EPIC,23,relevant,0.713,0.743,0.713,0.712,451014,987,443
EPIC,24,overall,0.455,0.435,0.455,0.431,3261543,2790,680
EPIC,24,relevant,0.455,0.435,0.455,0.431,3261543,2790,680
HIX,4,overall,0.889,0.884,0.889,0.878,380622,800,376
HIX,4,relevant,0.889,0.884,0.889,0.878,380622,800,376
HIX,5,overall,0.813,0.877,0.813,0.801,1892939,4053,614
HIX,5,relevant,0.813,0.877,0.813,0.801,1892939,4053,614
HIX,6,overall,0.811,0.842,0.811,0.806,1539179,2593,586
HIX,6,relevant,0.811,0.842,0.811,0.806,1539179,2593,586
HIX,9,overall,0.855,0.852,0.855,0.843,728172,1753,553
HIX,9,relevant,0.855,0.852,0.855,0.843,728172,1753,553
HIX,12,overall,0.847,0.828,0.847,0.832,175636,711,354
HIX,12,relevant,0.847,0.828,0.847,0.832,175636,711,354
HIX,14,overall,0.844,0.846,0.844,0.836,407882,881,389
HIX,14,relevant,0.844,0.846,0.844,0.836,407882,881,389
HIX,16,overall,0.771,0.801,0.771,0.757,918359,1059,422
HIX,16,relevant,0.771,0.801,0.771,0.757,918359,1059,422
HIX,18,overall,0.839,0.848,0.839,0.831,978795,1350,470
HIX,18,relevant,0.839,0.848,0.839,0.831,978795,1350,470
HIX,21,overall,0.780,0.797,0.780,0.767,5818089,833,431
HIX,21,relevant,0.780,0.797,0.780,0.767,5818089,833,431
HIX,22,overall,0.665,0.892,0.665,0.652,535564,2391,371
HIX,22,relevant,0.665,0.892,0.665,0.652,535564,2391,371
HIX,26,overall,0.731,0.730,0.731,0.705,500051,1541,498
HIX,26,relevant,0.731,0.730,0.731,0.705,500051,1541,498
HIX,28,overall,0.736,0.792,0.736,0.732,331185,1513,550
HIX,28,relevant,0.736,0.792,0.736,0.732,331185,1513,550
MV,0,overall,0.683,0.704,0.683,0.681,700209,517,324
MV,0,relevant,0.683,0.704,0.683,0.681,700209,517,324
MV,2,overall,0.602,0.606,0.602,0.591,42890495,522,424
MV,2,relevant,0.602,0.606,0.602,0.591,42890495,522,424
MV,3,overall,0.355,0.360,0.355,0.343,655558,217,147
MV,3,relevant,0.355,0.360,0.355,0.343,655558,217,147
MV,10,overall,0.396,0.391,0.396,0.376,30293491,356,250
MV,10,relevant,0.396,0.391,0.396,0.376,30293491,356,250
MV,11,overall,0.685,0.694,0.685,0.675,3032655,489,388
MV,11,relevant,0.685,0.694,0.685,0.675,3032655,489,388
MV,13,overall,0.467,0.480,0.467,0.450,16801149,257,193
MV,13,relevant,0.467,0.480,0.467,0.450,16801149,257,193
MV,15,overall,0.512,0.474,0.512,0.477,28929706,391,284
MV,15,relevant,0.512,0.474,0.512,0.477,28929706,391,284
MV,17,overall,0.602,0.621,0.602,0.593,26101190,485,366
MV,17,relevant,0.602,0.621,0.602,0.593,26101190,485,366
MV,25,overall,0.456,0.424,0.456,0.422,1044873,320,253
MV,25,relevant,0.456,0.424,0.456,0.422,1044873,320,253
MV,29,overall,0.669,0.663,0.669,0.656,1559085,737,514
MV,29,relevant,0.669,0.663,0.669,0.656,1559085,737,514
