,concept_label,precision,recall,f1,support,accuracy,num_records,concept_label_group,relevance
0,potassium_unspecified,0.38823529411764707,1.0,0.5593220338983051,33,1.0,51642,laboratory value,relevant
1,temperature_source_text,0.9927007299270073,0.912751677852349,0.951048951048951,149,0.912751677852349,90056,infectiology,relevant
2,tracheostomy_size,1.0,0.9090909090909091,0.9523809523809523,11,0.9090909090909091,2475,respiratory,relevant
3,gcs_motor,0.3463414634146341,0.7634408602150538,0.47651006711409394,93,0.7634408602150538,76003,neurology,relevant
4,gcs_eye,0.5042016806722689,0.8,0.6185567010309279,75,0.8,76693,neurology,relevant
5,gcs_verbal,0.8461538461538461,0.7857142857142857,0.8148148148148148,84,0.7857142857142857,72297,neurology,relevant
6,crrt_mode,0.29508196721311475,0.5625,0.3870967741935484,32,0.5625,277801,renal replacement therapy,relevant
7,type_administered_o2,0.6959847036328872,0.5540334855403348,0.6169491525423728,657,0.5540334855403348,145564,respiratory,relevant
8,fio2_hiflow,0.0,0.0,0.0,4,0.0,6962,respiratory,relevant
9,o2_flow_high_flow_oxygen,0.8611111111111112,0.29245283018867924,0.43661971830985913,106,0.29245283018867924,157296,respiratory,relevant
10,restrictive_policy,0.25,0.10714285714285714,0.15,28,0.10714285714285714,11867,admission information,relevant
11,lactate_dehydrogenase_unspecified,0.9583333333333334,0.92,0.9387755102040817,50,0.92,17157,laboratory value,relevant
12,cam_icu_score,0.7,0.9333333333333333,0.8,15,0.9333333333333333,27071,clinical score,relevant
13,amylase_unspecified,1.0,1.0,1.0,20,1.0,1394,laboratory value,relevant
14,picco_pulse_pressure_variation,1.0,0.7777777777777778,0.8750000000000001,9,0.7777777777777778,36817,hemodynamics,relevant
15,ultrafiltration_cvvh_measured,0.2222222222222222,0.4,0.2857142857142857,5,0.4,30929,renal replacement therapy,relevant
16,access_pressure_cvvh,0.45454545454545453,0.7407407407407407,0.5633802816901408,27,0.7407407407407407,518203,renal replacement therapy,relevant
17,return_pressure_cvvh,0.88,0.88,0.88,25,0.88,519061,renal replacement therapy,relevant
18,crrt_duration,0.0,0.0,0.0,1,0.0,498,renal replacement therapy,relevant
19,blood_flow_cvvh,1.0,0.5806451612903226,0.7346938775510204,31,0.5806451612903226,583719,renal replacement therapy,relevant
20,effluent_pressure_cvvh,0.9090909090909091,0.9523809523809523,0.9302325581395349,21,0.9523809523809523,485443,renal replacement therapy,relevant
21,fluid_out_cvvh_dialysis_cumulative,0.0,0.0,0.0,3,0.0,95884,fluid balance,relevant
22,ultrafiltration_cvvh_set,0.30612244897959184,0.6,0.40540540540540543,25,0.6,546654,renal replacement therapy,relevant
23,citrate_dosage_cvvh,1.0,0.6,0.7499999999999999,15,0.6,447639,renal replacement therapy,relevant
24,pain_score_text,0.9397590361445783,0.7959183673469388,0.8618784530386742,98,0.7959183673469388,55166,clinical score,relevant
25,substitution_volume_cvvh,0.0,0.0,0.0,7,0.0,182922,renal replacement therapy,relevant
26,extravascular_lung_water_index,0.7777777777777778,0.875,0.823529411764706,16,0.875,2132,hemodynamics,relevant
27,global_end_diastolic_volume_index,0.2619047619047619,0.6111111111111112,0.36666666666666675,18,0.6111111111111112,12641,hemodynamics,relevant
28,procalcitonin_unspecified,1.0,0.72,0.8372093023255813,25,0.72,12590,laboratory value,relevant
29,ntpro_bnp_unspecified,0.8181818181818182,1.0,0.9,18,1.0,429,laboratory value,relevant
30,troponin_i_hs,0.0,0.0,0.0,8,0.0,1600,laboratory value,relevant
31,glucose_measured_unspecified,0.87,0.11966987620357634,0.21039903264812573,727,0.11966987620357634,115557,laboratory value,relevant
32,vancomycin_level,0.42857142857142855,0.8,0.5581395348837209,15,0.8,772,laboratory value,relevant
33,nice_adm_source,0.0,0.0,0.0,14,0.0,7036,nice data,relevant
34,pain_score_bps,0.7272727272727273,1.0,0.8421052631578948,8,1.0,6377,clinical score,relevant
35,fluid_in_flush,0.6299212598425197,0.49079754601226994,0.5517241379310345,163,0.49079754601226994,6641,fluid balance,relevant
36,pupil_diameter_right,0.9344262295081968,0.9344262295081968,0.9344262295081968,61,0.9344262295081968,64686,neurology,relevant
37,avpu_score_text,1.0,0.6744186046511628,0.8055555555555556,43,0.6744186046511628,28407,clinical score,relevant
38,end_tidal_co2_measured,0.9166666666666666,0.9777777777777777,0.946236559139785,45,0.9777777777777777,3832729,respiratory,relevant
39,respiratory_rate_measured,0.6086956521739131,0.4375,0.5090909090909091,32,0.4375,3036567,respiratory,relevant
40,nice_covid19Status,0.0,0.0,0.0,5,0.0,2056,nice data,relevant
41,ph_arterial,1.0,0.1111111111111111,0.19999999999999998,36,0.1111111111111111,69027,laboratory value,relevant
42,po2_unspecified,0.2608695652173913,0.9230769230769231,0.4067796610169491,13,0.9230769230769231,24882,laboratory value,relevant
43,pco2_unspecified,0.4,1.0,0.5714285714285715,18,1.0,26573,laboratory value,relevant
44,base_excess_unspecified,0.4,0.09090909090909091,0.14814814814814814,22,0.09090909090909091,62014,laboratory value,relevant
45,bicarbonate_actual_unspecified,0.4727272727272727,0.896551724137931,0.6190476190476191,29,0.896551724137931,64155,laboratory value,relevant
