,concept_label,precision,recall,f1,support,accuracy,num_records,concept_label_group,relevance
0,potassium_unspecified,0.388,1.000,0.559,33,1.000,51642,laboratory value,relevant
1,temperature_source_text,0.993,0.913,0.951,149,0.913,90056,infectiology,relevant
2,tracheostomy_size,1.000,0.909,0.952,11,0.909,2475,respiratory,relevant
3,gcs_motor,0.346,0.763,0.477,93,0.763,76003,neurology,relevant
4,gcs_eye,0.504,0.800,0.619,75,0.800,76693,neurology,relevant
5,gcs_verbal,0.846,0.786,0.815,84,0.786,72297,neurology,relevant
6,crrt_mode,0.295,0.562,0.387,32,0.562,277801,renal replacement therapy,relevant
7,type_administered_o2,0.696,0.554,0.617,657,0.554,145564,respiratory,relevant
8,fio2_hiflow,0.000,0.000,0.000,4,0.000,6962,respiratory,relevant
9,o2_flow_high_flow_oxygen,0.861,0.292,0.437,106,0.292,157296,respiratory,relevant
10,restrictive_policy,0.250,0.107,0.150,28,0.107,11867,admission information,relevant
11,lactate_dehydrogenase_unspecified,0.958,0.920,0.939,50,0.920,17157,laboratory value,relevant
12,cam_icu_score,0.700,0.933,0.800,15,0.933,27071,clinical score,relevant
13,amylase_unspecified,1.000,1.000,1.000,20,1.000,1394,laboratory value,relevant
14,picco_pulse_pressure_variation,1.000,0.778,0.875,9,0.778,36817,hemodynamics,relevant
15,ultrafiltration_cvvh_measured,0.222,0.400,0.286,5,0.400,30929,renal replacement therapy,relevant
16,access_pressure_cvvh,0.455,0.741,0.563,27,0.741,518203,renal replacement therapy,relevant
17,return_pressure_cvvh,0.880,0.880,0.880,25,0.880,519061,renal replacement therapy,relevant
18,crrt_duration,0.000,0.000,0.000,1,0.000,498,renal replacement therapy,relevant
19,blood_flow_cvvh,1.000,0.581,0.735,31,0.581,583719,renal replacement therapy,relevant
20,effluent_pressure_cvvh,0.909,0.952,0.930,21,0.952,485443,renal replacement therapy,relevant
21,fluid_out_cvvh_dialysis_cumulative,0.000,0.000,0.000,3,0.000,95884,fluid balance,relevant
22,ultrafiltration_cvvh_set,0.306,0.600,0.405,25,0.600,546654,renal replacement therapy,relevant
23,citrate_dosage_cvvh,1.000,0.600,0.750,15,0.600,447639,renal replacement therapy,relevant
24,pain_score_text,0.940,0.796,0.862,98,0.796,55166,clinical score,relevant
25,substitution_volume_cvvh,0.000,0.000,0.000,7,0.000,182922,renal replacement therapy,relevant
26,extravascular_lung_water_index,0.778,0.875,0.824,16,0.875,2132,hemodynamics,relevant
27,global_end_diastolic_volume_index,0.262,0.611,0.367,18,0.611,12641,hemodynamics,relevant
28,procalcitonin_unspecified,1.000,0.720,0.837,25,0.720,12590,laboratory value,relevant
29,ntpro_bnp_unspecified,0.818,1.000,0.900,18,1.000,429,laboratory value,relevant
30,troponin_i_hs,0.000,0.000,0.000,8,0.000,1600,laboratory value,relevant
31,glucose_measured_unspecified,0.870,0.120,0.210,727,0.120,115557,laboratory value,relevant
32,vancomycin_level,0.429,0.800,0.558,15,0.800,772,laboratory value,relevant
33,nice_adm_source,0.000,0.000,0.000,14,0.000,7036,nice data,relevant
34,pain_score_bps,0.727,1.000,0.842,8,1.000,6377,clinical score,relevant
35,fluid_in_flush,0.630,0.491,0.552,163,0.491,6641,fluid balance,relevant
36,pupil_diameter_right,0.934,0.934,0.934,61,0.934,64686,neurology,relevant
37,avpu_score_text,1.000,0.674,0.806,43,0.674,28407,clinical score,relevant
38,end_tidal_co2_measured,0.917,0.978,0.946,45,0.978,3832729,respiratory,relevant
39,respiratory_rate_measured,0.609,0.438,0.509,32,0.438,3036567,respiratory,relevant
40,nice_covid19Status,0.000,0.000,0.000,5,0.000,2056,nice data,relevant
41,ph_arterial,1.000,0.111,0.200,36,0.111,69027,laboratory value,relevant
42,po2_unspecified,0.261,0.923,0.407,13,0.923,24882,laboratory value,relevant
43,pco2_unspecified,0.400,1.000,0.571,18,1.000,26573,laboratory value,relevant
44,base_excess_unspecified,0.400,0.091,0.148,22,0.091,62014,laboratory value,relevant
45,bicarbonate_actual_unspecified,0.473,0.897,0.619,29,0.897,64155,laboratory value,relevant
46,sodium_unspecified,0.481,0.975,0.645,40,0.975,51701,laboratory value,relevant
47,fio2_set,0.561,0.153,0.241,417,0.153,4589485,respiratory,relevant
48,peak_inspiratory_pressure,0.786,0.550,0.647,40,0.550,4592274,respiratory,relevant
49,tidal_volume_expiratory_measured,0.000,0.000,0.000,4,0.000,1478863,respiratory,relevant
50,height_measured,0.915,1.000,0.956,43,1.000,8406,demographics,relevant
51,p01_measured,1.000,0.800,0.889,20,0.800,1960997,respiratory,relevant
52,arterial_bp_diastolic,0.069,0.400,0.118,10,0.400,4031569,hemodynamics,relevant
53,arterial_bp_mean,0.750,0.562,0.643,16,0.562,4254299,hemodynamics,relevant
54,arterial_bp_systolic,0.261,0.600,0.364,10,0.600,4032628,hemodynamics,relevant
55,cardiac_output_unspecified,1.000,0.353,0.522,17,0.353,7686,hemodynamics,relevant
56,central_venous_pressure,0.958,0.958,0.958,24,0.958,2045488,hemodynamics,relevant
57,heart_rate_unspecified,0.976,0.807,0.883,1089,0.807,8857315,hemodynamics,relevant
58,nibp_diastolic,0.429,0.333,0.375,9,0.333,29407,hemodynamics,relevant
59,nibp_mean,0.833,0.278,0.417,18,0.278,79294,hemodynamics,relevant
60,nibp_systolic,0.667,0.182,0.286,11,0.182,38074,hemodynamics,relevant
61,pulmonary_artery_pressure_diastolic,0.000,0.000,0.000,2,0.000,5021,hemodynamics,relevant
62,pulmonary_artery_pressure_systolic,0.000,0.000,0.000,2,0.000,5021,hemodynamics,relevant
63,pulmonary_artery_pressure_mean,0.000,0.000,0.000,5,0.000,17302,hemodynamics,relevant
64,pulmonary_wedge_pressure,1.000,1.000,1.000,5,1.000,90,hemodynamics,relevant
65,heart_rhythm_text,0.800,0.943,0.866,1113,0.943,551138,hemodynamics,relevant
66,fluid_in_oral,0.558,0.911,0.692,1431,0.911,32539,fluid balance,relevant
67,fluid_out_emesis_retention,0.921,0.722,0.809,97,0.722,107432,fluid balance,relevant
68,systemic_vascular_resistance_index,0.923,0.750,0.828,16,0.750,71951,hemodynamics,relevant
69,systemic_vascular_resistance,0.938,0.750,0.833,20,0.750,15525,hemodynamics,relevant
70,fluid_out_cvvh_dialysis,0.424,0.255,0.318,55,0.255,29186,fluid balance,relevant
