concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
medication,0.876,0.845,0.876,0.852,1402372,8961,748
laboratory value,0.487,0.606,0.487,0.471,3415632,6209,324
respiratory,0.726,0.759,0.726,0.722,106580673,5599,124
fluid balance,0.677,0.605,0.677,0.610,1208411,3260,28
hemodynamics,0.830,0.847,0.830,0.826,43958076,2957,65
neurology,0.852,0.778,0.852,0.795,642602,656,14
infectiology,0.746,0.789,0.746,0.738,2955898,500,30
clinical score,0.830,0.843,0.830,0.822,1616114,499,30
renal replacement therapy,0.574,0.560,0.574,0.546,9017745,387,40
position,0.787,0.576,0.787,0.665,123165,319,4
nice data,0.264,0.255,0.264,0.243,54042,277,59
demographics,0.766,0.792,0.766,0.755,886330,269,11
lda,0.755,0.570,0.755,0.634,2204,102,7
sofa score,0.805,0.637,0.805,0.675,132789,82,27
admission information,0.082,0.164,0.082,0.108,16559,61,9
