ehr_name,hospital_name,relevance,accuracy,precision,recall,f1,num_records,support,group_count
EPIC,etz,zoverall,0.006796116504854369,0.014724919093851133,0.006796116504854369,0.00817647447328446,912321,1030,486
EPIC,etz,relevant,0.006796116504854369,0.014724919093851133,0.006796116504854369,0.00817647447328446,912321,1030,486
EPIC,radboud,zoverall,0.009541984732824428,0.008647423664122137,0.009541984732824428,0.007873072893279449,906681,1048,536
EPIC,radboud,relevant,0.009541984732824428,0.008647423664122137,0.009541984732824428,0.007873072893279449,906681,1048,536
EPIC,spaarnegasthuis,zoverall,0.0034883720930232558,0.002131782945736434,0.0034883720930232558,0.0025193798449612403,423321,860,424
EPIC,spaarnegasthuis,relevant,0.0034883720930232558,0.002131782945736434,0.0034883720930232558,0.0025193798449612403,423321,860,424
EPIC,stantonius,zoverall,0.013672616786935056,0.057239121177594394,0.013672616786935056,0.019683757377163807,3220432,2633,655
EPIC,stantonius,relevant,0.013672616786935056,0.057239121177594394,0.013672616786935056,0.019683757377163807,3220432,2633,655
HIX,bovenij,zoverall,0.004792332268370607,0.009584664536741214,0.004792332268370607,0.005750798722044728,353170,626,356
HIX,bovenij,relevant,0.004792332268370607,0.009584664536741214,0.004792332268370607,0.005750798722044728,353170,626,356
HIX,catharina,zoverall,0.009950248756218905,0.17378708423484543,0.009950248756218905,0.016620812113965135,1614971,2211,591
HIX,catharina,relevant,0.009950248756218905,0.17378708423484543,0.009950248756218905,0.016620812113965135,1614971,2211,591
HIX,cwz,zoverall,0.004750593824228029,0.09418204519154638,0.004750593824228029,0.005640476253441139,1235158,1684,552
HIX,cwz,relevant,0.004750593824228029,0.09418204519154638,0.004750593824228029,0.005640476253441139,1235158,1684,552
HIX,franciscus,zoverall,0.009074410163339383,0.019585601935874167,0.009074410163339383,0.009739866908650939,630021,1102,530
HIX,franciscus,relevant,0.009074410163339383,0.019585601935874167,0.009074410163339383,0.009739866908650939,630021,1102,530
HIX,ikazia,zoverall,0.00933125972006221,0.02177293934681182,0.00933125972006221,0.0107568688439606,160911,643,340
HIX,ikazia,relevant,0.00933125972006221,0.02177293934681182,0.00933125972006221,0.0107568688439606,160911,643,340
HIX,laurentius,zoverall,0.006220839813374806,0.009849663037843443,0.006220839813374806,0.006739243131156039,346438,643,368
