concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
medication,0.0010018032458425166,0.0016835616194142817,0.0010018032458425166,0.001056808010914807,760880,4991,681
laboratory value,0.0008378718056137411,0.0028502603387396013,0.0008378718056137411,0.0009196903024213236,2060788,4774,320
fluid balance,0.0029057700290577005,0.08966068600771797,0.0029057700290577005,0.004246207931437236,868443,2409,26
respiratory,0.0,0.0,0.0,0.0,101159821,1769,118
hemodynamics,0.0,0.0,0.0,0.0,40522741,904,63
renal replacement therapy,0.0,0.0,0.0,0.0,8791793,357,40
nice data,0.00390625,0.01953125,0.00390625,0.006510416666666668,46198,256,55
clinical score,0.0,0.0,0.0,0.0,1506414,251,28
position,0.0,0.0,0.0,0.0,94957,246,3
infectiology,0.008333333333333333,0.001842948717948718,0.008333333333333333,0.0030107526881720434,2636915,240,29
neurology,0.004273504273504274,0.038461538461538464,0.004273504273504274,0.007692307692307692,357890,234,13
demographics,0.0,0.0,0.0,0.0,859183,137,11
lda,0.0,0.0,0.0,0.0,2043,96,7
sofa score,0.0,0.0,0.0,0.0,116694,65,23
admission information,0.0,0.0,0.0,0.0,16559,61,9
