,concept_label,precision,recall,f1,support,accuracy,num_records,concept_label_group,relevance
0,lda_catheter_arterial,0.000,0.000,0.000,3,0.000,662,lda,relevant
1,lda_catheter_central_venous,0.000,0.000,0.000,8,0.000,497,lda,relevant
2,lda_catheter_cvvh,0.000,0.000,0.000,4,0.000,55,lda,relevant
3,lda_catheter_picc,0.000,0.000,0.000,5,0.000,16,lda,relevant
4,lda_canula_tracheal,0.000,0.000,0.000,9,0.000,137,lda,relevant
5,saturation_o2_peripheral,0.000,0.000,0.000,15,0.000,77673,respiratory,relevant
6,height_measured,0.000,0.000,0.000,8,0.000,4509,demographics,relevant
7,fluid_out_blood_loss,0.000,0.000,0.000,8,0.000,51,fluid balance,relevant
8,heart_rate_unspecified,0.000,0.000,0.000,27,0.000,2438598,hemodynamics,relevant
9,nibp_systolic,0.000,0.000,0.000,2,0.000,10315,hemodynamics,relevant
10,gcs_eye,0.000,0.000,0.000,6,0.000,14202,neurology,relevant
11,gcs_motor,0.000,0.000,0.000,8,0.000,14124,neurology,relevant
12,weight_text,0.000,0.000,0.000,1,0.000,13,demographics,relevant
13,access_pressure_cvvh,0.000,0.000,0.000,9,0.000,87116,renal replacement therapy,relevant
14,fluid_in_tube,0.000,0.000,0.000,8,0.000,21493,fluid balance,relevant
15,peep_set,0.000,0.000,0.000,10,0.000,1012122,respiratory,relevant
16,microbiology,0.000,0.000,0.000,525,0.000,12735,laboratory value,relevant
17,ideal_body_weight,0.000,0.000,0.000,12,0.000,6763,demographics,relevant
18,bmi,0.000,0.000,0.000,11,0.000,9561,demographics,relevant
19,nibp_unspecified,0.000,0.000,0.000,9,0.000,22577,hemodynamics,relevant
20,pulse_rate_monitor,0.000,0.000,0.000,2,0.000,72040,hemodynamics,relevant
21,fluid_out_urine,0.000,0.000,0.000,12,0.000,96812,fluid balance,relevant
22,fluid_in_blood_products,0.000,0.000,0.000,8,0.000,584,fluid balance,relevant
23,arterial_bp_unspecified,0.000,0.000,0.000,9,0.000,52337,hemodynamics,relevant
24,nibp_mean,0.000,0.000,0.000,6,0.000,29684,hemodynamics,relevant
25,central_venous_pressure,0.000,0.000,0.000,6,0.000,128154,hemodynamics,relevant
26,respiratory_rate_set,0.000,0.000,0.000,13,0.000,1270559,respiratory,relevant
27,tidal_volume_set,0.000,0.000,0.000,5,0.000,21116,respiratory,relevant
28,minute_volume_expiratory,0.000,0.000,0.000,13,0.000,1736619,respiratory,relevant
29,pupil_reflex_left,0.000,0.000,0.000,5,0.000,8722,neurology,relevant
30,pupil_reflex_right,0.000,0.000,0.000,6,0.000,11690,neurology,relevant
31,heart_rhythm_text,0.000,0.000,0.000,26,0.000,67825,hemodynamics,relevant
32,fio2_nice,0.000,0.000,0.000,3,0.000,23119,respiratory,relevant
33,fio2_set,0.000,0.000,0.000,10,0.000,1198955,respiratory,relevant
34,fluid_out_cvvh_dialysis,0.000,0.000,0.000,17,0.000,4476,fluid balance,relevant
35,fluid_in_parenteral_nutrition,0.000,0.000,0.000,2,0.000,1555,fluid balance,relevant
36,fluid_in_iv_infusion_and_medications,0.000,0.000,0.000,48,0.000,167628,fluid balance,relevant
37,intrinsic_peep_measured,0.000,0.000,0.000,4,0.000,6287,respiratory,relevant
38,vent_mode,0.000,0.000,0.000,22,0.000,1059586,respiratory,relevant
39,rass_score,0.000,0.000,0.000,3,0.000,20189,neurology,relevant
40,cam_icu_score_q1,0.000,0.000,0.000,2,0.000,6084,clinical score,relevant
41,cam_icu_score_q2,0.000,0.000,0.000,2,0.000,4956,clinical score,relevant
42,cam_icu_score_q3,0.000,0.000,0.000,2,0.000,9161,clinical score,relevant
43,cam_icu_score_q4,0.000,0.000,0.000,2,0.000,5460,clinical score,relevant
44,cam_icu_score,0.000,0.000,0.000,3,0.000,10757,clinical score,relevant
45,cpot_score,0.000,0.000,0.000,4,0.000,6877,clinical score,relevant
46,fluid_out_flush,0.000,0.000,0.000,2,0.000,63,fluid balance,relevant
47,type_administered_o2,0.000,0.000,0.000,22,0.000,26007,respiratory,relevant
48,reason_death_text,0.000,0.000,0.000,4,0.000,102,admission information,relevant
49,end_tidal_co2_measured,0.000,0.000,0.000,14,0.000,1556350,respiratory,relevant
50,tracheobronchial_toilet_frequency,0.000,0.000,0.000,3,0.000,10263,respiratory,relevant
51,pressure_trigger,0.000,0.000,0.000,4,0.000,1528,respiratory,relevant
52,tidal_volume_expiratory,0.000,0.000,0.000,9,0.000,1699373,respiratory,relevant
53,peak_inspiratory_pressure,0.100,0.083,0.091,12,0.083,1550630,respiratory,relevant
54,plateau_pressure,0.000,0.000,0.000,9,0.000,74760,respiratory,relevant
55,mean_airway_pressure,0.000,0.000,0.000,11,0.000,1742664,respiratory,relevant
56,minute_volume_inspiratory,1.000,0.143,0.250,7,0.143,941974,clinical score,relevant
57,minute_volume_spontaneous,0.000,0.000,0.000,4,0.000,72866,respiratory,relevant
58,respiratory_rate_measured_ventilator_spontaneous,1.000,0.200,0.333,5,0.200,74915,respiratory,relevant
59,vco2,0.000,0.000,0.000,3,0.000,785323,respiratory,relevant
60,predilution_flow_cvvh,0.000,0.000,0.000,7,0.000,89124,renal replacement therapy,relevant
61,postdilution_flow_cvvh,0.000,0.000,0.000,4,0.000,35272,renal replacement therapy,relevant
62,calcium_flow_cvvh,0.200,0.500,0.286,2,0.500,121074,renal replacement therapy,relevant
63,filter_pressure_cvvh,0.000,0.000,0.000,5,0.000,85258,renal replacement therapy,relevant
64,effluent_pressure_cvvh,0.000,0.000,0.000,4,0.000,53059,renal replacement therapy,relevant
65,inspiratory_pressure_above_peep,0.000,0.000,0.000,20,0.000,951264,respiratory,relevant
66,fio2_measured,0.000,0.000,0.000,9,0.000,28393,respiratory,relevant
67,respiratory_rate_measured,0.000,0.000,0.000,11,0.000,1063504,respiratory,relevant
68,max_pressure,0.000,0.000,0.000,4,0.000,18952,respiratory,relevant
69,ecg_qtc_time,0.000,0.000,0.000,3,0.000,20940,hemodynamics,relevant
70,cardiac_output_unspecified,0.000,0.000,0.000,4,0.000,743,hemodynamics,relevant
71,cardiac_index_unspecified,0.000,0.000,0.000,8,0.000,10952,hemodynamics,relevant
72,cardiac_index_continuous_unspecified,0.000,0.000,0.000,3,0.000,408,hemodynamics,relevant
73,global_end_diastolic_volume_index,0.000,0.000,0.000,5,0.000,10921,hemodynamics,relevant
74,picco_global_ejection_fraction,0.000,0.000,0.000,3,0.000,832,hemodynamics,relevant
75,extravascular_lung_water_index,0.000,0.000,0.000,4,0.000,891,hemodynamics,relevant
76,stroke_volume_calculated,0.000,0.000,0.000,6,0.000,11350,hemodynamics,relevant
