concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.095,0.166,0.095,0.099,1774029,2357,275
medication,0.024,0.028,0.024,0.023,137466,2191,443
respiratory,0.082,0.080,0.082,0.073,36828178,710,109
hemodynamics,0.037,0.051,0.037,0.041,16415026,572,60
fluid balance,0.110,0.065,0.110,0.072,1013339,363,25
infectiology,0.127,0.064,0.127,0.067,1768646,134,27
neurology,0.042,0.039,0.042,0.038,131419,118,14
renal replacement therapy,0.092,0.095,0.092,0.090,1229422,109,28
clinical score,0.072,0.052,0.072,0.060,1039762,97,26
sofa score,0.167,0.167,0.167,0.148,235894,60,27
demographics,0.043,0.032,0.043,0.036,24079,47,9
position,0.050,0.036,0.050,0.042,56552,40,1
nice data,0.026,0.105,0.026,0.042,1919,38,29
lda,0.033,0.038,0.033,0.036,1369,30,6
admission information,0.000,0.000,0.000,0.000,2349,11,5
